我的学术生涯——学术思想的自我剖析,刘植惠:13613948|,10,情报学理论;分析总结;学术生涯;,"本文回顾了作者从事情报工作和情报学理论研究的历程,并对作者的学术思想进行了初步剖析和总结。附:刘植惠主要著作目录,部分专家、学者对刘植惠同志学术思想的评析。",CQTQ201401002
《情报科学》1980—2012年高频被引论文分析,仲华:10504486|,5,《情报科学》;情报学期刊;高频被引论文;,"以《中国引文数据库》为统计源,统计了《情报科学》1980-2012年被引30次以上(含30次)的论文,将这些论文界定为高频被引论文。从年代、地区、机构、基金论文、合作情况、经典论文和高频被引论文作者等方面,对高频被引论文进行分析,从而揭示了《情报科学》1980-2012年的研究现状。",CQTQ201401003
信息社会潮流中图书、档案、情报一体化管理研究与实践在欧美,潘伟德:12792206|昭质:24355448|夏文君:31001565|,5,图书;档案;情报;一体化;欧美;,"信息时代图书、档案、情报一体化管理是信息资源管理的新趋势,文章介绍了欧美发达国家在政府管理、国际专业协会、教学、保护技术、检索服务等方面,图书、档案与情报一体化的具体做法和尝试,同时也为我国信息资源的开发利用提供一些有益的借鉴和参考。",CQTQ201401004
苏州图书馆总分馆体系运营情况分析,蒋蕾静:13313102|,3,总分馆体系;苏州图书馆;,"为真正实现""普遍、均等、全覆盖""的图书馆服务理念,苏州图书馆进行总分馆体系构建。本文就苏州图书馆总分馆体系的建设方式、合作模式、管理机制等情况进行分析,对总分馆体系运营取得的成效进行总结。",CQTQ201401005
公共图书馆服务新生代农民工实现市民化路径研究,刘杰民:10707706|张汉强:10587494|,5,公共图书馆;农民工;市民化;,"随着经济和社会的发展,农民工文化权益问题日益成为政府和社会关注的重要问题。本文从我国农民工存在的现实背景和面临的问题入手,提出发挥公共图书馆的公益性、社会教育职能和资源优势,在为农民工提供服务的必要性和可操作性基础上,提出了公共图书馆应该为农民工实现市民化提供全面服务。",CQTQ201401006
关于图书馆参与非物质文化遗产保护工作的几点思考——以德宏傣族景颇族自治州为例,杨建玲:30501875|,4,图书馆;非物质文化遗产;德宏州;,"非物质文化遗产保护工作在云南桥头堡建设中具有举足轻重的作用。德宏州地处桥头堡建设前沿,是云南民族文化之窗。本文以德宏州为例,详细介绍了近年来德宏州非物质文化遗产保护面临的新机遇及保护现状,重点分析了图书馆参与非物质文化遗产保护的必要性,最后探讨了图书馆发挥自身优势参与非物质文化遗产保护工作的一些建议和对策。",CQTQ201401007
浅谈微博在我馆对外开放过程中的作用,胡杨:31001566|,3,微博建设;图书馆;,"随着互联网技术和现代通讯技术的快速发展,人际交流的工具也在发生着变化,微博呈现出爆发性增长的趋势。本文拟就搞好""湖北省图书馆""微博这一平台的重要意义进行阐述,分析""湖北省图书馆""微博建设存在的主要问题,提出下一步从信息内容、特色、连锁体系、职能分工、活动等方面建设发展的设想。",CQTQ201401008
军队院校图书馆图书文献改编的几点思考,赵欣:23580066|贺光霞:20566183|,3,军队院校;图书馆;改编工作;,"近年,军队院校调整改革的变化,引起军校图书馆馆藏文献的变化,特别是《中国图书馆图书分类法》(以下简称《中图法》)第五版的推出,军校图书馆图书文献改编工作日趋迫切。本文作者试从图书文献改编的动因、策略方法与方法步骤等方面谈一谈对军校图书馆图书文献改编工作的认识。",CQTQ201401009
浅析期刊合订本加工技术的应用,袁森:27448293|,3,期刊合订本;加工技术;,"期刊合订本是期刊的一种延伸,是期刊重复利用的一种表现形式。如何才能将现刊阅览室内的期刊加工成规范的期刊合订本,本文以重庆科创职业学院图书馆的期刊合订本加工为例,从技术层面剖析期刊合订本的加工,实现期刊合订本的加工规范化、成本最低化,并提高期刊合订本的利用率。",CQTQ201401010
发挥地方文献作用  促进地方经济发展,吴建中:23191146|,3,地方文献;经济发展;服务;,"本文阐述了地方文献资料的作用,探讨了开展地方文献征集工作的途径和方法,提出地方文献的搜集、整理要尽可能为现时服务,为经济建设服务,为未来着想。",CQTQ201401011
大学生搜集和利用时政信息能力的调查研究——以云南师范大学为例,蒋金和:11262991|张蓉:31001567|夏薇:31001568|张昱:27182836|,4,信息素养;时政信息;大学生;,"本文通过问卷调查和访谈等形式,就云南师范大学大学生搜集和利用时政信息能力进行了调查,并就其信息感知度、信息获取渠道、对图书馆时政信息利用情况等进行了分析。最后,提出了一些关于时政信息教育的建设性意见和建议。",CQTQ201401012
全民阅读背景下公共图书馆的导读职能作用,李仲元:29842174|,5,公共图书馆;公共文化;全民阅读;阅读引导;阅读习惯;,"阅读是人自身发展和人类文明延续的主要途径,成为人类生活的重要组成部分。新时期全民阅读背景下公共图书馆应充分利用馆藏文献信息资源、公共文化设施、专业馆员服务、阅读推广指导等资源优势,发挥公共图书馆阅读引导主体作用,促进全民阅读健康发展,为走进阅读社会、构建书香中国承担起社会责任。",CQTQ201401013
大众阅读推广与阅读馆员服务——公共图书馆阅读服务体系创新,周铭蓉:10746630|,4,大众阅读;阅读馆员;阅读服务体系;,"本文结合我国大众阅读推广的需要,提出建立公共图书馆阅读服务体系,实施阅读馆员制度,开展阅读创新服务,优化阅读服务理念,提升馆员阅读职业素养,在大众阅读的推广与发展中,发挥图书馆文化阅读主阵地作用,以引领和推动全民阅读的持续发展。",CQTQ201401014
高职院校图书馆大学生阅读服务实践活动探索——以重庆科创职业学院图书馆为例,韦宁:24646294|,4,阅读服务;大学生;图书馆;高职院校;,"文章论述了高职院校图书馆开展大学生阅读服务实践活动的意义,并从建立学生社团,招募社团学生实践者、开展服务实践培训、推广系列读书活动、书评实践活动等方面对高职院校图书馆开展大学生阅读服务实践活动进行了探讨。",CQTQ201401015
新媒体时代图书馆员的角色转型,杨伟:29411059|,3,图书馆员;新媒体时代;角色转型;,"随着新媒体技术及环境的发展完善,图书馆的工作环境、工作重心、管理手段以及服务理念等都发生了深刻的变化,给图书馆带来了一系列新的挑战。在这样的大环境下,作为图书馆最基本、最活跃、最核心的图书馆员,应顺应时代发展的趋势,自觉地转变角色,积极通过各种方式提高综合素质,不断胜任变化的工作环境。",CQTQ201401016
关于区县级公共图书馆电子阅览室免费开放的思考——以重庆市沙坪坝区图书馆为例,霍量:31001569|杨红:16918717|,4,区县级公共图书馆;电子阅览室;免费开放;,"公共图书馆实行免费开放是实施民生工程的重要内容,是保障广大人民群众基本文化权益、提高公民鉴赏能力的重要举措。电子阅览室是免费开放工作中的重要场所。本文简述区县级公共图书馆电子阅览室在免费开放服务中工作人员、读者、管理和技术等方面存在的问题,提出通过完善制度、拓展服务、强化技术、培训等方法解决相关问题。",CQTQ201401017
从文献计量学视角探讨丝绸之路经济研究,蒋金和:11262991|陈晶:30222325|,5,丝绸之路;经济带;文献计量;,"本文以CNKI数字出版平台数据库为统计源,从文献计量学视角对丝绸之路经济进行计量统计分析,探讨丝绸之路经济带发展。研究表明,丝绸之路经济带尚未得到全面研究,建议积极创造条件,加大政策支持,成立新丝绸之路经济带研究机构,为丝绸之路经济发展提供理论支持。",CQTQ201402002
