创刊词,戴国强:34650618|,1,,"&lt;正&gt;学科领域的细分与融合是当前科学发展的突出特点。情报学作为一个交叉学科,研究领域也在不断涌现新的研究方向与主题。当一个研究方向或主题发展到足以形成一个学科领域时,就需要予以""制度化"",恰似""千红万紫安排著,只待新雷第一声"",《情报工程》就是乙未羊年的一声春雷。科技对全球经济发展及社会福祉具有重要的推动作用,在我国经济发展的新常态下,科技对整个社会经济的推动作用日益突显。国家创新驱动发展战略的实施,将为科技情报工作带来重大的历史性机遇。科技情报工作只有嵌入科技创新的全过",QBGC201501001
主编寄语,朱礼军:|,2,,"&lt;正&gt;20世纪五十年代,美国战略情报之父谢尔曼·肯特提出情报是组织、是活动,是高层军政人员保卫国家福祉所必须具备的知识。当前,科技工作正在全面融入经济社会主战场,聚焦于国家发展的重大战略需求。政府和企业决策者需要准确把握和运用科技情报,使之成为技术创新的助推器,才能在激烈的竞争之中处于不败之地。科技情报工作起步于文摘杂志和文献中心建设,从最初的手工采集、加工、报道和检索,发展到如今利用先进的网络和信息技术,通过文本、语音、图像处理、语义分析和数据挖掘等手段得出具有洞察力和预见性的情报,可以说经历了发展、",QBGC201501002
自助式情报管理与服务系统的研究与实现,吴广印:10337245|徐飞:27258406|冯丹:30710907|,8,自助式情报管理与服务;竞争情报管理;Drupal;,"本文首次提出了""自助式情报管理与服务系统""的概念,旨在利用Web 3.0的技术为用户构建一个集数据采集、编辑、评价、发布、沟通一体化的企业内部情报管理与服务系统。本文主要内容包括概念提出、需求研究、目标设计、系统架构及实现等内容。",QBGC201501003
"治部,连载,面向日本版NIH建立新指标体系——之一  基于新指标体系的制药产业现状俯瞰与未来预测",治部真里:34652324;34652325;34652326|李颖:22195868|长部喜幸:34652327;#|,11,日本版NIH;在研药物;指标;低分子化合物;生物制药;生物技术;循证政策;,"日本版NIH及其制药企业,政策制定·战略规划需要佐证。为此,本研究尝试基于新的指标体系进行制药产业的现状俯瞰与未来预测。连载第一篇,着眼于制药产业研究开发的pipeline,即在研药物。按照研究开发阶段来梳理pipeline,通过与已上市药物数量的比较,显然可以把握各国目前及未来的研发能力。该结果凸现出了美国在研发中的优势,以及日本的特异性等。",QBGC201501004
"治部,连载,面向日本版NIH建立新指标体系——之二  制药行业特定技术的俯视与未来预测",治部真里:34652324;34652325;34652326|李颖:22195868|长部喜幸:34652327;#|,14,日本版NIHN;在研药物;指标;低分子化合物;生物药物;生物技术;循证政策;,"日本版NIH及其制药企业,政策制定·战略规划需要佐证。为此,本研究尝试基于新的指标体系进行制药产业的现状俯瞰与未来预测。连载第二篇,着眼于可望今后成长的生物药物,从不同的技术观点来分析各国的强项与弱项。其结果重新认识了美国在生物药物研发中的优势。同时表明,日本研发中的某些领域可以期待。",QBGC201501006
从企业战略管理视角看科技情报研究选题,李荣:30225717|宋辰:34650619|贾明慧:34468243|,7,战略管理;科技情报;科研选题;企业;市场营销;,"传统科技情报研究选题思路已制约了科技情报的发展。本文将企业战略管理想理论与科技情报选题工作相结合,提出科技情报选题要遵循社会与市场需求、成果导向、逆向思维、开放性四项原则,同时归纳出选题的主要来源,在此基础上,就如何进一步做好科技情报研究选题工作提出若干对策建议。",QBGC201501007
英国官产学研合作模式及其借鉴作用初探,张红:23976709|苗润莲:10808273|蔚晓川:23838799|,8,战略管理;科技情报;科研选题;企业;市场营销;,"英国的产学研合作自始就得到了政府重视和推动,具有很浓的官方色彩,官产学研合作对推动英国科技创新和经济发展发挥了重要作用。本文通过文献分析和对比研究方法,对英国官产学研合作进行了总体梳理,分析研究了具体的合作模式及其评价,并以英国经验为借鉴,结合我国创新体系建设目标,从政策环境和资助力度,合作园区和合作交流平台建设,科技中介机构培育与发展以及人才培养与交流等四方面提出我国加强产学研合作的建议,以期对我国官产学研合作机制的完善,为政府在科技创新中更有效地发挥推动引导作用提供借鉴参考。",QBGC201501008
"理解大数据时代特征,提升海淀政府治理能力",王厚全:25121448|,4,大数据时代;数据;变革;政府;管理;,"大数据已成为当前各领域的热点,其商业和技术价值日益显现。然而,人们对大数据的概念、基本理念和规范等还缺乏有效的认识。文章通过对政府部门在大数据的认识、了解等方面缺失的分析,提出从基础设施建设、基础数据采集、配置共享数据资源和安全管理等方面加强政府大数据管理和应用能力的相关对策建议。",QBGC201501010
燃料电池产业发展现状分析研究,乔婧:28996576|高子涵:26421643|,7,燃料电池;分类;发展趋势;发展现状;,"随着能源危机的愈发严峻以及环境问题的日益严重,高效率,低污染的能源利用方式越来越受到人们的高度重视。燃料电池是一种高效、洁净的发电装置,它将外界输入的燃料的化学能转化成电能并持续向外供电。这种发电技术不仅缓和了使用化石能源引起的污染排放问题,还提高用电的灵活性和可靠性。在详细阐述燃料电池的分类、国内外技术的发展现状以及当前的发展技术热点后,对燃料电池产业的发展进行全面的现状分析研究。",QBGC201501011
创新扩散视角下科学知识的微博传播机理研究——以雅安地震期间@中国地震台网速报为例,李辉:22315827|晏齐宏:31850612|付宏:26189200|杜智涛:27674510|,6,科学知识;微博;创新扩散;中国地震台网速报;雅安地震;,"灾难时期是科学知识传播的最佳时期。本研究以@中国地震台网速报为例,基于创新扩散理论,分析雅安地震中科学知识的微博传播机理。研究发现,微博环境下,科学知识的传播主要包括两大渠道:大众传播和人际传播。大众传播是以新闻价值为导向的单向传播,人际传播是以社交关系为导向的双向传播。针对于此,研究认为要扩大科学知识微博传播的影响力,需要提高微博运营团队的科学素养,提高公众的媒介素养,积极培养意见领袖。",QBGC201501012
基于AHP与逻辑模型的科技项目绩效评价方法,于晓辉:33987290|石一丁:34650620|孙红霞:32605313|,7,科技项目;绩效评价;层次分析法;医学卫生;,"基于层次分析法(AHP)与逻辑模型,提出了科技项目绩效评价的定量方法。以医学卫生领域科技项目为例,梳理了科技项目绩效管理的框架和思路,并为相关的科技项目管理者提供了科技项目绩效评价的方法和决策依据。",QBGC201501013
移动电子商务推荐系统输入研究,崔春生:29990851|,8,移动电子商务;推荐系统;隐式浏览输入;兴趣度;,"在描述移动电子商务推荐系统的基本特征基础上,分析了显式评分输入和隐式浏览输入的差异,认为移动互联网环境下隐式浏览输入是推荐输入的主流。进而通过用户兴趣提取、用户兴趣计算以及浏览时间确定等环节,得到移动环境下用户对产品的兴趣度。该方法的提出一方面充实了移动推荐系统的理论研究成果,另一方面也对推荐系统中隐式浏览输入的研究有一定的推动作用。",QBGC201501014
