文献信息资源共享理论的新视野──兼评《上海地区文献信息资源共享问题研究》,范并思:07530184|,3,文献资源共享;文献资源布局;文献资源保障率;,本文对《上海地区文献信息资源共享问题研究》进行了评介。该报告指出，在新的信息环境下，文献信息资源共享应突破原有利用文献资源拥有率的概念来研究文献资源共享问题，提出了应以文献信息的可获知能力和可获得能力来研究文献资源共享的理论框架。,QBZL199904000
我国信息化水平指数测度研究,梁海丽:06276903|于洪彬:06245438|,3,信息化指数;信息化水平测度;社会信息化指数体系;,本文回顾了信息化水平测度体系发展的整个历史，着重讨论了日本学者提出的社会信息化指数体系，在此基础上加以修改，提出了更为合理的信息化测度指数体系，并以我国1987年和1997年为例做了实例研究。,QBZL199904001
灰色文献控制观,张锦:09646406|,3,灰色文献;文献控制;信息交流;,文章从社会信息控制观角度，对灰色文献的含义、特征、功用及其利用进行了重新分析。,QBZL199904002
用户满意论,初景利:07958238|,3,读者;用户;图书馆;读者服务;,本文剖析了用户满意的概念，总结评价了国内外用户满意测度的研究，提出了提高用户满意度的若干具体措施。,QBZL199904003
决策信息需求的调查分析与服务对策研究,周晓英:45671143|,3,决策管理;信息需求;调研报告;,文章采取实际调研的方式，对领导决策者的信息需求进行研究。通过对社科院系统及党政决策管理层内部信息机构对决策信息需求与提供情况的调查分析，提出了社科信息机构为领导决策服务的对策建议。,QBZL199904004
发展新闻信息产业之我见──两次北京之行的启示,李雪梅:12783523|,3,新闻资料;数据库建设;信息产业;,通过对北京地区部分新闻单位数据库建设情况的调查和研究，指出新闻资料信息化存在的问题，并提出实现新闻单位资料信息化的具体办法。,QBZL199904005
试论我国图书馆内在动力的生长与培育,吴怡青:13510973|,3,图书馆;内在动力;信息现代化;网络建设;,本文论述了我国图书馆内在动力的特征与作用，并结合实际针对当前图书馆内在动力生长过程存在的主要问题进行了较为深入的分析，同时，就如何培育我国图书馆内在动力生长机制问题提出了建议。,QBZL199904006
关于《邓小平理论研究文献数据库》的编制实践,田国良:10597672|,3,,,QBZL199904008
数字地球与因特网,马慧:11130712|苏小航:12301810|,3,数字地球;知识经济;因特网;数字中国;,数字地球是继知识经济以来出现的又一术语和概念，是美国推出的又一全球性的战略计划，本文概述了其概念和特征、数字地球与知识经济的关系以及数字中国的建设。,QBZL199904009
试论图书馆因特网络资料的收藏标准,劳瑞勤:06596820|,3,,,QBZL199904010
知识经济时代图书馆须强化研究职能,张金路:06449147|,3,知识经济;图书馆职能;成果评价;,文章从不同视角分析了图书馆研究职能被弱化的原因，论述了这一职能在即将到来的知识经济时代的重要作用，并对研究范围及成果评价作了探索，最后提出了其强化措施。,QBZL199904011
谈图书馆现代化建筑,靳颖:09553992|,3,图书馆;建筑;模数式;,本文分析了图书馆认知与图书馆建筑设计之间的关系，并分别对图书馆建筑的方针政策和建筑单位的协调、图书馆建筑的“模数式”发展、多功能服务空间的设计、楼宇的智能化等问题进行了阐述。,QBZL199904012
公共图书馆开展就业信息咨询服务(摘编),周立飞:13446257|,3,,,QBZL199904013
