美国国立医学图书馆的计算机系统,过介坤:16539497|沈迪飞:09638919|余光镇:16989049|,14,,,XDTQ198001000
情报检索软件MISTRAL介绍,任承邦:20975159|,5,,,XDTQ198001001
机编关键词文摘索引的形态及特征,杨廷郊:09679445|,11,,,XDTQ198001002
用主题词标引文献时的组配问题,王源:10355914|,7,,,XDTQ198001003
主题法的发展,陆长旭:16396098|,6,,,XDTQ198001004
谈谈研究所图书馆自建文献库问题,顾成有:09596201|王能琴:09639462|,5,,,XDTQ198001006
联机数据库检索网络,M.E.威廉斯|邱峰|董丽琴:|,7,,本文主要讨论网络问题，包括硬件、软件、通讯设施、数据库、资源共享 及使用网络进行数据库联机检索的原由。同时也讨论了联机系统在专题回溯 检索、快速提问、流到资料通报、查找策略研究、人员培训、书目标准化 研究等方面的应用。也介绍了联机检索所需的设备、人员，以及联机检索的 费用和联机检索的优缺点。,XDTQ198001007
数据结构和管理(一),伊凡·弗劳利斯|李乐天|路学:|,19,,情报检索是计算机数据处理的重要应用之一。近年来，在数据处理中采用了数据库技术，而数据库的基础是数据结构。美国纽约大学伊凡·弗劳利斯（Ｉｖ．Ｆ１ｏｒｅｓ）教授在《数据结构和管理》（Ｄａｔａ Ｓｔｒｕｃｔｕｒｅ ａｎｄ Ｍａｎａｇｅｍｅｎｔ）一书中，用通俗文字对问题进行了系统讲述，对初学者是很有裨益的。 全书分为十二章，其主要内容包括：数据的实质、数据符号、文件结构、文件的使用、有序表、拉链表、分支和共享拉链表、目录表、映像式杂凑法、文件的溢出、二叉树和复杂文件。本刊将它作为学习讲座资料陆续刊载（略有删节）。,XDTQ198001008
图书馆自动化书目,王津生:|,1,,,XDTQ198001009
图书馆计算机系统的系统分析和系统设计,周兵:21461362|,13,,国外在建立计算机系统中的经验表明，必须首先对原有系统进行系统分析和 系统设计，才能保证建立起来的计算机系统发挥更大的效益．该文结合我国图书 馆界的具体情况对这一问题做了初步研究和探讨、希能引起广泛的重视和讨论．,XDTQ198002000
SDI──111文献检索程序设计,王小宁:16820256|夏爱芳:09030744|王大可:16733407|,16,,,XDTQ198002001
机读文献数据库,余光镇:16989049|,9,,,XDTQ198002002
日本铁道技术研究所图书馆联机文献检索系统的初步研究,陈祖华:21223662|魏华征:21386370|,8,,,XDTQ198002003
