篇名	作者	页数	关键词	摘要	filename
第五届“知网杯”上海高校信息资源发现大赛决赛在华东理工大学图书馆举办	孙晓凤:31810013	2	 	"<正>2019年11月22日下午,由上海市高等学校图书情报工作委员会与同方知网(北京)技术有限公司上海分公司联合主办、华东理工大学图书馆承办的第五届""知网杯""上海高校信息资源发现大赛决赛在华东理工大学图书馆成功举办。""知网杯""信息资源发现大赛首办于2015年9月,至今已经连续举办五届,旨在用丰富多彩的的比赛形式激发上海地区高校师生对信息检索、数据分析的兴趣,锻炼高校师生的信息获取和信息处理能力,推广科学的信息检索方法,提升师生信息素养。本届上海高校信息资源发现大赛共分为初赛和决赛两个阶段,自2019年9月份初赛举办以来,共吸引了4637人参与,答题人次达到7057人次之多。 "	SHGT201904001
2019图书馆阅读推广及服务创新案例交流分享会举办	段晓林:28234424	3	 	"<正>2019年阅读推广及服务创新案例交流分享会于11月6-7日在上海市奉贤区会议中心举行。会议由上海市图书馆学会、上海市奉贤区精神文明建设委员会办公室、上海市奉贤区文化和旅游局、国家图书馆出版社联合主办,奉贤区图书馆承办。上海市图书馆学会理事长、上海图书馆副馆长周德明,中共奉贤区委常委、宣传部部长徐卫分别在开幕式上致辞。周德明在致辞中提到,本次交流会,将把阅读推广及服务创新方面的最新理念、最新观点传 "	SHGT201904002
2019长三角地区高校图书馆联盟学科馆员研讨会成功举办	陈幼华:09591353	1	 	"<正>11月20-21日,在""双一流""建设、长三角一体化发展国家战略的驱动下,由长三角地区高校图书馆联盟、上海市高等学校图书情报工作委员会主办、上海交通大学图书馆承办的""长三角地区高校图书馆联盟学科馆员研讨会""在上海交通大学召开。会议由主题报告、上机实习与答疑、分组研讨与汇报、专家打分点评等主体环节组成。上海交通大学图书馆馆长陈进主讲《学科服务有效支撑大学发展》,拉开了主题报告的序幕。他的报告由""立志:新时代规划新征程""""启航:泛学科化服务初心""""案例:凝练经验谋划长远""""寄语:带着梦想扬帆远航""5大部分组成,揭示了图书馆的发展历程与当前面临的新形势及相应的新使命,详述了 "	SHGT201904003
酒香也怕巷子深，宣传就是生产力 记上海理工大学图书馆宣传工作小组的成长	徐梦琪:32876028	1	 	"<正>""哇,太好了,大一新生爱了爱了,USST""""都是我去年备考时经历过的啊!图书馆真的用心了,都是学生实实在在需要的,学弟学妹们太幸福啦""""现在还可以加入图书馆之友协会吗?错过了呢""......一条条微信公众号中的留言互动,彰显了广大师生对图书馆工作的认可,也温暖了全馆工作人员的心。上海理工大学图书馆在广大师生中具有良好口碑,连续多年在校职能部处评比中名列前茅。但是由于长期以来宣传工作力度不足,面临图书馆资源利用不均衡,受众面窄,主题活动师生参与积极性不高等问题。基于此,2019年暑假伊始,由图书馆陈世平馆长、卢小虎和王龑副馆长牵头,信息部主任王细荣老师、办 "	SHGT201904004
不忘初心 牢记使命——上海工商职业技术学院图书馆开展的建国70周年知识挑战赛圆满落幕		1	 	"<正>为了进一步推进""不忘初心牢记使命""主题教育活动的深入开展,激发新时代大学生民族自豪感和爱国主义情怀,进一步推动校园文化建设,上海工商职业技术学院图书馆特承办的""建国70周年知识挑战赛""。本次知识挑战赛活动由上海市高等学校图书情报工作委员会牵头组织。上海工商职业技术学院92名师生在为期十天(10月21日到31日)的线上挑战赛中,最终会计192班杨佳琪、会计181王娜、旅游管理181蒋叶童、餐饮管理192毛文杰、餐饮管理191获李晓党、酒店管理192李照鑫等六名同学脱颖而出荣获""挑战达人""的光荣称号。近日,上海工商职业技术学院图书馆也在该校的教工之家为此六名学生举行了颁奖仪式。此次活动的举办,旨在鼓励广大师生积极参与图书馆文化活动。此次活动更是上海工商职业技术学院图书馆在开展""不忘初心,牢记使命""主题教育活动中切实提升服务品质、更好吸引学生入馆学习的重要举措,希望通过这样的活动,切实提高广大学生读者利用图书馆的积极性。 "	SHGT201904011
上海对外经贸大学图书馆举行学术讲座与业务案例专题会暨“第六届科研活动月”系列活动		1	 	"<正>11月18日,上海对外经贸大学图书馆举行学术讲座与业务案例专题会暨""第六届科研活动月""系列活动。来自东华大学、华东政法大学、上海工程技术大学、上海政法学院等高校图书馆同仁及图书馆全体馆员参加了专题会,专题会由图书馆副馆长谢蓉和信息服务部主任赵珊珊主持。上海对外经贸大学图书馆特邀华东师范大学范并思教授来我馆作学术讲座,图书馆赵勇书记为范并思教授颁发馆员学术发展中心顾问特聘证书。范并思教授在主题为""高效图书馆阅读推广理论与实践""的讲座中,从阅读与阅读推广概念的界定引出自己对何为阅读推广的思考,并进一步提出中国图书馆阅读推广的发展背景动因;他认为阅读推广的发展需要社会推动、创新驱动和理论引领;强调在当今时代图书馆在全民阅读中肩负重任,必须以""新常态""的思维方式结合科学精神和专业主义推动高校图书馆的发展。报告结束后,谢蓉副馆长与阅读推广部的馆员就阅读推广工作实践问题与范教授进行了进一步的讨论交流。在业务案例分享环节,来自图书馆各业务部门的董岳珂、艾致、郭昕霞、刘敏及韦薇等五位同 "	SHGT201904016
上海海事大学图书馆2019年度电子资源宣传推广活动成功举办		1	 	"<正>为使读者更加深入地了解图书馆电子资源,10月16日中午,上海海事大学图书馆在二楼大厅举办""2019年度电子资源宣传推广活动""。本次活动特邀同方(CNKI),超星(超星电子书、超星期刊、百链、超星学术视频),Elsevier(ScienceDirect、EI),IEEE(IEL),科睿唯安(SCI、SSCI、DII、ESI)等15家中外文数据供应商来馆摆摊宣传,与师生读者现场交流、答疑解惑。同时,该馆学科服务部和科技情报部也对相关学科和情报服务进行宣传和推广,详细解答读者咨询。活动中,数据商们通过易拉宝,现场发放宣传册等形式宣传推广其电子资源,培训师面对面解答电子资源利用的方法、技巧和疑问等,并准备了精美小礼品与读者进行互动。现场气氛热烈,人气火爆,读者们通过微信扫码、现场咨询等方式积极参与其中,体验电子资源发展带来的服务与便利。本次活动的成功举办,有利于读者全面直观地了解图书馆订购的各类电子资源,进一步掌握使用方法和技巧,提高电子资源利用率。同时为图书馆了解读者使用需求、探索和创新服务方式提供 "	SHGT201904026
《中国大百科全书》（第三版）博物馆学科编辑工作会议在上海大学召开		2	 	"<正>2019年11月17日,《中国大百科全书》(第三版)博物馆学科编辑工作会议在上海大学召开。国家文物局副局长关强,国际博物馆协会副主席、中国博物馆协会副理事长兼秘书长,《中国大百科全书》(第三版)博物馆学科主编安来顺,上海大学党委副书记、纪委书记段勇,中国大百科全书出版社副总编辑刘杭,中国大百科全书出版社三版内容中心主任徐世新,国家文物局博物馆与社会文物司科技与信息处副处长(主持工作)吴寒,中国博物馆协会副秘书长艾静芳,湖南省博物馆馆长段晓明,湖南省博物馆原馆长陈建明,上海博物馆馆长杨志刚,上海大学图书馆馆长潘守永、博物馆馆长李明斌,《中国大百科全书》(第三版)博物馆学科分支主编/副主编韩永、黄春雨、郭青生、张文立、李文昌、郑奕、信木祥等专家学者及分支联络人,湖南省博物馆与中国大百科全书出版社相关代表近30人出席本次会议。会议由潘守永主持。国家文物局副局长关强就《中国大百科全书》(三版)博物馆学科卷发表讲话,指出博物馆学第一次单独成卷列入《中国大百科全书》第三版,意义重大而深远。国家文物局对此非常重视, "	SHGT201904028
新时代，新使命，新作为 同济大学图书馆学术报告会圆满举行	陈飒飒:28016317	1	 	"<正>为了提高馆员在新时代的信息服务能力和科研水平、增强创新意识,同济大学图书馆特邀北京大学情报学专业博士生导师赖茂生教授、中国人民大学信息资源管理学院博士生导师周晓英教授、南开大学商学院信息资源管理系博士生导师王芳教授来馆作学术报告。学术报告会于11月18日上午在四平路校区图书馆一楼报告厅顺利举行。报告会由图书馆副馆长何青芳主持。图书馆党委书记慎金花、馆长陈欣等党政领导、各部门馆员以及来自上海各高校的同仁50余人到场聆听了报告。 "	SHGT201904029
2019“图书馆学术论坛”在上海师范大学图书馆举行	段晓林:28234424	2	 	"<正>11月8日,由上海市高等学校图书情报工作委员会、中国索引学会主办,上海师范大学图书馆承办的2019""图书馆学术论坛""在上海师范大学举行。来自上海地区乃至全国各地的图书馆馆员近100人与会。上海师范大学图书馆党总支书记段鸿致欢迎辞,并提到:论坛从2014年至今已举办6届,通过专家通讯评审、论文作者现场交流、主编现场点评、优秀论文推荐发表等形式,为图书馆业界营造科研氛围、涵育学术成果、扶持学界新人起到积极作用。开幕式上,还为本次论坛优秀论文作者颁发了获奖证书。开幕式由上海师范大学图书馆党总支副书记赵龙主持。 "	SHGT201904030
