篇名,作者,页数,关键词,摘要,filename
高校图书馆大数据文献数字化阅读推广创新模式研究,于新国:33425334,5,高校图书馆; 数字化阅读; 大数据文献; 阅读推广模式;,"运用互联网大数据文献资源调研和实证分析的方法,对高校图书馆大数据文献数字化阅读推广创新模式进行研究,研究结果可为高校图书馆数字化阅读推广创新模式提供有益的启发、借鉴与参考。 ",TSLT201606002
拉斯韦尔5W模式在大学图书馆信息传播中的分析,贺燕芝:29962433,4,图书馆; 信息传播; 传播学;,"学科的交叉与融合,使图书馆学的进步与发展与其他相关学科密切相关。以拉斯韦尔""5W""传播模式从信息传播者、传播内容、信息载体、信息用户和传播效果分析了图书馆信息传播流程各要素的特点和内涵,以期为图书馆信息的更好传播提供依据。 ",TSLT201606003
以需求为导向的少儿数字阅读推广模式探悉,张文君:33055646,5,需求; 少儿数字阅读; 服务模式;,"试图通过对少儿数字资源需求与实际矛盾的分析,发现目前存在的问题,并以少年儿童的年龄特征和数字阅读需求为出发点,提出公共图书馆在少儿数字阅读推广中的创新思路。 ",TSLT201606004
湖北省高校图书馆科研产出水平探析,曹国宏:35989190|李琪:09455641|严冰:11398487|肖诗宇:09497000|郭晓宁:35989189,8,高校图书馆; 科研创新; CiteSpace;,"以湖北省多所高校图书馆为研究对象,以中国知网CNKI数据库收录的期刊发文情况作为数据样本,基于EXCEL和CiteSpace可视化软件分类对比分析了湖北省高校图书馆的科研产出水平,并据此提出了提升图书馆员科研创新能力的有效措施。 ",TSLT201606005
全国国民阅读调查发展综述,任慧朋:32213340,7,国民阅读; 调查; 发展; 综述;,"1999年至2016年,中国出版科学研究所进行了13次大规模的全国国民阅读调查,其调查结果的权威性和科学性受到社会各界的普遍认可。本文将全部阅读调查的情况进行了梳理,归纳了全国国民阅读调查的发展历程,对调查内容、调查范围和核心指标等变化情况进行了全面地分析。 ",TSLT201606006
涉军舆情安全评估指标体系理论基础探析,陈建敏:33429066|余遵成:34423281,7,涉军舆情安全评估; 指标体系; 理论基础; 信息空间模型;,"为深入研究涉军舆情安全评估问题,充实涉军舆情研究领域。提出涉军舆情安全评估指标体系的概念并对其含义进行阐释;提出涉军舆情安全评估的相关方法及程序步骤;引入信息空间模型,提出评估体系的设计构想。 ",TSLT201606007
全媒体时代图书馆员技能要求和职业愿景,刘培培:43767012,5,全媒体; 图书馆馆员; 技能要求; 职业愿景;,"从全媒体给图书馆带来的机遇和挑战入手,揭示了图书馆的发展趋势和图书馆员的职业变化,阐述了全媒体时代图书馆员的需要的技能,展望了图书馆员的职业愿景,并提出图书馆员实现技能提升和职业愿景的相应对策。 ",TSLT201606008
浅论县级公共图书馆新馆建设,,5,县级图书馆; 新馆建设; 理念; 功能; 管理;,"随着科学技术的日新月异和人们对阅读需求的日益浓列,特别是""十二五""期间国家对公共文化建设的大投入,新世纪的图书馆建设蓬勃发展。本文试图结合县级公共图书馆新馆建设方面存在的一些问题对现代县级公共图书馆建馆的重要性、建馆的理念、建筑的功能性及后期管理进行一点分析探讨。 ",TSLT201606009
图书馆员应重视外文专业阅读,曹娟1:11114636|蔡喜年2:08869925,6,图书馆员; 专业阅读; 外文;,"图书馆员除关注读者的阅读状况外,更应加强自身的专业阅读,尤其是外文专业阅读。鉴于目前我国图书馆员专业阅读现状令人堪忧,以及对图书情报学外文图书和期刊的关注度不高,重点推介了一些外文经典图书和高影响力期刊,借此呼吁图书馆员们应重视外文专业阅读,密切关注国际图书馆界的最新动态,借鉴和学习其先进的研究理论、方法和前沿成果。 ",TSLT201606010
图书荐购在高校图书馆的开展现状与问题分析——基于对湖南省部分高校图书馆的调查,郑月香:33033811,4,高校图书馆; 图书荐购; 调查分析;,"通过对湖南部分高校图书馆开展图书荐购服务的调查,分析了湖南高校读者荐购的总体特点以及相关的影响因素,并根据调查结果提出一些改善措施,以期为完善和健全图书馆荐购服务提供参考和帮助。 ",TSLT201606011
探讨数字环境下的公共图书馆地方文献采访工作——以首都图书馆北京地方文献为例,袁碧荣:10930529,5,图书馆; 地方文献; 采访; 原则; 策略;,"数字化环境下,地方文献采访面临着机遇与挑战,本文主要从坚持采访原则、呈缴制的立法保障、采访经费的满足及灵活多变的财务制度、高素质的采访馆员等方面来探讨数字化环境下地方文献采访策略。 ",TSLT201606013
有效延伸服务半径 丰富基层文化生活——关于湖北地区流动图书车的调研报告,余嫚雪:33204086|李红:29768545,4,流动图书车; 作用; 困境; 对策;,"流动图书车有效的延伸了服务半径,有利于丰富基层群众文化生活,但同时也存在经费不足、无专职人员等问题。如何有效的利用流动图书车开展读者服务将成为探讨的重点。 ",TSLT201606014
“互联网+”时代地方高校图书馆社会化服务模式研究与实践——以湖南医药学院图书馆为例,杨芳:35253267|冯鑫:36647721,4,互联网+; 地方高校图书馆; 社会化服务; 模式;,"在""互联网+""时代,如何利用各种新媒体技术,创新高校图书馆知识信息服务模式,提高社会化服务水平,是图书馆人当前所面临的亟待解决的问题。本文从地方高校图书馆社会化服务的需求、国内外研究现状进行分析,对""互联网+""时代地方高校图书馆社会化服务模式进行研究与探讨。 ",TSLT201606015
“互联网+”时代的编目工作,王义翠:23336713,4,互联网+; 文献编目;,"文献编目一直是图书馆的基础业务,它经历了传统手工时代和计算机操作时代,在互联网时代文献编目工作实现了共建共享,编目基础业务也实现了外包,编目员也从繁重的简单重复劳动中解放出来,但图书馆的发展却遭遇了数据瓶颈,图书馆丰富的资源在Marc格式下无法和社会实现无障碍接轨,我们的数据模式到了非变不可的时候,图书馆发展的机遇与挑战来临了。 ",TSLT201606016
《隋韩舒之墓志》考释,常美琦:36749224,6,韩舒之墓志; 征战; 打破天隔;,"《隋韩舒之墓志》,在一次不无偶然的机遇中被发现。据墓志,韩舒之的祖、父都是为周、隋时一普通的中层官吏,甚至其父还长期在边远荒寒之地的廓州任职。但这恰巧某种程度上反而磨练、砥砺了其从军的素质。韩舒之参与了平北齐、平尉迟迥等重要战役,并发挥了重要作用,由此得以升任大都督,说明了其作战的勇猛和功绩。在不断的征战中,韩舒之为自己争取了更广阔的上升空间。这也足见出频繁征战时一个士人的际遇,也能说明士庶天隔并非僵化,已有了较多的松动,因为时代总会需要才德兼备的人来治理、统一国家,进而推动整个社会的流动与不断发展。这不妨视为那一时代一位普通士人上升的一个缩影。 ",TSLT201606017
关于书和人的那些事儿(续)——有话要说的行走(二),,5, ,"<正>四这次的行走不再是孤单的一个人,还有一个她,而这种不同的旅行是否能让我找到梦寐以求的答案,还是一个问号。因为我这次的目的是寻找家的感觉,能否在心中找到一答案,的确不好说。还未下飞机,刚到地面便接到了她略带焦急的电话,心中当然是很愉悦的。可飞机上人太多,我也不可能翻越人墙,只能在后面站着闭眼假寐。当时情况极为不好,机舱 ",TSLT201606018
征稿启事,,1, ,"<正>《图书情报论坛》于1989年创刊,由湖北省图书馆学会、湖北省图书馆主办,湖北省文化厅主管。创刊20余年来,《图书情报论坛》坚持""适应学科发展潮流、关注公众知识状况"",体现""以理论为先导、以理论指导实践""的宗旨;倡导""以人为本""、""理论联系实际""的办刊理念;2011年《图书情报论坛》由季刊改为双月刊,改刊后信息量更加丰富,用稿量进一步增大,进一步扩大了《图书情报论坛》的影响。为进一步活跃图书馆界学术气氛,加强与广大读者、作者的沟通与联系,进一步繁 ",TSLT201606019
2016湖北省第二批公共文化服务示范区图书馆创建工作会议在省图书馆召开,,1, ,"<正>2016年11月30日,湖北省第二批公共文化服务示范区图书馆创建工作会议在省图书馆召开。湖北省图书馆馆长汤旭岩、副馆长谢春枝,以及第二批创建公共文化服务体系示范区的洪山区、南漳县、西陵区、夷陵区、竹溪县、公安县、钟祥市、嘉鱼县、崇阳县、利川市、神农架林区等县(市、区)的公共图书馆馆长参加会议。会议由谢春枝主持。首先,邀请武汉大学国家文化创新研究中心副主任、国家公共文化服务体系建设专家陈波博士作了题为《农村公共文化服务体系建设的主要问题和建设思路》的专题讲 ",TSLT201606001
湖北省高校文献保障系统建设概述,燕今伟1:34985652|刘霞2:09017796,7, ,"<正>1998年底,教育部正式启动中国高等教育文献保障体系(CALIS)建设项目。经过十五年的建设和发展,已逐步形成了全国-省级-成员馆的三级服务体系,全面提升了我国高校图书馆的发展水平。在CALIS的带动下,湖北省高校图书馆之间的合作和共享日益加强,省级文献保障体系——湖北省高等学校 ",TSLT201605002
近十年国内索引方法与技术研究计量分析,余遵成:34423281,9,索引; 方法与技术; 计量分析;,"采用文献计量学的方法,从文献数量的年度分布、被引量和下载量、作者及机构分布几方面对国内索引方法与技术研究的文献进行统计分析,利用Citespace软件绘制研究热点聚类图。结果表明:专门研究索引方法与技术的研究者比较少,稳定的核心研究群体尚未形成;核心研究人员比较集中于硕士、博士群体;总体上,该领域研究面还比较窄,主要集中于空间索引、全文检索、XML索引、时空数据库、位置敏感哈希、时态索引等6个热点研究领域,关于应用与服务相关的研究还比较欠缺。 ",TSLT201605005
浅谈图书馆自媒体建设,黄雨晨:35628590|曾丽:35628589,8,自媒体; 图书馆; 微信; 微博;,"简要分析图书馆自媒体在全国发展的情况,重点放在微博微信分析上,浅谈图书馆自媒体的不足,以及与其他自媒体的区别。 ",TSLT201605006
军事类微信爆文的传播特征及启示,张辉:23619221,5,军事类微信爆文; 传播力; 传播特征;,"该研究借助西瓜公众号助手平台的爆文指数进行分析,发现用户思维、深度性、易读性、情感性和热点性成为其重要的传播特征。基于此,该文认为军事类微信公号应该做到三点。其一,以深度为目标,完善生产机制;其二,以形式创新为抓手,追求表达可视化;其三,以服务为导向,紧贴受众需求。 ",TSLT201605007
《图书情报论坛》引文数据统计分析,张文清:29053339|邓巍:24553734,5, ,"<正>《图书情报论坛》于1989年创刊,由湖北省文化厅主管,湖北省图书馆学会、湖北省图书馆主办,是图书情报专业的省级学术内部交流期刊。刊名由我国著名学者、书法家启功先生题写。《图书情报论坛》辟有""专家论坛""、""理论探讨""、""工作研究""、""读者工作""、""资源建设""、""数字化网络化""和""古籍研究""、""馆员札记""、""公益讲座""等栏目,形成了前瞻性与现实性并重,理论研究与实 ",TSLT201605009
阅读推广中的图书推荐,张硕:26034153,4,图书馆; 图书推荐; 阅读推广;,"图书推荐作为图书馆的基础性工作,对馆藏建设和读者阅读起着非常大的作用,图书馆的阅读推广理当围绕图书推荐来进行,以图书推荐为中心,创新图书推荐活动方式。 ",TSLT201605010
论公共图书馆地方文献的剔除问题,杨爱华1:23946114|李祎2:36743762,5,公共图书馆; 地方文献; 剔除;,"以湖北省公共图书馆为例,从文献建设现状、开架排架及文献价值评估三方面探讨地方文献剔除工作的必要性,指出自然因素、学理因素及征集体制是部分地方文献待剔除的成因,提出地方文献剔除的初步方案。 ",TSLT201605012
"以品牌建设为抓手,深耕少儿阅读推广——以襄阳市少儿图书馆“小诸葛读书会”为例",,4,品牌建设; 少儿阅读; 推广;,"在信息来源多元化的今天,我国少儿阅读的内容和方式也发生了深刻的变革。在变革的洪流中,难免泥沙俱下,加强少儿阅读推广势在必行。本文以襄阳市少儿图书馆""小诸葛读书会""为例,分析介绍了我馆少儿阅读推广活动的实践与思考。 ",TSLT201605013
