篇名,作者,页数,关键词,摘要,filename
2019年人工智能新态势与新进展,"孙哲南1,2,3:17257368|张兆翔1,2,3:37096519|王威1:29943438|刘菲1:34541941|谭铁牛1,2,3:13621746",16,人工智能; 计算机视觉; 神经形态芯片; 脑智融合; 智能机器人;,"[目的]人工智能已经成为社会各界最为关注的热点技术方向,本文旨在让政府部门、科技人员、产业人员和社会大众了解人工智能领域的最新动态。[方法]本文重点梳理了2019年人工智能新闻事件和科技文献,对人工智能领域总体发展态势进行概括和总结,对人工智能重点技术进展进行综述和展望。[结果] 2019年人工智能发展更加理性务实,一方面呈现出""瓜熟蒂落、水到渠成""的繁荣景象,在万物互联、大数据、超级计算、深度学习时代实现了技术应用和产业落地,另一方面我们也可以看到基于深度神经网络的技术创新开始进入平稳期,科研人员开始探索增强学习、自动化机器学习、脑机接口、类脑智能、可解释人工智能等新方向,在人工智能创新触发期""芽苞初放,生机勃勃""。[局限]本文以介绍人工智能技术进展为主,没有对技术未来方向进行全面预测。[结论] 2019年人工智能在神经形态芯片、脑机融合、人机博弈、智能机器人、计算机视觉、自然语言理解等领域都取得重要技术进展,但是我们看到迈向通用人工智能仍然任重道远,人工智能领域亟待革命性的技术创新和突破。 ",KYXH201906001
文档图像识别技术回顾与展望,刘成林:13621618,9,文档识别; 版面分析; 文本检测; 深度学习; 字符识别; 文本行识别;,"[目的]文档图像是一类广泛存在且具有重要应用价值的数据。从文档图像中检测文字并转化为计算机内码(电子文本)是文档识别的主要目标。自上世纪50年代以来,文档识别(又称文字识别,OCR)的研究和应用取得了巨大的进展。本文为科研人员和工程人员提供一个比较全面的文档图像识别技术总体介绍,便于大家开展技术创新和技术应用。[方法]本文在介绍文档识别应用背景的基础上,对该领域历史上主要方法进行回顾,对当前技术状况和研究动态进行分析,并展望未来发展趋势。[结果] 1950年代到2000年代,在统计模式识别、特征提取、结构分析、字符切分、字符串识别和版面分析等方面积累了大量有效方法。[结论]近年来深度学习(深度神经网络)逐渐成为主导性的方法,使文字检测和识别的性能得到明显提升,但在复杂版面分析能力、文字识别的可靠性、泛化性等方面仍然存在不足。 ",KYXH201906002
语音识别技术研究进展与挑战,刘庆峰:15361768|高建清:30535293|万根顺:39272211,11,语音识别; 端到端; 远场识别; 中英文混合; 专业术语;,"[目的]本文对语音识别系统的主流技术框架及主要挑战进行了系统而全面的介绍,为语音识别领域的进一步技术研究提供参考。[方法]首先,介绍了端到端语音识别框架的主流方案;然后,提出了语音识别应用中的四大挑战性问题,即恶劣场景的识别问题、中英文混合识别问题、专业术语的识别问题以及低资源小语种识别问题。[结果]针对端到端框架稳定性不足的问题,提出了带有强化和过滤注意力机制的改进方案。针对语音识别中的挑战性难题,探讨了主流的解决方案及未来的发展方向。[结论]端到端框架的大规模商用仍存在较大挑战,四大挑战性问题的解决将对语音识别的行业应用推广起到关键的作用。 ",KYXH201906003
深度学习在医学影像分析中的应用综述,,16,深度学习; 医学影像; 综述;,"[目标]综述近年来深度学习(Deep Learning,DL)在医学影像分析领域的研究和应用进展。[文献范围]采用关键词检索和引文二次检索的方法初步收集相关论文。[方法]首先简要介绍基于卷积神经网络的DL模型,然后按病症介绍近年来DL在医学影像辅助诊断中的表现,病症包括脑卒中、肺结节、骨龄测量等。[结果] DL在多种疾病的影像辅助诊断中展现出优势,包括精度高、速度快、结果稳定、可规模化等。同时,很多问题阻碍了DL从实验走向临床,如依赖大量数据、标注标准不统一、模型泛化能力欠佳、可解释性不足等。[局限]检索文献仅覆盖最近几年的工作,对于更久之前的可能存在遗漏。[结论]深度学习可提高放射医师解读影像的效率和精度,但DL还不完美,在广泛渗透医学影像解读之前,还需要经历长时间的研究和验证。 ",KYXH201906004
仿乌贼水下机器人设计与控制,"张天栋1,2:42658300|王睿1:33343785|王硕1,2,3:10743352",9,仿生; 仿乌贼水下机器人; 系统设计; 运动控制;,"[目的]本文研究一种新型仿乌贼水下机器人的系统设计,包括水下机器人机械结构设计和驱动系统设计。[方法]本文建立仿乌贼水下机器人动力学模型、双波动鳍运动学模型以及波动推进力/力矩—行波参数映射模型。[结果]研制了仿乌贼水下机器人样机,在室内水池和开放水域进行了不同模态运动实验,并进行了深度闭环控制实验。[结论]实验结果显示所构建的波动鳍推进仿乌贼水下机器人具有良好的运动能力。 ",KYXH201906005
基于区块链的科学数据标识技术创新应用模式,王姝1:39585388|晏敏2:32902631|刘佳1:38661199|周启惠2:32903084|郭志斌1:44683853|王雅哲2:32902591|周园春1:09596132,13,科学数据; 标识; 区块链; 数据引用; 标识注册;,"[目的]基于区块链的科学数据标识为多方参与的科学数据采集、处理、发布、共享、出版、引用、重用等科学数据全生命周期关键节点提供更可信、更稳定、多关联、权限可控的信息存储与认证,进而为科学数据统计分析、质量评估等提供可信凭证。[文献范围]文章重点调研国内外标识技术协议与系统实例、国内外科学数据的引用统计方法、基于标识和区块链的跨领域关联研究,以及区块链构建中的关键技术和面向标识领域的区块链建设应用等。[方法]本文给出一种面向科学数据引用统计应用的标识区块链平台,基于标识区块链平台的整体架构,阐述构建标识区块链的关键技术及平台工具,并基于标识平台、数据中心以及期刊三个参与方,给出平台具体应用效果。[结果]标识区块链平台在构建科学数据全生命周期关键节点信息凭证系统的同时,为科学数据引用统计提供了可信、多源、稳定、跨域的智能关联服务。[局限]标识区块链融合技术在不断发展中,链上各方节点的数量在一定程度上影响了平台的应用支撑服务范围,未来希望在跨链认证方面进行更多的探索。[结论]科学数据标识区块链以其透明的可信认证机制、灵活的隐私权限设置以及较强的关联查询能力,较好的组织了科学数据采集、出版、发布... ",KYXH201906006
多粒度认知计算——一种大数据智能计算的新模型,王国胤:10646145|于洪:11384516,11,大数据智能; 认知计算; 粒计算; 数据挖掘;,"[目的]分析大数据智能计算的研究背景和面临的主要挑战问题,从认知计算的角度介绍一种大数据智能计算的新模型——多粒度认知计算。[方法]阐述大数据智能计算是实现大数据价值的必由之路,分析传统大数据智能计算模型所采用的数据计算机制,分析其与人类大脑认知机制不一致的问题。介绍统一满足人类大脑""大范围优先""认知机制(由粗粒度到细粒度)与计算机系统信息计算处理机制(由细粒度到粗粒度)的大数据智能计算研究新模型——多粒度认知计算,并介绍数据驱动的粒认知计算DGCC计算框架。[结果]发现建立数据驱动的粒认知计算模型,实现数据与知识双向驱动和变换,需要研究多粒度空间的描述问题、多粒度联合求解问题、人机认知机制融合等三个科学问题。[结论]通过在流程工业智能制造上进行的初步探索表明,多粒度认知计算是解决大数据智能决策面临""数据-知识""融合难题的一种有效的新模型。 ",KYXH201906007
人工智能计算与数据服务平台的研究与应用,"王彦棡1,2:30081540|王珏1,2:30081539|曹荣强1,2:23292131",12,人工智能平台; 计算服务; 资源服务; 应用服务;,"[背景]人工智能技术的快速发展离不开大规模的计算资源和数据资源。海量计算能力是深度学习模型快速训练的有效保障,标准化的数据集是人工智能算法开展大规模训练和提升准确率的重要基础。[目的]人工智能计算与数据服务平台能够有效整合计算资源、数据资源和应用资源,支持模型设计、训练和推理的全过程。[方法]在人工智能和高性能计算融合发展的趋势下,本文重点讨论人工智能平台的应用场景、典型特征及非功能性需求,以中国科学院人工智能计算及数据应用服务平台为例,讨论如何实现平台的各项服务和功能。[结果]人工智能计算及数据应用服务平台综合利用WEB服务、命令行和在线调试工具等多种服务,能够以简单易用的方式支持人工智能算法的快速研发,支持海量大规模训练任务的快速运算,支持多种数据集的快速访问和传输。[结论]人工智能平台能够为用户提供简单易用的集成工作环境,从而促进人工智能技术在多个学科领域的发展。 ",KYXH201906008
智能语音系统安全分析,"张笑宇1,2:44889714|沈超1,2:14179374|陈宇飞1,2:33516259|吴星辉1,2:44889717|刘畅1,2:09058882",12,智能语音系统; 信息安全; 隐私保护;,"[目的]智能语音系统的发展推动着人类生活的进步,人机之间实现便捷沟通的同时也暴露出了各种安全问题。本文对智能语音系统安全的研究现状进行全面的介绍,为中国相关研究工作开展提供参考。[文献范围]参考文献选自人工智能系统安全领域的国内外期刊和会议,总计50余篇。[方法]通过对智能语音系统安全相关研究进行介绍,从智能语音系统的各个环节入手,分析了该领域国内外研究现状以及未来的研究趋势。[结果]针对智能语音系统安全的研究已经取得了相当的成果,但整体处在初级阶段,仍有方向等待探索,仍有难题等待解决。[局限]语音系统安全近年在飞速发展,受限于获取资料的时效性,文中部分研究可能已有新的进展。[结论]关于语音系统安全的研究具备高度的实用价值,但现有的研究在研究角度、实用性等方面存在局限,仍存在大量的空白区域等待学者们进一步探索、研究。 ",KYXH201906009
机器学习在粒子加速器的应用（英文）,储中明:37916304|肖邓杰:44889715|乔予思:37710948|万金宇:44889716,11,机器学习; 加速器; 加速器控制; 数据库; 软件架构;,"[目的]机器学习是一个快速发展的领域,它能解决许多传统方法所无法有效解决的复杂问题。而一台现代粒子加速器如正在北京近郊建造中的超低发射度同步辐射光源,高能同步辐射光源(HEPS),则需要对数以千计的装置设备达到非常高的控制精度,才能用这台光源产出高效科研成果。本文主要为将机器学习应用于粒子加速器做一个简单介绍。[方法]对这样大型的加速器,传统控制方法可能无法满足如此复杂的运行,而本文将介绍机器学习技术可以在加速器的许多系统提供可能的帮助,并提出如何准备数据,及介绍一个适合机器学习的软件架构。[结果]一个能涵盖绝大部分加速器数据的数据库结构已经设计完成并开始开发编程。另外机器学习在加速器运行与设计上的初步应用也有了结果。[结论]机器学习在加速器的应用有很好的开始及正面的初步结果。同时,与其他单位的合作也已开展以分担工作及加速开发。随着软件架构成型及获取更多高质量数据,机器学习在加速器上应有更多很好的结果。 ",KYXH201906010
