篇名,作者,页数,关键词,摘要,filename
世界百年未有之大变局与智库使命和智库建设,张志强:34550201,12,世界; 百年未有之大变局; 智库使命; 智库建设; 智库核心能力;,"[目的/意义]深入分析世界正经历的百年未有之大变局的主要变局构成及其变化特点和趋势走向、大变局的关键变量及其内涵和影响因素等,观察变局下世界格局结构与国际秩序规则调整重塑提出的战略研究需求,分析我国特色新型智库发展面临的新环境与使命任务,提出我国智库核心能力体系与业务发展体系建设的思考与出路。[方法/过程]主要采用文献调研法收集相关资料,通过文献阅读和大量深度思考和思维创新,归纳总结出关键的认识与观点。[结果/结论]提出了世界百年未有之大变局的6个方面的变局构成及其特点,分析了推动大变局的关键变量及其内容和影响。分析了我国新型智库建设面临的新环境与新使命任务,提出了智库核心能力体系与业务发展体系的建设模式。研究认识对我国特色新型智库建设和发展有重要启示价值。 ",ZKSL202004001
政策可执行度对智库影响力提升的贡献研究,文彦杰1:40955854|阎林胤2:45462181,6,新兴智库; 智库研究; 政策实用性; DIIS方法; 定位;,"[目的/意义]党的十八大以来,在党和国家的高度重视下,中国智库迎来了巨大的发展机遇,也面临非常具体的挑战。本文聚焦政策可执行度这一提升智库研究成果影响力的有效抓手,提出并深入分析了提升智库科研影响力的关键策略。[方法/过程]从""智库研究的政策实用性""""专业协作能力""和""影响力累积程度""3个方面,研究提升智库影响力的策略。在提升智库研究的政策实用性方面,智库应当充分重视:智库研究的课题所对应的具体政策体系中的各个要素与机构;政策体系中的各个要素与机构和群体的立场与工作诉求;政策体系中的各个要素与机构和群体的立场与工作诉求之间的逻辑关系,以及它们与国家层面的大政方针有什么内在逻辑关系。提升智库的专业协作能力方面,智库应当同时加深研究深度,并加强成果推广能力。DIIS方法与多样的媒介拓展是有效途径。而且立足中国特色的角色定位,是中国智库协作能力提升的保证。智库建设不是短跑冲刺,在影响力的积累上,智库应该注意保障长期影响力。[结果/结论]从上述3点出发,新兴智库影响力提升""最后一公里""的模糊问题将有清晰的检验标准。 ",ZKSL202004002
云智库服务内容、能力与模式研究,石森昌:13906085,7,云智库; 服务能力; 服务模式;,"[目的/意义]着眼于解决智库服务过程中存在的问题,文章提出,传统智库应依托""互联网+智库""网络服务平台,实现决策咨询服务创新,提升服务能力。[方法/过程]借鉴把单个计算能力有限的服务器汇集成超级系统的云计算思想,提出用互联网把众多专家学者和海量信息数据汇集起来建设超级智库系统云智库。依托云智库,将实现决策咨询服务模式创新和拓展决策咨询服务内容。[结果/结论]云智库应加强决策咨询组织管理、数据信息服务和专家服务管理3种能力建设;智库可以选择传统方式、云智库参与者方式和云智库运营管理者方式3种不同的应用模式。 ",ZKSL202004003
基于投入—产出视角的高校智库满意度评价研究——来自72份安徽省高校智库的问卷调查,王宁:43729333,14,投入—产出; 满意度; 评价; 高校智库; 研究人员;,"[目的/意义]对高校智库进行满意度评价有助于揭示高校智库建设和发展的内在规律和特征。[方法/过程]文章以安徽高校智库的发展现状为基础,从用户(智库研究人员)满意度的微观视角出发,对投入和产出满意度进行定量分析。[结果/结论]结果显示,高校智库研究人员的满意度评价指标包含资源配置、机构建设、设施及管理等投入因素;学术研究能力、政策应用能力、社会价值、传播影响能力等产出因素。最后针对实证分析中满意度偏低的评价指标,提出针对性改善措施,有助于实现高校智库用户满意的战略目标和评价结果,更有助于提升高校智库的服务效能,促进高校智库的供需平衡发展。 ",ZKSL202004004
迈向成熟的现代智库——省级重点智库建设的政策、体系和网络分析,马雪雯:45462182|李刚:08038856,10,重点智库; 智库政策; 智库体系; 智库网络;,"[目的/意义]完备的政策体系是省级重点智库向现代智库转型的制度前提,合理的体系布局是其适应党和政府多元决策需求的关键,智库网络是其充分发挥各项职能的有效形式。[方法/过程]文章从政策、体系、网络3个角度分析当前我国各省重点智库建设状况。[结果/结论]当前省级重点智库建设过程中存在以下共性问题:重点智库体系相对固化、治理体制中存在""三明治瓶颈""、智库难以实现资金独立、智库服务决策的针对性有待提高、考核评价机制不健全。 ",ZKSL202004005
新时代地方新型智库治理:使命、困境与路径——2019年国家治理体系和治理能力现代化背景下新型智库新使命会议综述,杨中艳:43379483,7,国家治理现代化; 智库新使命; 智库建设现状; 智库高质量发展;,"[目的/意义]学习研究宣传贯彻党的十九届四中全会精神,探讨国家制度和国家治理现代化背景下地方新型智库建设的使命机遇,以及省域新型智库建设的具体实践与发展路径。[方法/过程]2019年11月29日,湖北省社会科学院召开国家治理体系和治理能力现代化背景下新型智库新使命理论座谈会。[结果/结论]来自党政部门、社科院、党校以及高校等多家智库专家学者,围绕""国家治理体系和治理能力现代化背景下新型智库新使命""主题,就四中全会背景下新型智库建设的新使命机遇,国家治理现代化与新型智库建设关系、湖北省域新型智库建设现状,以及如何推动新型智库协同创新与高质量发展等议题进行深入交流,在一定程度上,为区域新型智库建设交流经验,开展智库协作交流提供了平台。 ",ZKSL202004006
“国际著名智库网信领域研究观察”专栏按语,张志强:34550201,1, ,"<正>智库作为专业性战略与政策研究咨询机构,被誉为一个国家的立法、行政、司法、媒体之后的""第五种力量"",盖因为其主要致力于影响政策制定的机构属性和使命,智库已经成为现代国家和社会治理体系的重要组成部分。现代国家和社会发展的治理体系的复杂性程度日益提高,国家和社会治理的各种战略与政策问题林林总总、错综复杂,都需要智库机构进行超前洞察、问题预判、前瞻研究、预见预警、政策设计、决策咨询等。智库是政策价值链的前端机构,对政策有着极大影响。随着信息 ",ZKSL202004007
兰德公司发展态势及其在网信领域的战略政策研究,"陈秀娟1:41306414|张志强2,3:34550201|唐川2,3:11437501",12,兰德公司; 智库; 网络安全和信息化领域; 战略研究; 政策咨询;,"[目的/意义]深度剖析国际著名智库美国兰德公司的最新发展现状及其对网络安全和信息化领域的研究情况,为我国新型智库的建设、尤其是网络安全和信息化领域专业智库的建设提供参考和借鉴。[方法/过程]采用网络调查和文献调研的方法,梳理兰德公司的组织架构、研究团队、财务情况、全球影响力及主要的研究领域和取得的成就,结合兰德公司近些年发布的网络安全和信息化领域代表性研究成果,揭示其研究进展与核心内容。[结果/结论]兰德公司在管理模式上保持着其专业性和独立性,智库人才建设方面聚集了世界级多元化的智囊人物,研究选题方面开展多学科领域的研究并确保选题的前瞻性,为我国建设高端、新型、特色智库乃至网络安全和信息化领域的专业智库提供了多方面参考,包括建立科学规范的智库管理模式、建立强大的思想型人才队伍、进行超前的研究选题和议题设置。 ",ZKSL202004008
美国国会研究服务部发展现状及其在网信领域的研究态势,"郭进京1:37287336|张志强2,3:34550201|陈秀娟4:41306414|徐婧2,3:32192633",10,美国国会研究服务部; 智库; 网络安全和信息化; 互联网治理;,"[目的/意义]以美国国会研究服务部为例,剖析其发展现状及在网络安全和信息化领域的研究态势,为国内智库在开展网信领域研究时提供经验借鉴。[方法/过程]采用文献调研法和网络调研法收集整理相关资料,梳理其发展历程、组织架构及人员构成、资助来源、主要研究领域及成就,并结合对国会研究服务部所发布的网信领域研究成果的分析,总结其在网信领域的主要研究主题和智库建设经验。[结果/结论]美国国会研究服务部关于网信领域的研究主要集中于互联网治理、网络与国家安全、新兴技术及其应用、网络基础设施。国内智库在发展过程中,可借鉴以下经验:明确定位,紧密结合用户需求,提供专属服务;严格规划研究领域和团队体系建设,提供精准服务;建立完善评价体系,保证服务质量。 ",ZKSL202004009
加拿大国际治理创新中心及其在网信领域的研究,"郭进京1:37287336|张志强2,3:34550201|陈秀娟4:41306414|唐川2,3:11437501",10,加拿大国际治理创新中心; 智库; 网络安全和信息化; 互联网治理;,"[目的/意义]网络安全和信息化是事关国家安全和发展的重大科技领域和非传统安全领域,受到国际智库的高度关注。相比较而言,国内智库对该领域的研究重视程度明显不够,应该借鉴国际智库在网信领域的研究经验。[方法/过程]以加拿大国际治理创新中心为例,采用文献调研法和网络调研法收集整理相关资料,结合对该智库所发布的网信领域研究成果的分析,总结其在网信领域的研究主题和经验。[结果/结论]加拿大国际治理创新中心关于网信领域的研究主要集中于互联网治理,网络安全,大数据,人工智能、物联网、区块链等新兴技术,互联网与人权,互联网与非洲等主题。从加拿大国际治理创新中心相关发展经验来看,国内新兴智库在发展过程中必须规划业务发展领域并着力形成研究影响力,围绕新兴挑战性问题领域开展研究,通过打造系列品牌产品来提高品牌影响力,充分利用社交媒体和网络来提高社会影响力。 ",ZKSL202004010
