"新时期促进集成电路产业和软件产业高质量发展的若干政策		2	 	""<正>集成电路产业和软件产业是信息产业的核心",是引领新一轮科技革命和产业变革的关键力量。《国务院关于印发鼓励软件产业和集成电路产业发展若干政策的通知》(国发[2000]18号)、《国务院关于印发进一步鼓励软件产业和集成电路产业发展若干政策的通知》(国发[2011]4号)印发以来,我国集成电路产业和软件产业快速发展,有力支撑了国家信息化建设,促进了国民经济和社会持续健康发展。为进一步优化集成电路产业和软件产业发展环境,深化产业国际合作,提升产业创新能力和发展质量,"制定以下政策。 ""	DZZW202009001",,,,,,,,,,,,,
"2020工业互联网大会在线上召开		1	 	""<正>2020年8月29日","由工业和信息化部、北京市人民政府主办的2020工业互联网大会在线上召开。大会以""""赋能·融通·创新为新工业革命筑基""""为主题。工业和信息化部党组书记、部长肖亚庆",北京市委常委、副市长殷勇出席开幕式并致辞,工业和信息化部党组成员、副部长刘烈宏主持开幕式。肖亚庆指出,习近平总书记高度重视工业互联网发展,多次做出重要指示批示,要求实施工业互联网创新发展战略," ""	DZZW202009007",,,,,,,,,,,,,
"人工智能技术的社会风险与治理	何哲:39199838	13	人工智能; 社会风险; 全球治理; 协作治理;	""人工智能越来越嵌入到人类社会的同时",也相应形成了社会风险。通过对人工智能技术发展历程、趋势、核心特征和支撑要素,以及在人类社会的嵌入方式和驱动因素的系统分析,可以得出人工智能对人类产生的相应风险,并提出人工智能技术的风险治理策略。研究发现,人工智能对人类社会将主要产生十个方面的核心风险:隐私泄露、劳动竞争、主体多元、边界模糊、能力溢出、惩罚无效、伦理冲突、暴力扩张、种群替代和文明异化。从当前起,就整个人类社会而言,"要做好至少五个方面的准备:一是尽快取得全球对人工智能的风险共识;二是尽快增加人工智能的透明性研究;三是规范全球科研共同体的自我约束;四是推动各国尽快立法;五是加快建立全球协作治理机制。 ""	DZZW202009003",,,,,,,,,,,,,
"人工智能应用下的特大城市边缘城区治理：技术变革、价值隐忧与技术路径	张龙辉:30097244|肖克:22184473|王寒:31979262	14	人工智能; 城市治理; 特大城市; 边缘城区;	""特大城市边缘城区治理面临治理主体缺位、治理权力结构碎化、治理边界与行政边界分离以及治理资源供给边缘化等困境",寻求适应特大城市边缘城区空间治理特点的治理手段成为应对其治理困境的关键。通过一定的理论探讨和对相关数据、案例的分析,认为人工智能的应用在推动特大城市边缘城区治理技术变革的同时,也带来了算法伦理入侵、权力结构悖论、权利实现困境和数据价值歧视等价值隐忧,需要在利用技术变革、规制价值隐忧的基础上,"通过培育技术治理主体、建构技术治理权威、提升治理智能化水平、强化治理资源算法控制等技术路径有效解决特大城市边缘城区治理困境。 ""	DZZW202009004",,,,,,,,,,,,,,,
"智能时代技术治理的价值悖论及其消解	谭九生:09212501|杨建武:27779915	10	智能技术; 人工智能; 技术治理; 价值悖论;	""技术发展与政府治理本质上是共生与进步的双向互动关系。智能技术的发展为提升政府治理水平提供了全新工具。运用人工智能",政府治理实现了对安全、民主、自主、责任以及公正等价值跃进,但也造成了价值悖论。人工智能技术的安全性、政府治理结构的兼容性以及对技术进步返魅的互动耦合关系,为解读价值悖论生成提供了分析框架。面对智能技术治理带来的价值悖论,必须转变观念,消解悖论,"以推动智能治理走向善治。 ""	DZZW202009005",,,,,,,,,,,,,,
"重大突发公共卫生事件中的伪信息传播、治理困境及其突破路径——以新冠肺炎疫情为例	吴世文:13978774	11	新冠肺炎; 伪信息; 信息疫情; 公共治理; 网络舆情;	""疫情伪信息在网络空间中大量滋生并恶意传播","已成为新冠肺炎疫情的另一场""""灾难""""",亟需通过分析疫情伪信息的表现形式、主要内容、传播特征和来源等基本问题,"并从共同体角度提出公共治理的思路。研究显示:疫情伪信息不仅包括内容属性之""""伪""""",还因受众误读而产生,"它们以假新闻、错误的信息与谎言、事后证实非真的谣言、流言或传言、虚假广告等形式存在。疫情伪信息的全球治理举措包括技术手段、事实核查、专家介入、法律手段、公众参与、""""特别工作组""""等","但存在""""事前""""难以阻止、公众参与不够、全球协作无力、纠正不足等问题与困境。研究提出从""""网民共同体""""、社会共同体和人类命运共同体角度协同治理疫情伪信息的思路",主张网民参与甄别和纠正疫情伪信息的过程,"全球团结互助以消解隔阂。 ""	DZZW202009006",,,,,,,,,,,,
"网络文化软实力的综合评价方法与应用	""朱卫未1","2:11293256|林华萍3:38649539|叶美兰4:22196899""	9	网络文化; 软实力; 网络文化建设; 熵权法; TOPSIS;	""随着互联网技术的发展",网络文化应运而生,它以互联网为载体,带动传统文化产业的融合升级,拓展传统文化的内涵。区域网络文化软实力在国内和国际综合竞争中发挥的作用不断提升。结合当前网络环境特点,构建了网络文化软实力评价指标体系,选择基于熵权法及TOPSIS的方法对我国31个省域的网络文化软实力进行评价。结果表明,我国东中西部地区网络文化软实力发展存在不平衡现象,"且评价结果呈现出五种程度的网络文化建设水平。 ""	DZZW202009008",,,,,,,,,,,
"政务数据资产化管理的基础理论研究：资产属性、数据权属及定价方法	""张鹏1","2:10140756|蒋余浩3:38587294""	13	政务数据; 数据资源资产; 数据权属; 数据定价;	""政务数据蕴藏着极为丰富的经济价值和社会价值",尤其是具备引领各类社会主体协同开放各自掌握的大数据的潜力,但是政务数据资源的资产化管理无论从实践还是理论讨论来看,都属于薄弱环节,有关政务数据资源的资产属性、数据权属、可采用的定价方法等问题,迄今没有明确答案。基于现状分析和理论探讨,对政务数据的资产属性、权属原则和定价方法等基础理论问题进行研究,"提出创造""""数据资源资产""""的新资产概念、共有产权的数据权属原则和综合性数据定价的方法",试图构建政务数据资产化管理的基础理论,"形成""""开放为常态","不开放为例外""""的数据管理基本原则与""""依法开放","协作开发""""的数据资源共享原则。 ""	DZZW202009009",,,,,,,,
"数据时代的政府治理创新——基于数据开放共享的视角	段盛华1:06260922|于凤霞2:21655818|关乐宁2:42607136	10	政府治理; 数据开放; 数据共享; 数据治理; 协同治理;	""通过梳理传统治理模式在数据时代的不适应性",并结合近年来我国的创新实践,提出了数据时代政府治理新模式:以服务型政府为理念、以数据开放共享为路径,由包括政府、企业、社会组织等多方参与的协同治理体系。政府部门间的数据开放共享使得各部门在不打破专业分工的情况下,通过数据资源互联互通实现业务协同,为政府科学决策和宏观管理提供支撑;政府数据向社会的开放共享将极大地提高其他社会主体的内生治理效率,激发社会创新活力;包括平台企业在内的社会主体在发展中积累的数据,具有不同于政府数据的优势,这些社会主体向政府部门的数据开放共享,"也是政府治理不可或缺的支撑。 ""	DZZW202009010",,,,,,,,,,,
"共享经济业态下政府监管的战略选择——基于战略管理的SWOT-AHP分析	谭海波1:31070825|王英伟2:41129603	10	共享经济; 新业态; 政府监管; SWOT-AHP;	""共享经济业态下新商业模式的快速迭代对传统政府监管理念及监管方式带来了结构性冲击。基于传统经济模式的政府监管战略与共享经济不相适应的矛盾日渐突出。当前学界对政府应采取何种监管战略研究不足",未能提出适应于中国共享经济新业态的较为清晰的战略思想。以战略管理的SWOT分析框架为基础,剖析了政府在共享经济监管过程中内部条件的优势和劣势以及外部环境中的机会和威胁,并在此基础上结合层次分析法,构建SWOT-AHP分析模型,通过对SWOT中各要素的定性评价与定量测算进行战略匹配,进而提出有利于增强政府监管能力的战略选择,以明确政府在共享经济监管中的战略定位,"最大限度地发挥监管效力。 ""	DZZW202009011",,,,,,,,,,,,
