篇名	作者	页数	关键词	摘要	filename
组织决策中的“情报”与循证决策中的“证据”	缪其浩:08632612	12	情报; 组织决策; 循证决策; 证据; 场景; 用例;	"[目的/意义]""情报""概念进入中国已过百年,笔者认为今天仍有必要对其重新认识。文章将情报放在组织决策场景中,论证了循证决策的证据不仅在理念上对情报工作有启发,而且在几个具体方面对情报工作实践可能有较好的指导作用。[方法/过程]笔者提出了一个新的分析视角,以情报在中国用例为基础分析其意义。从军事到多元的演变,然后在组织决策场景中,将情报概念设定为进入决策程序的信息。依据这样的设定,笔者分析了近年来国外循证决策发展,以及其中的""证据""概念,认为情报与证据在支持决策的场景下有相似之处,对情报如何借鉴证据,研究和借鉴证据概念可能对情报工作的实际有重要意义;在此基础上,笔者进一步具体论述了如何借助循证提出了具体建议;决策的部分理念和方法帮助提升我国科技情报工作决策支持的水平和能力。[结果/结论]情报与证据同为决策过程中的信息,鉴于从循证医学到循证决策已有多年实践,情报工作应当研究和借鉴其中的理念、工具、方法和形成的一套做法,以提升情报工作支持决策的能力和水平。 "	QBYJ202003001
当前“互联网+政务服务”存在的问题及对策研究	樊博1:09592194|赵玉攀2:45183288	7	互联网+政务服务; 数字治理; 电子政务; 信息孤岛; 政务大数据;	"[目的/意义]""互联网+政务服务""是体现服务型政府和数字治理的关键,全面总结现状,分析问题,有助于""互联网+政务服务""的深入推进。[方法/过程]文章通过实地调研和长期观察,系统总结""互联网+政务服务""存在的问题,借鉴国外经验,提出可行的对策。[结果/结论]研究发现,当前""互联网+政务服务""存在推进不协调,立法机制不完善,""信息孤岛""加剧,大数据能力建设不足,绩效监管主体不明确,小微企业成为服务短板等问题。文章结合我国实际情况,借鉴国外成功经验,提出了可行的对策建议,希望对我国""互联网+政务服务""工程的深入推进提供参考。 "	QBYJ202003002
科研投入对不同人文社会科学成果影响及互动机制研究	俞立平:37228140	14	人文社会科学; 科研成果; 研发经费; 研发劳动力; BP神经网络;	"[目的/意义]人文社会科学研究特色鲜明,成果多样化,其投入产出关系复杂。开展高校人文社会科学成果投入产出及其互动关系的研究,有助于掌握了解投入产出关系的特征、规律及存在的问题,拓展研究方法。本研究对于高校优化人文社会科学投入经费的配置和人才布局,以及政府相关部门加强人文社会科学的管理均具有重要意义。[方法/过程]文章在理论分析的基础上,基于教育部省际人文社科数据,结合BP人工神经网络、面板数据模型、面板门槛模型、贝叶斯向量自回归模型进行了全方位的研究。[结果/结论]研究结果表明:研发人员对人文社科的贡献总体上大于研发经费;研发人员对学术论文的贡献大于研发经费;研发经费对学术著作的贡献大于研发人员;研发经费、研发人员对研究报告的贡献显著;学术论文与学术著作的互动效应良好;学术论文与研究报告的互动效应良好;学术著作的研究总体与研究报告相对独立。 "	QBYJ202003003
俄罗斯信息安全领域文献研究热点及演变分析（2005—2019）	"马海群1,2:07287070|张涛3:45672626|所铃峰4:45183291"	14	信息安全; 俄罗斯问题研究; 知识图谱; 文献计量;	"[目的/意义]进入新世纪,信息安全被世界各国公认为信息时代国家安全中最突出、最核心的问题。俄罗斯作为世界强国,它们认为信息安全会对俄罗斯联邦国家利益产生着重要影响,因此对俄罗斯信息安全的研究就变得尤为重要。[方法/过程]文章选取WOS中RSCI数据库2005—2019年850篇信息安全领域文献作为研究对象,以文献计量和科学知识图谱为研究方法,从研究机构、科学领域、研究热点及演变趋势等方面进行全面分析。[结果/结论]通过文献研究,勾画出俄罗斯信息安全体系结构。 "	QBYJ202003004
基于文献计量的食品安全溯源研究热点与趋势分析	"毛太田1:09241100|何玉花1:39044789|李勇1,2:11170748|李茜丹3:37525330"	12	食品安全溯源; 文献计量; 共词分析; 可视化分析;	"[目的/意义]文章总结国内近十年来食品案例溯源领域的相关研究成果,提出该领域研究趋势,为更新和推进食品安全溯源系统的研究内容和方法奠定基础。[方法/过程]文章以CNKI的文献数据作为分析对象,运用科学计量法和可视化工具citespace从研究现状(时间分布、作者分布、机构分布)、相关知识基础、研究热点和研究趋势4个维度对其进行量化和可视化分析。[结果/结论]总结分析得出食品安全溯源领域存在学术研究合作不紧密,研究主题技术理论并行和研究阶段区分明显等特点,为该领域进一步的研究工作提供借鉴和参考,帮助更好实现和保障食品的可追溯性、安全性。 "	QBYJ202003005
中国人文社会科学国际期刊论文的学术影响力现状研究	袁庆莉:44542471	11	中国学者; 人文社科; 国际期刊论文; 学术影响力;	"[目的/意义]研究中国学者发表的人文社科国际期刊论文学术影响力,对于了解中国人文社科国际期刊论文的发展现状和存在的不足,找出与其他国家人文社科国际期刊论文的差距,推动中国人文社科国际期刊论文发展具有重要的意义。[方法/过程]文章基于Scopus,ESI和Scival工具,分析中国学者发表的人文社科国际期刊论文的发文量、被引情况、学科竞争力、突出主题等情况。[结果/结论]中国学者发表的人文社科国际期刊论文基数持续增加,但是学术影响力与英、美等国家还存在一定差距。 "	QBYJ202003006
基于网络多源信息的企业竞争情报工作流程模型研究	黄晓斌:10069512|张晓曼:39847866	11	网络竞争情报; 多源信息; 情报源; 工作流程模型; 企业竞争情报; 情报工作;	"[目的/意义]在互联网大数据环境下,企业竞争情报需求具有多元性、复杂性、分散性特点。基于不同网络情报源特点,有针对性地全面获取情报是当前企业情报工作面临的一个突出问题。[方法/过程]文章分析了典型的网络竞争情报源的特点和情报价值,构建了基于网络多源信息的企业竞争情报工作流程模型,包括竞争情报需求分析、情报源选择、数据采集、数据处理、整合分析、情报结果输出过程。[结果/结论]根据不同情报来源的特点获取有针对性的情报,并进行综合分析,是有效开展情报工作的关键。文章以vivo公司为例,基于网络多源信息获取竞争环境、竞争对手、目标用户等信息,为企业竞争提供对策建议,验证了模型的可行性。 "	QBYJ202003007
基于内容分析法的江苏省科技创新政策研究	鲁旭:25616459|汪晓燕:36886084|桂晓璟:42197047|王利军:35338261	12	科技创新政策; 政策工具; 三维分析框架; 内容分析法; 创新活动; 创新过程; 江苏省;	"[目的/意义]科技创新政策目标的实现,必须依靠各种政策工具的合理组合、有效搭配,进而推动创新驱动发展。[方法/过程]基于内容分析法,构建""创新政策工具功能面维度-创新活动线性模式维度-创新政策工具层次结构维度""三维分析框架,以选取的2010—2019年江苏出台的45份科技创新政策文本为实证分析对象,对政策文本进行定量分析。[结果/结论]研究发现,江苏科技创新政策工具在选择、匹配及构建中,存在组合结构不均衡、阶段分布差异明显、层次结构不尽合理等问题,文章对此提出针对性建议,以期为江苏及区域科技创新政策的制定提供参考。 "	QBYJ202003008
湖南省地方高校专利现状分析和研究	胡双红:10710714	9	地方高校; 知识产权; 专利管理; 成果转化;	"[目的/意义]随着《国家知识产权战略纲要》的颁布实施,高校知识产权取得巨大进步,快速增长的专利对科研管理工作提出了新的要求。[方法/过程]文章选取了湖南省地方代表性高校,采用智慧芽专利数据库和FineReport统计分析平台,对各高校专利现状从申请、授权、类型分布、全球布局、失效专利和转移转化等情况进行了分析。[结果/结论]由分析可知,目前湖南省内高校专利存在失效率高、生命周期短、全球布局量少、转移转化率低等问题,文章针对问题提出了专利管理和成果转化的建议。 "	QBYJ202003009
征稿启事		1	 	"<正>《科技情报研究》是由湖南省科技厅主管,湖南省科技信息研究所主办的学术性刊物,中文季刊。刊物坚持正确的政治方向、学术导向和价值取向,以面向创新主体,构建情报学术交流与决策辅助平台,推动科技情报理论研究与实践应用,服务国家安全、政府决策与科技创新为宗旨,为广大学者提供优质的学术交流平台。 "	QBYJ202003010
智库建设背景下的情报机构转型研究	栗琳1:38212205|卢胜军2:45682130	19	情报改革; 改革动因; 转型路径; 智库建设; 国家安全与发展;	"[目的/意义]在当前智库建设背景下,我国各类情报机构正在走向不同的变革之路。[方法/过程]文章深入分析了情报机构改革的动因与条件,结合情报机构转型实践情况,把情报机构划分为情报信息搜集为主要职能的""面向安全的情报机构""和以情报分析研究为主要职能的""面向发展的情报机构""两大类。[结果/结论]研究认为""面向发展的情报机构""转型呈现出情报机构与智库一体化发展路径、业务迭代升级型路径、情报机构与智库联合协作化路径等3种模式,""面向安全的情报机构""转型则主要采用情报机构间合作共享能力提升的路径,最后提出了情报机构改革的对策性建议举措。 "	QBYJ202002001
大数据环境下竞争情报分析的变化与方法创新	许鑫:14281145	19	大数据; 竞争情报; 多层竞争网络; 竞争对手; 竞争态势;	"[目的/意义]大数据环境下,竞争情报分析方法一方面要保留传统情报分析方法的特色,另一方面要充分利用数据价值,根据数据驱动的研究和实践环境进行拓展与创新。文章希望为企业提供更具洞察力、科学合理、普适性强的竞争情报分析新范式。[方法/过程]文章概述了竞争情报和大数据的发展现状,分析了大数据环境下企业竞争情报数据源、数据采集方法、处理技术、分析视角的影响和变化;提出市场视角与行业视角下的两类潜在竞争对手识别方法,以及一个大数据环境下的企业竞争情报分析框架。[结果/结论]市场视角与行业视角下的两类竞争对手识别方法有各自适用的范围,多层竞争网络模型体现了大数据环境下的竞争情报分析特点。 "	QBYJ202002002
新形势下科技情报工作中的国家安全观培育路径研究	"吴晨生1,2:22255738|刘如3:43023151"	9	国家安全观; 科技情报; 历史使命; 前沿防御;	"[目的/意义]世界发展格局和科技发展新形势使得国家安全的内涵不断扩大,科技情报工作中的国家安全观培育已然成为一项极端重要的思想建设工作。[方法/过程]文章结合国家安全观的思想与科技情报工作的极端重要性,深入研究国家安全观在科技情报工作中的丰富内涵,明确科技情报的历史方位和方略,并提出在总体国家安全观下我国科技情报机构的改革路径。[结果/结论]文章认为科技情报工作应抓住这个时代机遇,夯实情报机构国家安全意识,面向国家安全与发展,真正履行""耳目尖兵参谋+引领""的职责,对推动科技情报事业、助力国家安全与发展具有重要意义。 "	QBYJ202002003
大学生网络信息行为综合指标体系构建研究——基于改进数据包络分析法	朱镇远:42856465|黄微:07665728|刘熠:15581670	11	大学生; 网络信息行为; 评价指标; 数据包络分析法;	"[目的/意义]结合现阶段大学生网络信息行为研究成果,提取出大学生网络信息行为的5类构成要素,即大学生个体、信息素养、信息查询活动、信息使用活动和信息交互活动,从而构建用于描述大学生网络信息行为的综合指标体系。[方法/过程]采用后退法思想对数据包络模型中的投入变量及产出变量的效率向量进行剔除,最终得出31个三级指标作为大学生网络信息行为评价的依据。[结果/结论]研究结果表明对于大学生网络信息行为而言,大学生个体及大学生网络信息需求两个一级投入指标对于大学生网络信息行为3个一级产出指标信息查询活动、信息使用活动、信息交互活动具有显著影响,这5类要素共同构成了大学生网络信息行为指标体系。 "	QBYJ202002004
回归分析法在情报预测中的使用——基于“白宫钥匙”模型的选情分析	金龙:34962577|闻杰:43961396	8	回归分析; “白宫钥匙”模型; 2020年大选; 特朗普; 情报预测;	"[目的/意义]随着情报分析手段不断演进,回归分析在情报预测中得到较多应用,文章试将回归分析运用于大选预测,通过选取适当变量来判断候选人得票走势,这对拓展情报预测方法的使用具有现实意义。[方法/过程]对""白宫钥匙""模型的关键要素进行判断,并在此基础上选取变量进行回归分析,以预测美国2020大选特朗普的得票情况。[结果/结论]在当前形势下,13个关键要素中现任政府的对立要素仅为4个,判断特朗普可以赢得2020年大选。普选得票率与肯定的关键要素数呈近似线性相关,应用分析后显示,特朗普的普选得票能超过半数,但在其剩下的任期内,仍存在诸多要素会改变两党的竞选态势。 "	QBYJ202002005
