开头的话,本刊编辑部:|,1,,"&lt;正&gt; 《图书与情报》1982年第1期同读者见面了。让我们对广大作者和读者的热情支持,再次表示由衷的感谢! 今后,我们面临着物质文明建设和精神文明建设的繁重任务。在这""两个文明""的建设中,《图书与情报》也将起到一定的促进作用。但是,如何使它更好地适应新形势、新任务的要求,则是我们应该解决的问题。为此: 《图书与情报》将一如既往,在原定办刊方向指导下,宣传继续解放思",BOOK198201000
加强学术交流  提高服务质量——记甘肃省图书馆学会一九八一年学术讨论会,本刊记者:|,2,,"&lt;正&gt; 1981年11月15～18日甘肃省图书馆学会召开了年会,并举行学术讨论会.这次讨论会共收到论文35篇,内容涉及图书馆科学管理、图书馆学教育和干部培养、藏书建设、图书分类理论与实践、读者工作、情报检索及地方文献等。参",BOOK198201001
试论社会科学情报学,黄家全:|,3,,"&lt;正&gt; 当前,我国的情报学研究,呈现着一派生气勃勃的喜人景象。但感到美中不足者,似乎情报学只研究自然科技情报及自然科技情报工作,而于社会科学情报与社会科学情报工作则很少问津。近来略有改变,中国人民大学的《资料工作通讯》和吉林图书馆学会会刊登载了一些文章,探讨这方面的问题。为了促进讨论,笔者不避孤陋寡闻之嫌,试对此问题谈谈己见,就教于图书",BOOK198201002
高等学校的图书情报协作体系与情报工作,江乃武:|,4,,"&lt;正&gt; 当前我国高等学校里图书情报机构的设置情况,大体上有两种类型:一种是除图书馆外,情报机构归科研处领导;另一种是图书馆工作与情报工作协作,二者结合为一个整体,大多是在图书馆内设立情报部门,图书情报工作直接归一位主管教学与科研的校(院)长领导。有一些院校还在系、部或直属教研室内设置资料室,它们在党政方面归系、部或直属教研室领导,业务上归",BOOK198201003
系统工程在图书馆工作中应用的初步设想,丁惠龄:|,5,,"&lt;正&gt; 一、什么是系统工程系统工程是最近二、三十年发展起来的一门新兴科学,现已广泛应用于大型武器研制、工程设计、生产规划、科学管理、经济预测、人日预测等各个方面,成效卓著。所谓""系统"",是指由相互作用和相互依赖的若干组成部分结合的,具有特定功能的有机整体。在现代这样一个高度组织起来的社会中,复杂的系统几乎是无所不在的。任何一种社会活动都会形成一个系统,这个系统的组织建立,经营运转,就成为一项系统工程。",BOOK198201004
试谈对图书馆科学管理的认识——兼论兰州医学院图书馆的管理工作,张磊:|,4,,"&lt;正&gt; 图书馆科学管理是人们对图书馆事业发展规律的认识和对图书馆工作实践经验的概括和总结。目前,它已经作为图书馆学研究课题之一,得到图书馆界比较普遍的重视。但""科学管理""这个词在图书馆学术语和专业词汇中还比较陌生。本文试就个人对图书馆科学管理的粗浅认识,并结合兰州医学院图书馆的几项工作,谈一些看法供参",BOOK198201006
我省地区科技情报所当前应如何开展工作,陈伟基:|,3,,"&lt;正&gt; 目前我省各地区都已经成立了科技情报所,但由于机构新建不久,多数同志还是初次接触这项工作,业务不熟悉,工作没经验,再加上组织管理工作没有及时跟上去,工作显得比较忙乱,尚没有真正发挥科技情报为经济建设服务的作用。现结合本人的工作体会,就如何搞好地区科技情报工作谈一些粗浅之见。",BOOK198201008
简谈图书馆统计工作存在的问题及其在图书馆科学管理中的应用,阎家涛:|,4,,"&lt;正&gt; 统计是""社会认识的最有力的武器之一""①。随着图书馆工作由过去的传统管理,逐步发展到今天的科学管理,统计这一""武器""的作用,就日益显得重要了。1979年4月4日,《人民日报》社论中曾作了这样的比喻:""如果说全部国民经济机构是一整架不断运转的大机器,那么,统计是起着‘仪表’的作用。这架大机器的",BOOK198201009
中、小型公共图书馆图书补充诸问题浅析,高冠英:|,3,,"&lt;正&gt; 图书是图书馆开展工作的物质基础。图书馆没有一定数量和质量的藏书,就不可能贯彻执行它的方针任务。不断地补充图书,丰富藏书内容,发挥书刊作用,是图书馆的主要基本工作。掌握和研究馆藏图书的质和量,了解图书出版情况以及它们的关系,对于做好图书补充工作是非常重要的。图书馆补充图书,历来有许多公认的标准、",BOOK198201010
如何提高藏书质量——从兰大理科基础课参考书调查谈起,庄超凡:|,6,,"&lt;正&gt; 高等院校图书馆是为教学和科学研究服务的学术性机构,它的工作是学校教学与科学研究工作的重要组成部分。具体地说,图书馆首先要配合教学,为教师提供必要的教学参考用书,同时,也必须供给学生进行课业学习、实习、科学研究所必需的书刊;其次,它必须根据学校的科学研究计划,满足教师和学生对图书情报资料的",BOOK198201011
再论“千方百计  方便读者”——关于图书馆基本规律的释疑,黄文清|安振康:|,8,,"&lt;正&gt; 一石激起千层浪。《千方百计方便读者》一文作为图书馆基本规律的探讨在报刊上发表以后,引起图书馆界广泛的议论(该文见本刊1981年第1期,《甘肃日报》1981年6月16日,第四版——编者)。有人认为图书馆学目前还是积累材料、总结经验阶段,还无法让它找出图书馆的",BOOK198201012
对《对图书情报一体化问题的质疑》质疑,梁春:|,3,,"&lt;正&gt; 从1978年底中国科学院图书情报工作会议(常称""广州会议"")提出图书情报一体化(以下简称""一体化"")以来,在我国图书情报界引起了较大的反响。就此问题各种形式的讨论已经不少。1981年7月在连云港召开的""全国图书馆科学情报服务学术讨论会"",实际上是这几年来图书馆界讨论一体化问题的一个缩影。从总的情",BOOK198201013
评情报机构的参谋作用——讨论“情报研究工作”,郭俊:|,4,,"&lt;正&gt; 在我们国家的科技情报工作中,情报研究工作占据着重要的位置。这项工作我们已经干了二十多年,但对于它的认识至今还很不统一。本文打算作些初步探讨和分析,如果能引起争论,或对提高与统一认识有点帮助,那就算达到了预期的目的。 (一) ""情报研究工作""的来由与演变 ""情报研究工作""这个术语,就笔者见过的文件而论,最早是出现在武衡同志在第一次全国科",BOOK198201014
专业研究所情报室的工作方向,张景河:|,3,,"&lt;正&gt; 现在以科研为主的研究所都设有情报室的机构,这种研究所的专职情报工作广泛发展起来也不过十几年的时间。所以对研究所内情报室的工作方向、目标等的认识并不深刻,有些停留在概念性阶段,对其内在规律及矛盾关系尚不明了,很有必要从实践中进行总结。我在兰炼石油炼制研究所情报室工作中,对一些问题有所体会。",BOOK198201017
“双轨制”出纳法剖析,郭乃中:|,3,,"&lt;正&gt; 书刊资料借阅是图书馆的前线工作,也是读者工作的一种重要形式。它具体体现了图书馆的方针、任务,是衡量服务工作质量的重要标志。做好这项工作,除了受到图书工作、读者工作的质量、水平和服务态度等影响之外,还取决于图书出纳法本身的科学性、严密性、实用性。制订一种出纳法,应以方便读者,利于管理为其出发点,并在出纳手续中,要求反映出书刊",BOOK198201018
西北铁路勘测设计的情报机构与活动,佳山石:|,2,,"&lt;正&gt; 从风景秀丽的五泉山上鸟瞰兰州市容,在皋兰山和东方红广场联线的巾点上,矗立着一座琉璃瓦大屋顶民族形式的建筑物,这便是铁道部第一勘测设计院。它是直属于铁道部的一个综合性设计院,担负着我国西北地区的铁路勘测、设计、规划和科学研究等综合性的任务。全院共有",BOOK198201019
国际翻译中心,王仲东:|,1,,"&lt;正&gt; 国际翻译中心(1976年前为欧洲翻译中心)根据经济合作与发展组织国家的倡议于1961年建立。设在荷兰。国际翻译中心的基本宗旨是向欧洲国家的学者和专家介绍译自俄语和其他稀有语种的科学技术译文。鼓励将科学技术文献由稀有语种译为主要西方语言,在翻译方面进行国际合作。",BOOK198201020
美、英化学会及其出版物介绍(下)——英国化学会及其出版物,赵友保:|,5,,"&lt;正&gt; 英国化学会(The Chemical Society),设于伦敦伯林顿大厦,创立于1841年,1848年列入英国皇家宪章,是世界上最老的国家化学会。该会自1972年以后,包括皇家化学会、分析化学会及法拉第学会的会员在内,现有会员46,000人以上,另有分支机构联合王国化学情报服务社(也是英国最大的单一学科学术团体)。该会自创立以来,通过会议交流、专业接触以及出版理论研究与实验技术刊物、专论及专题文献评述,以传播化学领域的知识,致力于",BOOK198201021
《国外地学学术机构指南》简介,方士琼:|,1,,"&lt;正&gt; 中国科学院兰州图书馆情报研究室编译了《国外地学学术机构指南》一书,现已由该室出版发行。该书是一本知识性的检索工具书,收编了日本、美国、加拿大、澳大利亚四个国家的地质学、海洋学、大气科学,地球物理,地震学等有关地学及地质勘探,采矿学的研究机构、大专院校、工矿企业的研究组织及学(协)会等。《指南》收集了当前国际上的最新资料,介",BOOK198201022
西北师范学院图书馆举行1981年科学报告讨论会,太岩:|,1,,"&lt;正&gt; 西北师范学院图书馆于1981年12月24日至26日举行了1981年科学报告讨论会,除该馆全体同志参加外,并邀请了各系资料室的同志参加。该馆离休老馆长、甘肃省图书馆学会会长孙钰同志应邀参加了大会,并代表学会讲了话。大会收到的十五篇论文中,既有理论探讨,也有经验总",BOOK198201023
甘肃地方志述略,牟实库:|,6,,"&lt;正&gt; 我国历代著述浩繁,各种典籍,内容广泛,记载详备,是中华民族极为珍贵的文化遗产,而方志则是这些文化遗产中的一个重要组成部分。方志的产生,是同我国悠久的历史文化基础分不开的。它随着我国历代文化的发展而发展,并反过来又给予我国民族历史文化的发展以重大影响。所以,千百年来,尽管处于各种复杂环境",BOOK198201024
关于图书分类号码机的设计,庄辛逊:|,1,,"&lt;正&gt; 我国图书馆的图书分类编目工作,在大型和专业图书馆中是采用油印方法,即需要多少张目录卡片,就印多少张。而中小型图书馆一般只用8～4张,几乎都是手工操作,这样,速度慢,字迹潦草,规格不一致,甚至经常抄错,改用铸胶号码也不理想。为了改变这种落后状况,达到速度快,整齐清晰,字体统一的要求,我",BOOK198201025
西北师范学院图书馆的今昔,王志宏|朱太岩:|,4,,"&lt;正&gt; 一 1937年秋,爆发了抗日战争,原北平师范大学南迁西安,与其他院校联合成立西北联合大学。1939年8月,西北联合大学撤销,分别成立西北师范学院等独立院校。开始,西北师范学院设在陕西城固,1941年在兰州设立分院,1944年由城固全部迁来兰州,1958年改名甘肃师范大学,1981年9月恢复原校名,仍称西北师范",BOOK198201026
说类,王汉城:|,6,,"&lt;正&gt; 图书馆的许多工作是在类的名义下进行的,如出纳按类存取,分类目录按类检索,藏书结构由类组成……。了解类的知识实为图书馆工作者所必需。一类的定义俗话说:物以类聚,人以群分。类作为区分事物的标准,早已为世人所熟知和应用。什么是类呢?类是反映客观对象某种共同属性的思维形式。换言之,我们脑子里的""类"",是将被感知的事物,在思维过程中,把具有某种",BOOK198201027
