新春寄语,本刊编辑部:|,1,,"&lt;正&gt;在我们刚刚纪念《大学图书情报学刊》创刊十周年、1994年到来之际,传来了我们久盼的好消息:国家科委颁文批准我刊使用国内统一刊号、公开向全国发行。这一“当春乃发生”的新春喜讯令我们精神倍加振奋,从此我刊可以跻身于全国专业刊物之列、为社会主义文化建设呈才效力了。这是我刊发展史上的一件大事,也是我省高校图书情报学界的一件大事,在这里我们要对关心、支持我刊发展的各级领导和图书情报学界朋友表示衷心的感谢!",DXTQ199401000
试论市场经济对图书馆建设的影响和启发,李绍俊:06688809|,4,,"&lt;正&gt;社会主义市场经济的提出,必将对我国的经济、政治、教育、科技等各个领域发生深刻的影响。对图书馆工作而言,随着企业经营机制的转换,劳动力市场的放开,它已经并将继续构成对图书馆队伍和藏书建设的冲击,并形成诸种矛盾。",DXTQ199401001
深化高校图书馆内部改革  强化第二课堂的情报意识,舒畅:00590392|董光荣:00240068|,3,,"&lt;正&gt;在我国,大学生是社会优秀青年的一个重要组成部分,肩负着建设“四化”、振兴中华的历史重任,他们的情报意识如何,将关系到“四化”大业的前途和中华民族的兴衰。自80年代我国高等学校开设文献检索课以来,在培养大学生的情报意识方面收到了一定的效果。但是,文献检索课的总课时仅为30～50学时,十分有限,而培养大学生的情报意识却是一个较长时期的艰巨任务,由于种种原因,文献检索课的开设面仍然不大,实际听课人数并不很多。",DXTQ199401002
对大中型企业开展情报信息服务的思考,许桂菊:07545196|,3,,"&lt;正&gt;随着改革不断的深入和社会主义市场经济体制的建立,逐步把企业推向国内外市场,特别是我国即将加入关贸总协定,迫使我国企业尽快地走向国际市场,在国际市场上竞争取得效益,企业的信息意识在加强,因此对信息的需要日益迫切。",DXTQ199401003
走出校门  服务社会,陈志飚:21222332|,3,,"&lt;正&gt;职业高校图书馆的发展已有了十年的历史。回顾这十年,职业高校图书馆在学校领导的大力支持下,经过不懈的努力和辛勤工作,已建立起一整套能较好为教学和科研服务的,具有自身馆藏特色的藏书体系,并培养了一批具有一定实践和理论知识的图书情报人员。此外,图书馆的现代化技术水平也得到了较大提高。职业高校图书馆事业在大家的努力下蒸蒸日上,大有发展前途。",DXTQ199401004
试论高校微机利用与期刊采访协作,潘杏仙:06210937|李守鹏:06210408|,4,,"&lt;正&gt;期刊无论对图书馆还是情报、资料部门都是最主要的一种文献情报。期刊采访实行微机化管理,既能避免重复,又可充分发挥现代化设备的优越性,逐步实现期刊资源共享,从而更有效地开发和利用这一资源。鉴于目前国内图书情报界实际状况,在较大范围内实现文献资源共享短期内尚难以办到,因此,高校图书馆可以先在高校内部做一些尝试性的基础工作,这对于期刊资源的管理和利用,无疑是有所裨益的。",DXTQ199401005
我省1992年国外生物医学期刊预订分析,周国正|朱亚萍|瞿祖鸣|刘瑛|郭政:|,5,,"&lt;正&gt;为了了解我省预订1992年国外生物医学期刊文献的现状,同时完成“安徽省预订1992年国外生物医学期刊联合目录”的编制工作,我们对全省1992年国外生物医学期刊的预订情况进行了一次全面的调查,旨在达到采购协调、资源共享、互通有无之目的。",DXTQ199401006
浅谈商专图书馆期刊文献的开发和利用,刘小田|陈国梅:|,3,,"&lt;正&gt;随着社会主义市场经济体制的建立,高校图书馆期刊工作面临着新的考验。如何加强期刊文献的管理、开发和利用,使期刊工作在为本校教学和科研服务的前提条件下,直接走向经济建设,把信息转化为知识财富,以适应生存竞争的需要。本文拟就安徽高等商业专科学校图书馆近年来在这些方面所做的工作,谈一点想法。",DXTQ199401007
以奉献精神调制“少米之炊”——谈我馆的期刊管理工作,钱友钧:06158868|,2,,"&lt;正&gt;当今,经费紧缺已成为困扰图书馆事业发展的顽疾。为此,许多图书馆界的同仁们撰文提出了不少缓解之策。诸如“砍什么,保什么,”“协调协作,资源共享”之类。笔者注意翻阅了有关这方面的文章,其中不乏真知灼见,但是对照我们这样的一个地处县城,位置相对偏僻,在全省所有高校图书馆中经费最为捉襟见肘的“小弟弟”,且馆舍、装备最为落后者,难免有隔靴搔痒之憾,在经费难以满足需要,又谈不上有什么浪费的情况下,不管砍什么都会刀刀见血。“协调协作、资源共享”,由于不",DXTQ199401008
谈编制现刊论文主题索引,丁莉兰:06138470|,2,,"&lt;正&gt;担负着传播科学与知识信息载体(媒体)之气的期刊,在高校的教学与科研中正起着越来越重要的作用。期刊具有“广”、“新”,“快”、“专”的优势——比图书传播信息内容与范围广、传播信息内容新、传播信息速度快;比报纸传播信息容量大,且又专门系统深入,及时地推出科学的最新研究成果,反映科学发展的最新动向与整体流向,是高校师生迅速准确地把握科学发展动态,以便深入地开展教学与科研的重要信息源。因此,充分地开发期刊资源,撷取其最优价值与潜在价值,提高期刊的利用率,为高校教学与科研提供优质的情报服务,已成为高校图情工作中最重要的研究课题之一。关于这方面的研究,广大图情工作者见仁见智,提出了很多创见。",DXTQ199401009
试论图书馆与读者供需关系的经济规律,王卫鸣:00792173|,3,,"&lt;正&gt;当前,在我国经济体制向市场化转换的过程中,经济规律的震荡和影响不断反应在上层建筑领域的各个方面。文化教育事业出现的市场化把图书馆推到了适应市场文化需要与协调学术,科研利交往的矛盾关系上,促使图书馆去研究新经济条件下藏书建设与读者供求关系的新变化,以促使馆藏适应市场发展的需要。",DXTQ199401010
