论竞争情报的发展,包昌火:17378109|李艳:06253094|,9,竞争情报;情报竞争力;情报(智能)时代;情报文化;竞争情报一体化;竞争情报/知识管理整合;竞争情报软件化;情报学;竞争情报发展走向;,"竞争情报的崛起和发展是国际管理界和情报界的一件大事。本文以全球视野,从发展情报能力,实行组织、流程、技术、决策和文化的一体化,实现竞争情报和知识管理的整合,加速竞争情报流程的软件化四个方面论述了竞争情报的发展走向,及其对我国情报学发展的影响。",JZQB200401001
中国竞争情报发展现状与趋势研究,朱战备:13218004|,9,竞争情报;现状;趋势;,"自1995年中国科技情报学会竞争情报分会(SCIC)正式成立以来,国内竞争情报行业发展已经进入第十个年头。竞争情报在中国的发展可以概括为三个时期,分别是竞争情报概念引入期(1982-1994年)、竞争情报群体研究期(1994-2000年)、竞争情报应用初期(2000年至今)。竞争情报的未来发展将经历三个阶段,第一个是导入阶段(下同),估计会在2006年左右完成;第二个阶段是成长阶段,估计在2006-2015年左右完成;第三阶段是成熟阶段,2015年以后将达到这个阶段。目前,竞争情报行业处于导入阶段后期和成长阶段前期的交界阶段。企业对竞争情报的认知度总体水平已经超过30%,但具有明显的行业、规模和地域特征。企业对竞争情报的重视程度比较高,但缺乏专业人员和专业的辅导成为最困扰他们的问题。在企业中竞争情报工作从业者处于高重视度与低满意度的尴尬状态,但他们在企业中的地位和待遇总体呈上升态势。企业对竞争情报培训的需求更加务实,实战案例成为企业最关心的培训内容,具有实战经验的授课者最受企业欢迎。竞争情报理论建设已经初具规模,但需要更具实践性、更体系化、且有独立的理论基础。院校教育已经开始开设竞争情报课程,涉及本科、硕士和博士生教育。竞争情报商业教育迅速崛起,但鱼龙混杂、市场混乱,有待规范和正规化。内容提供商、工具提供商、培训提供商、咨询服务提供商已经基本形成竞争情报的产业链,大型综合性的服务提供商尚未显现市场。情报能力将成为企业的基本成功要素;竞争情报工作组织、流程、技术、决策和文化的一体化是竞争情报工作的高级阶段;竞争情报与知识管理整合;竞争情报流程软件化等将成为竞争情报研究的新趋势;国家竞争情报、人际情报网将逐步受到重视。",JZQB200401002
竞争情报工作在中国企业中的实施方案,王琦:32882244|,7,竞争情报;企业实践;工作方式;问题;解决方案;,"本文对于竞争情报工作在中国企业中的具体实施方案作了较为完整的阐述。对企业实践中所出现的各种具体问题、企业情报人员的工作模式及面临的挑战作了重点讨论,并提供了一些实践中的具体解决方案。",JZQB200401003
当代中国的企业竞争情报,陈飔:23273162|,3,竞争情报;实践;策略;,"本文对中国企业竞争情报的发展现状进行了研究和评价,对目前企业竞争情报存在的问题进行了比较深入的探讨,并提出了应对策略。",JZQB200401004
数字信息传输技术的专利情报分析,吴浩然:08612912|,5,数字信息传输;专利情报;,"本文比较了世界主要发达国家在数字传输技术上的专利申请状况,从中发现当前该领域的研发热点。同时对热点技术上居领先地位的日本企业展开专利竞争情报分析,以找出我国数字传输专利技术上的差距所在。",JZQB200401005
陕西亨通高科技集团竞争情报工作的进展和ASP实现竞争情报软件系统的实践,田晓彤:32883698|,5,竞争情报软件系统;ASP;,"本文分三个部分:第一部分作者根据所了解的情况总结归纳了目前企业中应用的计算机竞争情报系统的分类和各自的特点,并由此引发自己开发竞争情报系统的初衷;第二部分叙述作者所在单位的竞争情报工作进展情况,说明竞争情报工作的发展历程、现状和主要工作;第三部分介绍《亨通情报系统》,基本介绍、运行环境与系统结构、系统流程和数据库结构。",JZQB200401006
出版社全员竞争情报搜集工作的内容与方法,梁京:22809263|,3,出版社;竞争情报;全员搜集方法;,"建立组织完善、多点收集的出版社人际情报网络是搜集高质量竞争情报的有效机制,它将涉及到各个部门和全体员工。编辑、生产、发行、营销、信息部门工作人员将从外社员工、行业专家、合作伙伴、销售商处了解到最新信息,从作家口中和印刷厂里找到重要线索;从报刊媒体与专业出版物中挖掘信息;从互联网中搜索信息;从读者反馈、订货会和书目中获得信息;在人才流动中了解信息。对收集和汇总来的情报数据进行加工分析,从错综复杂的信息中提取重要元素,建立相应的信息库,从中发现竞争双方的优势和不足,并推断竞争对手的战略、战术及其行动变化趋势,分析自己地位巩固或动摇的因素。",JZQB200401007
运筹帷幄话情报  引领决策竞风流——竞争情报在陆德公司的实践运用,刘艳:32883126|韩丽娟:32883127|杨晓明:32883128|王英广:32883129|,3,竞争情报;决策;运行模式;,"本文从实践角度运用大量理性的分析方法总结了竞争情报在陆德公司的具体运用情况,沿着情报的收集、分析、服务过程做了明确阐述,并把在长期工作实践中摸索出来的一套情报工作模式展示给大家,这些对情报工作的开展实践都具有很强的借鉴意义。",JZQB200401008
值得重视的展会竞争情报,施雯:|,3,,"&lt;正&gt;如果忽略了公司对具前瞻性、增值性的竞争情报的强大需求,结果会是怎样?就竞争情报的特征看来,其直接指向竞争对手而展开的搜集与研究的强针对性;其在理念上和方法上进行综合分析判断以洞察未来趋势的谋略性;以及它在研究内容与活动过程中的对抗性、支持未来决策的超前性等,无一不是为公司或企业组织把握行业发展、分析现有和潜在竞争对手的能量和动向,提供和维持竞争优势的有效利器。从这个角度而言,忽略就意味着风险。也许人们有一种成见,认为情报专家获取竞争情报的手段是狭隘的,总离不开互联网或市场调研,获取过程呆板僵化。实际上,大部分竞争情报领域内",JZQB200401012
新一代的企业级竞争情报系统,李海涛:32883130|,3,竞争情报;企业门户;知识管理;,"本文首先论述了企业情报门户系统的应用背景,分别探讨了企业门户、知识管理、竞争情报系统,并说明了将三者结合起来的必要性;然后以公司的CIPS系统为例说明它们是如何进行结合的。",JZQB200401013
一步一步规划企业竞争情报工作,任向晖:|,1,,,JZQB200401015
饮水不忘掘井人:纪念竞争情报国际先驱者德迪约,缪其浩:|,2,,"&lt;正&gt;不久前我从一位来访的瑞典友人处得知国际竞争情报的先驱者者斯蒂文·德迪约(Steven Dedijer)于年前去世。斯蒂文·德迪约在全球经济技术情报界公认的领袖人物。他努力奋斗几十年,将那些在世界上做得很多但又讲不清楚的经济技术情报工作,加以理论总结和研究,提出了Social Intelligence概念。晚年不顾年事已高,仍然身体力行地在全球各国推广他的信念。他始终关注广大发展中国家,大力呼吁这些国家建设属于自己的国家情报能力,尤其是,他曾经对推动竞争情报在中国的启蒙作出了巨大的贡献。但是由于种种原因,除了多年前我曾在《市场竞争和竞争情报》一书中提到过他在中国的活动,在另一篇文章(传播范围",JZQB200501001
国家竞争情报——概念及体系构建,《国家竞争情报研究》课题组:|,7,国家竞争情报;竞争情报体系;,"作为国家社会科学基金项目的部分研究成果,本文分为四个部分:第一部分阐述国家竞争情报概念提出的时代背景;第二部分着重叙述客观存在已久的国家竞争情报活动的历史发展,在此基础上,对国家竞争情报的核心概念进行界定;第三部分详细介绍国家竞争情报的具体应用,广泛涉及至经济竞争、科技竞争、产业竞争、文化竞争、资源竞争和人才竞争等多个领域;最后,就国家竞争情报体系的构建从其构建目标、基本结构、特点、管理体制、运行等多个方面进行全面的阐述。",JZQB200501002
竞争情报系统商业软件甄别方法,胡维健:32888833|,6,竞争情报;系统;软件;甄别;,"在规划和建设企业竞争情报系统的过程中,利用现成的商业软件,根据需求与可能进行二次开发是最为经济和有效的方法,但在产品各异的情况下如何选择合适的系统软件,成为建设竞争情报系统成败的重要前提,本文作者根据企业实践经验提供竞争情报系统商业软件甄别的一些方法。",JZQB200501003
论定标比超方法及其在竞争情报研究中的应用,彭靖里:05972403|宋林清:32888834|杨斯迈:07900303|,6,定标比超;竞争情报;方法;应用;,"本文在介绍定标比超概念及其发展状况的基础上,研究了应用定标比超方法进行竞争情报研究的过程框架和工作步骤,以及需要注意的问题,并给出了两个成功的案例。",JZQB200501004
