我们是如何搞“国外末端制导调查”的?——弹箭专业情报网末端制导会战组开展工作经验介绍,张世昌:|,3,,"&lt;正&gt; 根据弹箭专业情报网活动计划,网长单位把“国外末端制导技术调查”这个课题,交由210所二室四组和北工具体负责组织,这个课题从1978年3月开始活动,到1979年3月基本结束,历时大约一年。在达一年活动中,我们出版了一套资料,共中包括一个资料索引、三个译文集、三个技术报告和一个综述动态报告;搜集了一千五百多篇有关末端制导炮弹、炸弹、火箭和导弹线索;翻译了90多万字的资料。这些成绩的取得,表明专业情报网的活动是情报工作的一种很好组织形式。",QBLL198002005
试论基层科技情报工作,贺明真:|,5,,"&lt;正&gt; 科技情报工作,是整个科学技术工作的一个重要组成部分,是为改进科技管理、制定科技规划、部署科技工作、保证技术引进、配合技术决策和选定技术途径进行调查研究所必不可缺的重要手段。因此,科技情报工作被称作科技战线上的尖兵和参谋。在一个基层科研单位,科技情报工作开展得好与不好,都会直接地对整个科研工作产生很大的影响。要在基层单位组织好科技情报工作,是否应当从认识上和实践上解决以下几个方面的问题。",QBLL198002007
情报工作要更好地为研制现代化兵器装备服务,吴志革:|,6,,"&lt;正&gt; 长期以来,林彪、“四人帮”反对建立必要的规章制度,反对进行基础理论研究,鼓吹“一无资料,二无设备”地搞“突击研制”,结果使我国的兵器科研战线处于管理混乱,基础理论落后,设计方法陈旧,缺乏新技术、新材料和新仪器设备,长期研制不出大型先进兵器装备的落后局面,使我军主要兵器装备同世界先进水平相比落后15—20年。面对苏联霸权主义的严重威胁,我们必须迅速改变这种被动的落后局面。",QBLL198002009
关于情报资料中心建设问题的意见,莫大森:|,3,,"根据1978年五机部情报工作会议规定,2(?)所应成为兵器工业科技文献资料的收藏、检索和服务中心。不少同志对“什么叫兵器工业科技文献资料中心?”“怎样才算建成这个中心?”“什么时间才能建成呢?”…等提出问题,本编辑部特请二一○所莫大森同志谈谈他的看法,今后这方面问题如“资料中心如何开展服务工作”等还有很多,欢迎广大读者参加讨论。——编者",QBLL198002010
美国国会图书馆,高兴民:|,1,,"&lt;正&gt; 美国国会图书馆建立于1800年,馆址在美国首都华盛顿,该馆馆藏7300万件资料。其中主要为图书1824万册,还有唱片录音带6万多件,地图35万件,名人手稿3267万件,各国法律170万部,缩微印刷品29万件,电影25万部,科学期刊2万种等。除一般书藉外,该馆是收藏各国政府出版物和联合国资料中心。该馆重点为美国国会服务,向立法部门提",QBLL198002012
情报工作为科研生产服务大有可为——我是怎样搞光学零件复制工艺情报工作的,郑开陵:|,3,,"&lt;正&gt; 1979年12月20日,天津市光学公司在天津光学仪器厂举行了一次光学零件加工工艺鉴定会,对该厂用复制法制造的红外光栅及共它几个非球面反射镜进行鉴定。通过鉴定,这些复制的光学零件今后将正式用于该厂生产的红外光栅分光光度计。据厂会计科负责人介绍,该厂生产的红外光栅分光光度计有四个光学零件(离轴抛物面镜,扁椭球镜、深椭球镜、光栅)加工周期长,加工成本高,是生产中的难题。例如有个非球面零件要求精度高,一个月才能加工一个;还有个光栅零件本厂不能制造,要向外单位买,一千二百元一个。采用复制法新工艺以后取得了重大的经济效果,生产率也提",QBLL198002013
国外兵器常用期刊概述,张力治|张玉杰:|,6,,"&lt;正&gt; 科技期刊论文多数是未经重新组织的原始文献,即一次文献。许多新的成果,都首先在期刊上发表。据估计,来自期刊的科技文献约占整个科技文献来源的60%左右。因此,科技期刊是进行科学研究取得第一手资料的重要来源。所以无论是综合性情报单位,还是专业性情报单位,都将科技期刊,特别是国外科技期刊的收集放在很重要的地位。但是,国外科技期刊的订购也和进口其它技术一样,需要择优选购。因为期刊的质量有好有坏;而对一个专业来说,报道密度也有大有小;另外,国外书刊价格激增,科技期刊十几年来涨价好几倍;再者,期刊入藏需要空间,",QBLL198002014
《GRA & I》中的火炸药文献及其检索,张玉杰:|,5,,"最近,有的读者提出《GRA & I》中火炸药专业怎样检索,我们特请210所张玉杰同志来谈谈这方面问题。",QBLL198002015
谈谈国防技术院校的科技情报工作,王天运:|,5,,"&lt;正&gt; 国防技术院校是为国防建设出人才、出成果的重要基地,既是教育中心,又是科研中心。国防技术院校的科技情报工作是教学和科研工作的一个重要组成部分,是教学和科研的侦察兵和参谋。国防技术院校科技情报工作开展的好坏,不仅直接关系到我国教育事业的发展,也将直接关系到我国国防事业的发展,一句话,直接关系到我国的四个现代化。因此,国防技术院校一定要重视和大力开展科技情报工作。",QBLL198003001
略谈火炸药专业的情报研究工作,包昌火:|,7,,"&lt;正&gt; 文献服务和情报研究是我部科技情报工作的两大基本任务。兵器工业是一个多学科、多专业的工业部门。作为兵器工业情报研究所,专业情报研究的任务是什么,怎样开展,如何处理好诸如综合与专业、战略与战术等关系问题,是一个有待认真总结、深入探讨的问题。现仅就火炸药专业情报研究的基本任务、组织方式、工作方法、服务提供和正确处理好几个关系等问題谈谈个人的体会和看法,以供大家",QBLL198003003
