信息资源管理与知识管理	王众托:06532323|	2		"&lt;正&gt;20世纪70年代以来,由于信息技术的迅猛发展和广泛应用,社会经济发展出现了新的趋势。信息化使得人类社会从以物质和能量为经济结构的重心,向以信息与知识为重心转变。随着信息的作用日益显著,人们的信息活动日益频繁,现在信息资源已经和物质资源、能量资源并列,成为人类活动的三大资源。对于海量信息,需要有目的、有计划地加以管理。"	XNZY201101003
加强信息资源管理  提高信息利用效率	乌家培:26746538|	2		"&lt;正&gt;欣闻《信息资源管理学报》即将问世,不胜快慰,顺至贺意。马费成教授要我为创刊号撰文,我毫不犹豫就同意了。经过一番思考,选定《加强信息资源管理提高信息利用效率》这个题目,力图阐明管理信息资源旨在提高信息效率,使信息资源发挥更大的作用。由于应允的是短文,不必过分展开,即可""交卷""。"	XNZY201101004
积极推进信息资源的研究与探索——祝贺《信息资源管理学报》创刊	陈禹:10373752|	4	信息资源;信息资源管理;信息经济学;信息化建设;	"对于信息资源和信息资源管理的研究,是信息经济学的重要方面,在信息化建设进入深化和攻坚的阶段,积极推进对于信息资源和信息资源管理的研究具有重要的意义。在这方面,目前需要集中力量研究和讨论的议题有以下四个:信息资源的概念,信息资源的度量方法和评价指标,信息资源管理的体制和方法,信息资源的经济作用和社会影响。由于信息资源和信息资源管理的研究还处于初创的阶段,在研究和探索中坚持多样性和从社会实际出发,具有特别重要的、现实的意义。"	XNZY201101005
如何认识和发展信息资源管理学科	赖茂生:06263616|	4	信息资源管理;学科定位;学科内涵;专业期刊;	"借我国《信息资源管理学报》创刊之际,讨论今天我们应当如何来认识信息资源管理这个学科,认为应当把信息资源管理看成是基于一种新的管理哲学和资源观的一个管理类的学科。它继承并发展了管理信息系统(MIS)和传统的信息管理。然后,借鉴国外的同名刊物,讨论该杂志的定位和内容范围,提出相关的建议和期望。"	XNZY201101006
公共部门信息资源再利用国际立法的进展与对我国的建议	陈传夫:09002383|肖志锋:22089620|	10	公共部门;信息资源;再利用;法律问题;	对国际上公共部门信息资源再利用立法现状进行调研。主要调研其许可证制度、知识产权制度、收费制度、竞争制度。对我国公共部门信息资源增值利用法律与政策环境建设提出了建议。	XNZY201101007
网络公共信息资源利用效率影响因素模型构建	孙建军:08067678|	7	网络;公共信息资源;利用效率;影响因素;模型;	"从网络公共信息资源的概念、特性以及网络公共信息资源利用的任务、技术、行为特征出发,通过整合管理领域广泛应用的技术接受模型和任务技术适配模型的思想,构建可以解释和预测网络公共信息资源利用效率的影响因素的概念模型,为网络公共信息资源利用效率的评估和改进提供研究框架。"	XNZY201101008
论信息资源配置研究的几个转变	查先进:09002352|	6	信息资源;资源配置;研究;转变;	"信息资源是当代社会重要的经济资源,信息资源配置是有效利用信息资源的关键。本文分析和研究了信息资源配置研究的几个转变,即从关注配置主体向关注信息用户的转变、从经济角度向管理和经济角度并重的转变、从规范研究向实证研究的转变、从狭义信息资源向广义信息资源的转变。"	XNZY201101009
信息系统学派视角下信息资源管理的研究进展和思考——基于IRMJ的元分析	朱庆华:08722091|赵宇翔:21907016|吴克文:23690166|赵文兵:25986194|曹银美:26746539|袁园:15195476|	11	信息资源管理;信息系统学派;研究进展;元分析;	"目前主要有三大学派致力于信息资源管理的理论与应用研究,分别是记录管理学派、信息系统学派和信息管理学派。本文首先回顾了信息系统学派信息资源管理研究的主要理论成果,并通过收集Information Resources Management Journal(IRMJ)1993年到2009年发表的论文,从研究理论、参考学科、研究层次、研究主题与热点、研究方法几个角度对信息系统学派的信息资源管理研究进行元分析。最后在此基础上对其研究重点和研究方向进行总结思考。"	XNZY201101010
信息系统价值在不同信息化情境的差异分析	李东:06267116|	9	感知有用性;感知易用性;信息系统灵活性;信息资源能见度;	"信息系统能否体现其价值与用户的感知有关。从信息系统战略规划的观点来看,系统功能是否灵活、信息输出是否通透,影响用户对于信息系统易用性和有用性的评价,进而影响信息系统价值的体现。这篇论文将企业信息化情境,按信息系统灵活性高、低和信息资源能见度高、低划分四种类型,分析在四种信息化情境之中,用户的感知是否有明显的差异。通过餐饮业网络预订系统为例子,对289位终端用户进行调查,分析结果表明:①在不同的信息化情境下,用户在有用性的感知有明显的差异;②在不同的信息化情境下,用户在易用性的感知有明显的差异。此结果说明,企业信息化方式影响用户对信息系统的评价。决策者可以依据""信息系统灵活性""和""信息资源能见度""这两个战略维度,对信息系统进行战略性规划,影响用户的感知,从而对信息服务进行分级。"	XNZY201101011
管理信息系统的演进:基于知识层级与系统集成的分析	张晓娟:09016101|	8	管理信息系统;系统集成;知识层级;演进;模型;	"本文旨在建立一个智能——集成二维研究体系,并在此体系内分析和研究管理信息系统的演进。作者以DIKW知识层级和系统集成框架为基础,为管理信息系统的演进过程建立了概念模型。通过概念模型分析了传统MIS前后的一些代表性企业信息系统的发展过程,如EDPS,DSS,GDSS,IDSS,EIS,ERP和BI等,描述了他们之间的关系。文章最后得出结论,在智能——集成二维体系内,管理信息系统的演进是一个沿着知识层级智能不断增强和在系统集成框架内分层级集成的持续发展过程。"	XNZY201101012
