篇名	作者	页数	关键词	摘要	filename
迈向第三代人工智能	张钹:15020981|朱军:08189228|苏航:23971321	22	人工智能; 符号主义; 连接主义; 双空间模型; 单空间模型; 三空间模型;	"人工智能(artificial intelligence, AI)自1956年诞生以来,在60多年的发展历史中,一直存在两个相互竞争的范式,即符号主义与连接主义(或称亚符号主义).二者虽然同时起步,但符号主义到20世纪80年代之前一直主导着AI的发展,而连接主义从20世纪90年代才逐步发展起来,到21世纪初进入高潮,大有替代符号主义之势.今天看来,这两种范式只是从不同的侧面模拟人类的心智(或大脑),具有各自的片面性,依靠单个范式不可能触及人类真正的智能.需要建立新的可解释和鲁棒的AI理论与方法,发展安全、可信、可靠和可扩展的AI技术.为实现这个目标,需要将这两种范式结合起来,这是发展AI的必经之路.本文将阐述这一思想,为叙述方便,我们称符号主义为第一代AI,称连接主义为第二代AI,将要发展的AI称为第三代AI. "	PZKX202009002
E级计算的几个问题	钱德沛:05965030|王锐:11010176	24	E级计算机; 异构体系结构; 众核处理器; 互连网; 并行编程;	"过去20余年,在国家科技计划持续支持下,中国的高性能计算事业得到长足发展,目前,正在向EFlops级(百亿亿次级,简称E级)高性能计算机的目标冲刺.本文简要回顾了我国高性能计算发展的历史,针对当前E级计算所遇到的困难,从体系结构、处理器、互连网络、并行操作系统、并行编程、算法和可靠性等7个方面,探讨了需要重点研究和解决的技术问题. "	PZKX202009003
不确定性动态系统的估计、控制与博弈	郭雷:10357682	18	复杂系统; 控制系统; 不确定性; 反馈机制; PID控制; 自适应估计; 自适应滤波; 自适应控制; 自适应博弈; 涌现行为; 博弈控制系统;	"信息技术的快速发展和广泛应用,为科学认识和有效调控现实世界中各类不确定性复杂系统的结构、运行与功能之间关系,提供了前所未有的工具和手段,使系统与控制科学迎来新的发展机遇.未来科学发展离不开现有研究基础及其所提供的借鉴.本文在简要回顾控制理论发展历史的基础上,主要围绕不确定性动态系统的估计、控制和博弈研究中的若干基本科学问题,重点介绍作者研究团队的相关理论进展、研究体会和疑难问题,并给出某些未来展望.本文主要内容集中在下列基本问题的理论和算法基础:经典比例–积分–微分(PID)控制、自适应学习、自适应滤波、自适应控制、反馈机制最大能力、自适应博弈、群体涌现与博弈控制系统等.值得指出,在不确定性动态系统中一般存在各种反馈回路,对其行为的观测数据通常远不满足独立性与平稳性等经典统计假设,这是对其开展理论研究的一个突出特色. "	PZKX202009004
知识驱动的流程工业智能制造	桂卫华:10048891|曾朝晖:28414764|陈晓方:09976961|谢永芳:09982998|孙玉波:09981678	16	流程工业; 智能制造; 知识驱动; 工业知识图谱;	"智能制造是实现我国流程工业高效化、绿色化、高质量发展的必由之路.知识是流程工业智能制造的核心要素,知识驱动的流程工业智能制造是流程制造业发展的新模式.论文从流程制造业中知识的重要性和特点出发,综述了知识研究及应用现状.提出了知识驱动的流程工业智能制造系统框架,探讨了深度知识获取、知识注入和工业知识图谱等关键技术.通过铝电解企业智能决策过程应用案例阐明了以上关键技术在流程工业智能制造系统中的重要作用.最后给出了知识驱动的流程工业智能制造面临的挑战性问题和未来展望. "	PZKX202009005
光纤通信技术发展综述	"余少华1,2,3:44985014|何炜1,2,3:45721342"	16	光纤通信; 光传输; 光网络;	"光纤通信作为二战以来最有意义的四大发明之一,奠定了网络信息传输的基石,承载了全球90%以上数据流量,但预计其未来20年将遭遇""传输容量危机"".本文围绕超高速率、超大容量、超长距离、超宽灵活、超强智能(ultra-high speed, ultra-large capacity, ultra-long distance, ultra-wideband flexibility, and ultra-powerful intelligence, 5U)这5个光纤通信的发展维度开展研究,在回顾了其50多年发展历程的基础上,对近10年来所取得的一系列最新进展进行了全面综述,并就未来10年甚至20年的演进趋势做出展望. "	PZKX202009006
Shannon信息论与未来6G技术潜能	尤肖虎:00002177	18	Shannon信息论; MIMO; 6G移动通信; 无蜂窝; 高可靠与低时延;	"本文从Shannon信息论及其扩展形式的角度,探讨未来6G移动通信系统性能提升的潜能.首先,对经典Shannon信道容量及传输性能折中理论框架进行了概括,并探讨了其在当代移动通信系统中应用的局限性.其次,对Shannon信息论的多输入多输出(MIMO)扩展形式进行了论述,指出了其在当代移动通信系统发展中所扮演的基础性作用;鉴于Shannon信息论及其MIMO扩展形式均为非构造性的,文中还分别讨论了信道容量构造性逼近的两种重要途径—信道极化和特征模式无线传输.然后,围绕更高的频谱效率与功率效率、更高的可靠性与更低的时延、更高的频段等6G技术发展需求,从基础理论的角度探讨其性能进一步提升的潜能,主要结论包括:通过引入更多的天线、无蜂窝网络构架创新,以及分块长度–差错概率–传输速率–最小天线数等关键参数的有效平衡等途径,未来6G技术仍然具有较大的提升潜能,但需要在系统性能与部署成本之间进行折中,并有针对性地有效获取高频段MIMO信道容量.最后本文对涉及未来发展的若干基础性问题进行了总结. "	PZKX202009007
量子信息技术研究现状与未来	郭光灿:05965508	12	量子信息技术; 量子网络; 量子计算机; 量子密码;	"量子信息技术是量子力学与信息科学融合的新兴交叉学科,它的诞生标志着人类社会将从经典技术迈进到量子技术的新时代,本文将阐述量子信息技术的研究现状与未来.文中描绘了量子技术发展远景,即筑建各种类型的量子网络,包括量子云计算网络、分布式量子计算、量子传感网络和量子密钥分配网络等.量子计算机已从实验室的研究迈进到企业的实用器件研制,目前已发展到中等规模带噪声量子计算机(noisy intermidiate-scale quantum, NISQ)的阶段.在量子技术时代,没有绝对安全的保密体系,也没有无坚不摧的破译手段,信息安全进入""量子对抗""的新阶段. "	PZKX202009008
可重构计算:软件可定义的计算引擎	魏少军:08833333|李兆石:31669845|朱建峰:29419251|刘雷波:08822505	20	软件定义芯片; 可重构计算; 领域定制架构; 能量效率; 可编程性;	"随着科技快速进步,新兴应用不断涌现.无法响应软件变化的芯片,如专用集成电路(application-specific integrated circuit, ASIC),将因为生命周期过短,面临一次性工程成本(non-recurring engineering,NRE)过高的难题.与此同时,随着摩尔定律(Moore’s law)和迪纳徳定律(Dennard scaling)走向终结,未来集成电路工艺更新带来的能效收益越来越小,通用处理器可实现的计算能力被芯片功耗约束.近几年兴起的领域定制加速器(domain-specific accelerator, DSA)通过针对特定应用领域的计算模式,定制芯片架构,以期兼顾能量效率和特定领域内的灵活性.但目前DSA面向硬件定制软件,这导致软件生态碎片化,程序员学习成本增大.未来芯片设计需要兼顾灵活性、能量效率和可编程性.软件定义芯片(software-defined chip, SDC)在这一需求下成为了研究热点.可重构芯片通过融合处理器的高灵活性、ASIC的高能效,并通过重构提供了在运行时根据软件定制芯片架构的能力,是当前SDC的研究热点.本文... "	PZKX202009009
编者按	梅宏:38528691	2	 	"<正>今年是《中国科学》和《科学通报》(""两刊"")创刊70周年! 70年来,""两刊""刊载了大量重要的学术论文,报道了我国学者的众多高水平科研成果,记录并见证了新中国科技事业不断前行的不平凡历程,为促进学术交流和推动我国科技发展做出了积极而重要的贡献.""两刊""的发展更离不开我国广大科研工作者的大力支持,""人工合成结晶牛胰岛素""、陈景润的""哥德巴赫猜想""、屠呦呦的""一种新型的倍半萜内酯——青蒿素""等多项代表性研究成果均在""两刊""上发表;学界泰斗钱学森、吴文俊、高锟等也在""两刊""发文或出任编委等. "	PZKX202009001
征稿简则		1	 	"<正>简介:《中国科学:信息科学》(英文名称:SCIENTIA SINICA Informationis)是中国科学院和国家自然科学基金委员会共同主办、《中国科学》杂志社出版的学术刊物.本刊力求刊载信息科学领域最高学术水平的中文文章,及时报道计算机科学与技术、控制科学与控制工程、信息与通信工程、微电子与固体电子学等领域基础与应用研究方面的原创性成果,推动信息科学技术发展,搭建理论与技术应用的桥梁,促进与各学科、各行业的交叉融合.月刊,每月20日出版. "	PZKX202009010
