篇名	作者	页数	关键词	摘要	filename
浅谈少儿图书馆信息素养教育	卢静仪:24971162	3	信息素养; 信息素养教育; 信息技术课程; 少儿图书馆;	"信息素养理论最早是在美国提出并应用于教育领域的。我国的信息素养教育尚处于起步阶段。少儿图书馆信息素养教育是学校信息技术课程的延伸和补充。少儿图书馆应强化其教育职能,依托自身丰富的信息资源,与学校的信息技术课程目标相配合,使青少年具备较好的信息素养,形成终身学习的能力。 "	ZXTS201006002
对少儿图书馆培养学生阅读习惯的思考	朴继红:24981952	3	少儿图书馆; 学生校外; 阅读;	"少儿图书馆是学生课外阅读的主阵地、主渠道。为了有效地探讨培养学生校外阅读习惯,笔者对部分学校、学生、家长进行走访、调查、座谈,在调查研究过程中有很多收获和启发,就此谈谈少儿图书馆如何培养学生校外阅读习惯的问题。 "	ZXTS201006003
谈少儿图书馆对青少年信息素质教育的作用	谭新宇:24971164	2	少儿图书馆; 青少年信息素质教育;	"分析了图书馆对青少年信息素质教育研究的现状,论述了少儿图书馆在青少年信息素质教育中具有的优势及发挥的作用。 "	ZXTS201006004
少儿图书馆培养儿童早期阅读兴趣的举措	张柏华:24441985	3	少儿图书馆; 儿童早期; 阅读; 举措;	"阅读能力被称为""学习的基础,教育的灵魂""。阅读能力并不是先天具备的,而主要依赖于人早期的阅读教育。本文论述了儿童早期阅读的特点、儿童早期阅读的必要性及少儿图书馆开展阅读活动的举措。 "	ZXTS201006005
图书馆读者满意度的定量分析研究	周红霞:24971165	3	图书馆; 读者服务; 满意度; 评价;	"从量化分析的角度,对图书馆读者进行抽样调查分析,借以对读者满意度进行评价,对图书馆服务质量的改进和提高提供决策参考,并给出提高服务质量的建设性建议。在图书馆读者服务中,只有馆员和读者之间互相尊重,员工不断对自己的工作进行审视和创新,才能够有助于服务质量的提升,也有助于图书馆各项工作的顺利开展。 "	ZXTS201006006
现代图书馆文化之探讨	顾鸣鸣:24391807	3	图书馆; 图书馆文化;	"图书馆文化具体体现在硬件建设、精神建设、制度建设三个方面。其主要工作目标:一是给读者提供良好、优雅的环境,尽可能地提供快捷、准确、方便地获取知识的条件;二是围绕着激发和调动图书馆员工的工作主动性、积极性,以实现馆员与读者之间的默契配合,更好地为读者服务。 "	ZXTS201006007
试谈英语阅读交流课的设置及效果	贾小兰:23256856	3	新课标; 阅读交流; 资源; 自主; 综合语言运用能力;	"学生通过对阅读内容的交流,在整合各种资源的过程中,培养了综合语言运用能力和自主学习能力。 "	ZXTS201006008
如何优化中小学图书馆馆藏	陈颖:24971166	3	中小学图书馆; 藏书结构; 藏书剔除; 文献收集;	"以完全中学为例,分析中小学图书馆馆藏现状,提出通过合理规划,从完善藏书结构、藏书剔除以及文献收集等三个方面来优化中小学图书馆馆藏,并提出藏书量、藏书比例的计算方法。 "	ZXTS201006009
中学图书馆如何培养学生的信息素养	杨方玉:24971167	2	课程改革; 学生信息; 素养; 中学图书馆;	"新课改的出台,不仅彻底地改变了教学一线老师的教学模式,同时也给图书馆的发展带来了新的契机。根据新课改的以人为本的精神,中学图书馆应抓住这个契机,不断与时俱进,把握时代赋予的新内涵,充分培养学生的信息素养。 "	ZXTS201006010
在阅读中体验 在阅读中成长——图书馆开展阅读活动的实践与探索	李慧:23577439	2	图书馆; 阅读活动; 教育教学; 兴趣; 体验;	"阅读是学生重要的学习途径。图书馆丰富的资源可以为学生搭建阅读的平台,构建一种开放式的阅读环境,提供一个多渠道获取知识,理解问题,并将学到的知识加以综合应用的机会。不仅与德育教育相得益彰,与课堂教学互促互丰,与课程改革互通互融,还顺理成章地使图书馆资源得到深入应用,达到综合育人的和谐效应。 "	ZXTS201006011
新世纪图书馆的服务与管理创新	刘斌1:24381568|周兵2:11053966	3	图书馆; 服务; 管理创新;	"创新是当今时代发展的鲜明特征,无论是数字图书馆还是复合式图书馆,都将对传统图书馆产生巨大的冲击。如何建立与之相匹配的服务与管理模式,已成为图书馆亟待解决的问题。实现服务与管理模式创新是图书馆未来发展的基本取向。现代图书馆服务与管理的本质也在于创新。 "	ZXTS201006012
公共图书馆开展盲人读者服务的思考	许铭瑜:24971168	2	公共图书馆; 盲人读者工作;	"在介绍了无锡市图书馆盲人馆的基本情况后,分析了盲人馆运作的主要做法,并对公共图书馆开展盲人读者服务提出几点建议。 "	ZXTS201006013
桃李芬芳——谈校友书库建设及开发利用	夏晓春:15143627|吴立南:24971170	2	学校图书馆; 校友书库; 藏书建设;	"校友书库的建设,是学校文化建设的一个重要组成部分。以丽水中学图书馆校友书库建设工作为例,阐述建立校友书库的意义,明确校友书库的含义、收藏范围、搜集途径及管理与利用。 "	ZXTS201006014
阅读要从娃娃抓起	桑爽:24971169	2	阅读指导; 读书活动; 少年儿童;	"加强对低年级学生的阅读指导,从小培养学生良好的阅读习惯,这对学生一生的发展有着积极而深远的意义。文章从充分发挥学校图书馆的作用,组织、指导低年级班主任、语文教师创设书香环境,开展多彩活动,加强阅读指导等方面阐述了具体的做法,既富有一定的创造性,又具有较强的实践性、可操作性及指导性。 "	ZXTS201006015
图书馆开展青少年校外教育的实践与思考	傅爱红:22472681	3	青少年; 校外教育; 图书馆;	"通过图书馆在开展青少年校外教育活动中的实践,阐述了公共图书馆利用自身的资源积极拓展教育职能,成为青少年素质教育的重要场所,并指出图书馆在开展青少年校外教育活动中存在的困难与问题,也提出建议和对策。 "	ZXTS201006016
“学困”生与图书馆	付士华:22504370	2	图书馆; 学困生; 教育;	"以一名教师的亲身实践和研究,论述了图书馆在""学困""生教育中地位与作用,介绍了利用图书馆对""学困""生进行教育和帮助的具体做法和经验。 "	ZXTS201006017
创建一个活跃的图书馆“青少年社会实践基地”	朱瑞娟:17506529	3	图书馆; 学生; 志愿者; 社会实践;	"发挥图书馆社会教育职能,以建立""青少年社会实践基地""的形式,为学生提供社会实践的舞台,让学生快乐地服务,快乐地奉献,为培养新时代所需要的文化新人发挥特殊作用。 "	ZXTS201006018
网上“淘书”的喜与忧	崔莉:06633799	2	网购图书; 电子商务; 淘书; 优势; 问题;	"随着中国的电子商务驶上快车道,网购图书随之火爆起来。事实证明:网上图书不乏鱼目混珠的现象,能淘到精品的金书,也能淘到粗糙的沙书,研究网购图书优越性和局限性,已成为不可回避的课题。通过自身体验对网购图书的问题进行分析、研究,并针对最易出现的问题提出应对的策略。 "	ZXTS201006019
"加强地方文献资源建设,促进东北亚区域文化合作"	周伟光:24887827	3	图书馆; 地方文献; 文化合作; 东北亚;	"地方文献资源建设是一项长期的、繁杂的、艰巨的工作。如何在新的时期和东北亚区域合作的历史背景下,结合吉林省图书馆地方文献资源的独特优势,加大文献的收集力度,深度挖掘文献资源,探讨文献资源更好地为区域文化合作服务。 "	ZXTS201006020
阅读率、阅读兴趣与绘本阅读	凌霜:11613280	4	阅读率; 阅读习惯; 阅读兴趣; 绘本阅读;	"全民阅读率的下降与缺乏阅读习惯的支撑有关。在时下阅读习惯的培养上,有忽视兴趣培养和时机把握的缺陷,以致根基不稳,缺乏自身的定力。而绘本阅读在培养儿童的阅读兴趣上有着独特的优势,值得借鉴利用。 "	ZXTS201006021
浅谈阅读教学的几种方法	黄翠珍:06866192	2	阅读教学; 阅读能力; 教学方法;	"阅读是学生学习的重要途径,阅读课教学应当发挥阅读的作用。这里介绍几种提高学生阅读能力的方法:预读发、提纲预读法、以问促读法、复读法等。 "	ZXTS201006022
经典阅读 引领成长——走进《红岩》	彭世燕:24971171	1	 	"<正>一、教学目标1.带领学生走进图书馆重温《红岩》故事,学习阅读经典小说的方法。2.结合作品故事情节、人物细节刻画品读人物形象。 "	ZXTS201006023
多读书 善读书 读好书——有效利用网络与图书馆开展阅读	肖秀兰:24971172	1	 	"<正>一、教学目标1.有效利用网络与学校图书资源引导学生多读书、善读书、读好书。2.掌握阅读的四个层次,明确阅读的四种方法与技巧。3.明确网络阅读可较好达成检视阅读,图书阅读则更利达成分析阅读与主题阅读。4.明确选择经典名著来读可促 "	ZXTS201006024
高校图书馆实施人本管理策略研究	黄世芳:11090399	3	人本管理; 高校图书馆; 策略;	"从高校图书馆内部管理和读者服务两个方面进行探讨和论述,提出实施人本管理的具体方式和方法,以管理的人性化、个性化、制度化为精髓,构建和谐高校图书馆的人本管理模式。 "	ZXTS201006025
高校图书馆专业分馆的管理创新探索	杜景茹:08074587	3	高校图书馆; 专业分馆; 管理创新;	"高校图书馆专业分馆是高校教学、科研不可或缺的情报机构,在高校教学、科研中有着不可替代的作用。文章分析了高校图书馆专业分馆管理的现状、特点,并对高校图书馆专业分馆提出全新的管理理念。 "	ZXTS201006026
唐山市高校图书馆向社会服务的思考	冯冬梅:15488711	2	高校图书馆; 向社会读者服务;	"从唐山市高校图书馆实际出发,以高校图书馆向社会读者服务的问题进行了调查,并根据调查结果,分析唐山市高校图书馆向社会读者服务存在的问题,对这些问题提出建议。 "	ZXTS201006027
"加强培训学习,提升高职院校图书馆馆员职业能力"	薛强:07901479	4	高职院校; 图书馆员职业能力; 提升;	"高职院校图书馆馆员职业能力明显低下,已严重制约着图书馆服务水平的提高。文章指出要因人而异,及时抓好馆员的培训学习,切实提升高职院校图书馆馆员的职业能力。 "	ZXTS201006028
浅析流通系统ILAS Ⅱ存在的几种弊端	陈薇:11422518	3	少儿图书馆; ILAS Ⅱ; 流通管理系统; 弊端;	"通过少儿图书馆在利用ILAS Ⅱ系统软件过程中所出现的问题,分别阐述了在处理流通日常工作、工作量统计、操作权限设置后所引起的技术屏蔽等问题,并希望有关方面提出解决办法,采取措施,开展好图书馆的服务工作。 "	ZXTS201006029
沈阳市图书馆建馆时间与最初馆名考	李雪垠:13269674	3	图书馆; 历史; 考证;	"通过查阅原始档案,对沈阳市图书馆最初的馆名和成立时间进行考证,进一步澄清许多文献对此产生的歧见。 "	ZXTS201006030
