篇名,作者,页数,关键词,摘要,filename
语言知识驱动的词嵌入向量的可解释性研究,"林星星1:45737698|邱晓枫2,3:45737699|刘扬2:06269306|虞梦夏2,3:45737688|祁晶2,3:45737700|康司辰2:36636922",9,可解释性; 词嵌入向量; 伪语料法;,"神经网络语言模型应用广泛但可解释性较弱,其可解释性的一个重要而直接的方面表现为词嵌入向量的维度取值和语法语义等语言特征的关联状况。先前的可解释性工作集中于对语料库训得的词向量进行知识注入,以及基于训练和任务的算法性能分析,对词嵌入向量和语言特征之间的关联缺乏直接的验证和探讨。该文应用基于语言知识库的伪语料法,通过控制注入语义特征,并对得到的词嵌入向量进行分析后取得了一些存在性的基础性结论:语义特征可以通过控制注入到词嵌入向量中;注入语义特征的词嵌入向量表现出很强的语义合成性,即上层概念可以由下层概念表示;语义特征的注入在词嵌入向量的所有维度上都有体现。 ",MESS202008001
基于长时间跨度语料的词义演变计算研究,"孙琦鑫1,2:45737689|饶高琦1,2,3:28523622|荀恩东1,2:06433984",13,词义演变; 历时语料; 分布式表示;,"该文收集了自晚清到21世纪间长达144年的连续历时报刊语料,通过统计分析和词语分布式表示两类方法展开研究,计算并辅助识别汉语词语的词义历时演变现象。采用TF-IDF、词频比例等多种统计分析的评价指标和目标词语在文段中的共现实词及其重合度挖掘出现词义演变的词语。针对历时语料上不同时间段的词向量对齐,采用SGNS训练词向量加正交矩阵投影、SGNS递增训练和""锚点词""二阶词向量表示三种方法,其中以SGNS递增训练效果最佳。针对自动发现的词义演变现象,采用目标词历时自相似度和锚点词历时相似度的分析方法,并利用近邻词来明确目标词变迁前后的词义。 ",MESS202008002
基于平行周遍原则的汉语未登录词的知识表示与预测,"康司辰1:36636922|虞梦夏1,2:45737688|刘扬1:06269306",9,汉语未登录词; 平行周遍条件; 语义构词; 知识表示; 知识预测;,"汉语未登录词的知识表示与预测,包括词性、构词结构、词义等项目,是计算语言学领域中的基础性问题。该文依据""平行周遍""原则,从现有的语义构词知识中提取""平行条件"",将未登录词潜在的构词因素与这些""平行条件""进行适应性匹配,从而对其知识表示进行相对完整的预测。该方法将新的语言学理论与未登录词的理解应用问题结合,取得了显著的效果,其解释能力、便捷性和精细程度优于此前方法。这些研究,除了在自然语言处理领域有实用价值,也有望推动词典编撰、语言研究与教学等人文领域的进展。 ",MESS202008003
汉语委婉语语言资源建设,张辰麟1:41405525|王明文1:08472511|谭亦鸣2:45737691|肖文艳1:36646388,9,委婉语; 语义辨析; 语言资源构建;,"委婉语是语言交流中不可或缺的交际手段,委婉语研究一直是语言学界的热门话题之一,但在自然语言处理领域,尚未有委婉语相关研究。该文借助现有纸质词典,基于语料库检索和专家人工判别的方式,初步构建了规模为63 000余条语料的汉语委婉语语言资源;并根据自然语言处理的相关任务需求,结合词典释义对委婉语进行分类。该文提出了利用同类委婉语的上下文语境辅助进行标注的方法。经过实验,对简单语义委婉语的语义判别准确率达89.71%,对语义复杂的兼类委婉语的语义判别准确率达74.65%,初步验证了利用计算机辅助人工标注构建委婉语语言资源的可行性。 ",MESS202008005
面向国防科技领域的技术和术语语料库构建方法,冯鸾鸾:45737690|李军辉:09886805|李培峰:09886822|朱巧明:05968617,10,面向国防科技领域; 技术和术语; 标注规范; 语料库;,"互联网存在海量的文献和科技信息,隐含着大量高价值情报。识别国防科技领域中的技术和术语可以为构建国防科技知识图谱奠定基础。该文基于此领域的海量军事文本,以维基百科中军事领域的新技术为基点采集语料,涵盖了新闻、文献和维基百科三种体裁。在分析军事技术文本特点的基础上制定了一系列标注规范,开展了大规模语料的标注工作,构建了一个面向国防科技领域的技术和术语语料库。该语料库共标注了479篇文章,包含24 487个句子和33 756个技术和术语。同时,该文探讨了模型预标注策略的可行性,并对技术和术语类别在不同体裁上的分布以及语料标注的一致性进行了统计分析。基于该语料库的实验表明,技术和术语识别性能F1值达到70.40%,为进一步的技术和术语识别研究提供了基础。 ",MESS202008006
利用门控机制融合依存与语义信息的事件检测方法,陈佳丽:39439171|洪宇:25038035|王捷:41912763|张婧丽:41863735|姚建民:13898051,10,语义信息; 依存信息; 门控机制; 事件检测;,"句子级事件检测任务目的是识别和分类事件触发词。现阶段工作主要将句子作为神经分类网络的输入,学习句子的深层语义信息,从而优化句子表示来改进事件检测任务的性能。该文发现除句子语义信息外,依存树包含的句法结构信息也有助于获取准确的句子表示。为此,该文采用双向长短时记忆网络对句子进行编码,捕获其语义信息;同时,设计图神经网络对句子的依存结构进行表示,获取其依存信息;此外,在对句子进行语义编码与依存编码时,该文利用自注意力机制使模型选择性地关注句子中的不同词,从而捕获句子中有助于事件检测的关键信息,并尽可能避免无关词的干扰;最后,该文提出门控机制,通过加权实现上述两种信息的动态融合。该文在自动文本抽取（automatic content extraction, ACE）数据集上进行实验,结果显示,该文提出的动态融合语义信息与依存信息的方法能更加有效地对句子进行编码,并捕获句子中的事件信息,在触发词识别与事件类型分类这两个子任务中,F1值均有较大提升,分别达到76.3%和73.9%。 ",MESS202008007
用于社交媒体的中文命名实体识别,李源:17353669|马磊:22166752|邵党国:30696523|袁梅宇:10593261|张名芳:45737692,9,位置编码; 多种注意力机制; 对抗学习; 中文命名实体识别;,"社交领域的中文命名实体识别（NER）是自然语言处理（NLP）中一项重要的基础任务。目前基于词粒度信息或者外部知识的中文命名实体识别方法,都会受到中文分词（CWS）和溢出词（OOV）等问题的影响。因此,该文提出了一种基于字符的使用位置编码和多种注意力的对抗学习模型。联合使用位置编码和多头注意力能够更好地捕获字序间的依赖关系,而使用空间注意力的判别器则能改善对外部知识的提取效果。该文模型分别在Weibo2015数据集和Weibo2017数据集上进行了实验,实验结果中的F1值分别为56.79%和60.62%。与多个基线模型相比,该文提出的模型性能更优。 ",MESS202008008
融合空洞卷积神经网络与层次注意力机制的中文命名实体识别,"陈茹1,2:11507352|卢先领2,3:07769353",8,注意力机制; 迭代空洞卷积神经网络; 中文命名实体识别;,"该文针对现有的命名实体识别(named entity recognition,NER)模型未考虑到文本层次化结构对实体识别的重要作用,以及循环神经网络受其递归性的限制导致计算效率低下等问题,构建了IDC-HSAN模型(Iterated Dilated Convolutions Neural Networks and Hierarchical Self-attention Network)。该模型通过迭代的空洞卷积神经网络(ID-CNN)充分利用GPU的并行性大大降低了使用长短时记忆网络的时间代价。然后,采用层次化注意力机制捕获重要的局部特征和全局上下文中的重要语义信息。此外,为了丰富嵌入信息,加入了偏旁部首信息。最后,在不同领域数据集上的实验结果表明,IDC-HSAN模型能够从文本中获取有用的实体信息,和传统的深度网络模型、结合注意力机制的命名实体识别模型相比识别效果有所提升。 ",MESS202008009
基于HRED模型的中文多轮对话任务方法研究,王孟宇:45737693|俞鼎耀:45737694|严睿:29558002|胡文鹏:45737695|赵东岩:06277286,8,多轮对话; 生成式模型; 自然语言处理;,"多轮对话任务是自然语言处理中最具有实用价值的技术之一,该任务要求系统在产生通顺回答语句的同时能够照顾到上下文信息。近年来,出现了一大批以HRED(hierarchical recurrent encoder-decoder)模型为基础的多轮对话模型,其运用多层级的循环神经网络来编码上下文信息,并在Movie-DiC等英文对话数据集上取得了不错的结果。在2018年京东举办的中文多轮对话大赛中,京东向参赛选手公布了一批高质量的真实客服对话语料。该文在此数据上进行实验,针对HRED模型的缺点以及在中文语料下的表现进行改进,提出基于注意力和跨步融合机制与HRED模型结合的方案,实验结果表明,该方案取得了较大的性能提升。 ",MESS202008010
卷积重提取特征的文档列表排序学习方法,曹军梅:09303644|马乐荣:09290371,8,排序学习; 文档列表; 梯度下降; 卷积神经网络;,"在许多信息检索任务中,为了进一步提高检索性能,通常需要对检索到的文档进行重新排序,目前的排序学习方法主要集中在损失函数的构造上,而没有考虑特征之间的关系。该文将多通道深度卷积神经网络作用于文档列表排序学习方法,即ListCNN,实现了信息检索的精确重排序。由于从文档中提取的多个特征中有一些特征具有局部相关性和冗余性,因此,文中使用卷积神经网络来重新提取特征,以提高列表方法的性能。ListCNN架构考虑了原始文档特征的局部相关性,能够有效地重新提取代表性特征。在公共数据集LETOR 4.0上对ListCNN进行实验验证,结果表明其性能优于已有文档列表方法。 ",MESS202008011
基于粗糙集和多通道词向量的中文文本情感特征分析,陈波1:24742237|谢珺1:08893125|苗夺谦2:08963093|王雨竹1:45737697|续欣莹3:08866885,11,属性约简; 情感特征提取; 词向量; 情感分类;,"粗糙集是一种能够有效处理不精确、不完备和不确定信息的数学工具,粗糙集的属性约简可以在保持文本情感分类能力不变的情况下对文本情感词特征进行约简。针对情感词特征空间维数过高、情感词特征表示缺少语义信息的问题,该文提出了RS-WvGv中文文本情感词特征表示方法。利用粗糙集决策表对整个语料库进行情感词特征建模,采用Johnson粗糙集属性约简算法对决策表进行化简,保留最小的文本情感词特征属性集,之后再对该集合中的所有情感特征词进行词嵌入表示,最后用逻辑回归分类器验证RS-WvGv方法的有效性。另外,该文还定义了情感词特征属性集覆盖力,用于表示文本情感词特征属性集合对语料库的覆盖能力。最后,在实验对比的过程中,用统计检验进一步验证了该方法的有效性。 ",MESS202008012
基于对话结构和联合学习的情感和意图分类,张伟生:45737696|王中卿:23843509|李寿山:27030929|周国栋:13898054,8,情感分类; 联合学习; 注意力机制;,"在社交媒体中存在大量的对话文本,而在这些对话中,说话人的情感和意图通常是相关的。不仅如此,对话的整体结构也会影响对话的情感和意图,因此,需要对对话中的情感和意图进行联合学习。为此,该文提出了基于对话结构的情感、意图联合学习模型,考虑对话内潜在的情感与意图的关联性,并且利用对话的内在结构与说话人的情感和意图之间的关系,提升多轮对话文本的每一子句情感及其意图的分类性能。同时,通过使用注意力机制,利用对话的前后联系来综合考虑上下文对对话情感的影响。实验表明,联合学习模型能有效地提高对话子句情感及意图分类的性能。 ",MESS202008014
ACL-IJCAI-SIGIR顶级会议论文报告会(AIS2020)成功在线举办,,1, ,"<正>ACL、IJCAI和SIGIR是自然语言处理、人工智能和信息检索领域的三大顶级国际学术会议。AIS顶级会议论文报告会是由中国中文信息学会青年工作委员会主办的系列学术活动,该活动邀请被三大顶级国际会议录用的文章作者进行报告交流,将三大会议的精彩内容融为一体,为国内学者和研究人员提供更快速、更便捷的学习交流机会。自2017年起AIS已连续举办四届,往年会议吸引数千名专家学者和学生进行线上线下交流。 ",MESS202008004
"全国社会媒体处理大会(SMP 2020)召开,98场报告日程全公开",,1, ,"<正>全国社会媒体处理大会(SMP)专注于以社会媒体处理为主题的科学研究与工程开发,为传播社会媒体处理最新的学术研究与技术成果提供广泛的交流平台,旨在构建社会媒体处理领域的产学研生态圈,成为中国乃至世界社会媒体处理的风向标。会议将采取大会报告、专题研讨、张贴报告等形式进行交流。全国社会媒体处理大会创办于2012年,每年举办一次,现已成为社会媒体处理的重要学术活动。 ",MESS202008013
《基于深度学习的自然语言处理》,,1, ,"<正>自然语言处理旨在使计算机能够智能地处理人类语言,是人工智能的前沿研究领域之一,相关应用已经开始深刻影响社会大众识别、获取和利用信息的方式。自然语言处理的发展历经三大浪潮:理性主义、经验主义和深度学习。在第三大浪潮中,深度学习利用非线性处理的层次模型,通过从数据中自动学习语言内在表征的方式,对推动自然语言处理研究与应用的发展发挥了重要作用。本书旨在对基于深度学习的自然语言处理领域所取得的最新进展进行全面回顾,重点介绍了深度学习在主要自然语言处理任务中的应用。全书共11章,主要内容如下: ",MESS202008015
神经机器翻译前沿综述,"冯洋1,2:22036015|邵晨泽1,2:43419620",18,神经机器翻译; 模型训练; 同声传译; 多模态机器翻译; 非自回归机器翻译; 篇章翻译; 领域自适应; 多语言翻译;,"机器翻译是指通过计算机将源语言句子翻译到与之语义等价的目标语言句子的过程,是自然语言处理领域的一个重要研究方向。神经机器翻译仅需使用神经网络就能实现从源语言到目标语言的端到端翻译,目前已成为机器翻译研究的主流方向。该文选取了近期神经机器翻译的几个主要研究领域,包括同声传译、多模态机器翻译、非自回归模型、篇章翻译、领域自适应、多语言翻译和模型训练,并对这些领域的前沿研究进展做简要介绍。 ",MESS202007002
从视觉到文本:图像描述生成的研究进展综述,魏忠钰1:45383643|范智昊1:45383644|王瑞泽2:45383645|承怡菁1:45383646|赵王榕1:45383647|黄萱菁3:06698167,11,图像描述生成; 跨模态特征对齐; 文献综述;,"近年来,跨模态研究吸引了越来越多学者的关注,尤其是连接视觉和语言的相关课题。该文针对跨视觉和语言模态研究中的核心任务——图像描述生成,进行文献综述。该文从基于视觉的文本生成框架、基于视觉的文本生成研究中的关键问题、图像描述生成模型的性能评价和图像描述生成模型的主要发展过程四个方面对相关文献进行介绍和总结。最后,该文给出了几个未来的重点研究方向,包括跨视觉和语言模态的特征对齐、自动化评价指标的设计以及多样化图像描述生成。 ",MESS202007003
句法分析前沿动态综述,屠可伟:45383650|李俊:36163270,12,句法分析;,"句法分析的目标是分析输入句子并得到其句法结构,是自然语言处理领域的经典任务之一。目前针对该任务的研究主要集中于如何通过从数据中自动学习来提升句法分析器的精度。该文对句法分析方向的前沿动态进行了调研,分别从有监督句法分析、无监督句法分析和跨领域跨语言句法分析三个子方向梳理和介绍了2018—2019年发表的新方法和新发现,并对句法分析子方向的研究前景进行了分析和展望。 ",MESS202007004
融合实体知识描述的实体联合消歧方法,"范鹏程1,2:40343850|沈英汉1,2:43663605|许洪波1:10348532|程学旗1:09559496|廖华明1:09559592",9,实体消歧; 深度学习; 注意力机制;,"实体消歧（entity disambiguation）是指将文档中识别出的实体指称（entity mention）链向其在特定知识库中相应条目的过程。该文结合主流的基于深度学习的实体消歧方法并融合实体知识描述展开了实验性研究。实验结果表明,融合实体知识描述的实体消歧方法在公开数据集上取得了与已有最好算法相当的F1性能。 ",MESS202007005
融合实体描述及类型的知识图谱表示学习方法,杜文倩:42579764|李弼程:36009308|王瑞:14446905,10,人工智能; 知识图谱; 表示学习; 链接预测; 三元组分类;,"知识图谱在很多人工智能领域发挥着越来越重要的作用。知识图谱表示学习旨在将三元组中的实体和关系映射到低维稠密的向量空间。TransE、TransH和TransR等基于翻译操作的表示学习方法,只考虑了知识图谱的三元组信息孤立的学习表示,未能有效利用实体描述、实体类型等重要信息,从而不能很好地处理一对多、多对多等复杂关系。针对这些问题,该文提出了一种融合实体描述及类型的知识图谱表示学习方法。首先,利用Doc2Vec模型得到全部实体描述信息的嵌入;其次,对实体的层次类型信息进行表示,得到类型的映射矩阵,结合Trans模型的三元组嵌入,得到实体类型信息的表示;最后,对三元组嵌入、实体描述嵌入及实体类型嵌入进行连接操作,得到最终实体嵌入的表示,通过优化损失函数训练模型,在真实数据集上分别通过链接预测和三元组分类两个评测任务进行效果评估,实验结果表明新方法优于TransE、TransR、DKRL、SimplE等主流模型。 ",MESS202007006
基于补全信息的篇章级神经机器翻译,张培1:14257535|张旭2:45383820|熊德意1:32622753,8,神经机器翻译; 篇章; 补全;,"对于句子级别的神经机器翻译,由于不考虑句子所处的上下文信息,往往存在句子语义表示不完整的问题。该文通过依存句法分析,对篇章中的每句话提取有效信息,再将提取出的信息,补全到源端句子中,使得句子的语义表示更加完整。该文在汉语-英语语言对上进行了实验,并针对篇章语料稀少的问题,提出了在大规模句子级别的平行语料上的训练方法。相比于基准系统,该文提出的方法获得了1.47个BLEU值的提高。实验表明,基于补全信息的篇章级神经机器翻译,可以有效地解决句子级别神经机器翻译语义表示不完整的问题。 ",MESS202007007
融合图像注意力的多模态机器翻译模型,"李霞1,2:06840132|马骏腾2:44764574|覃世豪2:45383651",11,多模态机器翻译; 图像注意力; 图像全局语义; 图像局部语义;,"已有工作表明,融入图像视觉语义信息可以提升文本机器翻译模型的效果。已有的工作多数将图片的整体视觉语义信息融入到翻译模型,而图片中可能包含不同的语义对象,并且这些不同的局部语义对象对解码端单词的预测具有不同程度的影响和作用。基于此,该文提出一种融合图像注意力的多模态机器翻译模型,将图片中的全局语义和不同部分的局部语义信息与源语言文本的交互信息作为图像注意力融合到文本注意力权重中,从而进一步增强解码端隐含状态与源语言文本的对齐信息。在多模态机器翻译数据集Multi30k上英语—德语翻译对以及人工标注的印尼语—汉语翻译对上的实验结果表明,该文提出的模型相比已有的基于循环神经网络的多模态机器翻译模型效果具有较好的提升,证明了该模型的有效性。 ",MESS202007008
