
再看“大数据治理”,,1, ,"<正>我们已经进入5G时代,IT演进与产业变革正在加速,Io T物联网时代已经到来。""5G+AI+IoT""将进一步激发产业的数字化转型,带来数据量的激增,需要更强大的数据管理能力、更实时的数据处理能力、更精准的数据业务结合能力和更灵活、敏捷、高效的数字化平台能力。随着在行业领域应用的深入,数据作为基础性战略资源的地位日益凸显。 ",XXJS202006001
乘风破浪的5G,,4, ,"<正>作为新基建的""领头羊"",今年以来,5G发展呈现加速的态势。智能制造再次升级、智慧物流应用更广、智慧服务随处可见……5G等数字技术正乘风破浪,向更多领域渗透,各行各业也随之发生改变。 ",XXJS202006002
全国人工智能版图,,2, ,"<正>近年来,无论大小城市,在政府工作报告、城市产业规划中,""人工智能""都是一个高频词。人工智能产业链包含哪些产业和产品?行业发展现状如何?哪些省份已形成先发优势领跑全国?近日,工商数据平台启信宝从大数据层面发布了相关报告。从市场规模发展趋势上看,人工智能上中下游三条线,在过去3年多时间里呈现出不同状态。从企业新增来看,2016年以来,人工智能产业链下游企业,每年都迎来大幅增长,势 ",XXJS202006003
推进长三角一体化，今年“浙”样做,,2, ,"<正>今年以来,浙江坚决扛起建设""重要窗口""的使命担当,与两省一市一起,深入谋划、聚焦聚力重点领域和标志性工程建设近年来,三省一市不断推动长三角一体化发展国家战略走深走实,在构建国内国际双循环相互促进的新发展格局背景下,正在谋划""高质量一体化""的新作为。今年,在疫情防控常态化的背景下,浙江将继续坚持目标导向、问题导向、效果导向,确保长三角一体化发展各项工作落地生根、开花结果。 ",XXJS202006007
浙江的77条任务书——2020浙江推进长三角一体化发展工作要点,,4, ,"<正>近日,浙江省长三角办印发了《2020年浙江省推进长三角一体化发展工作要点》,要求以浙江省轮值2020年长三角合作与发展工作为契机,着力办好一批具有标志意义的重大活动,推进一批具有引领意义的重大事项,打造一批具有示范意义的重大平台,突破一批具有创新意义的重大改革举措,实施一批具有带动意义的重大项目,以新思路新作为新担当,推动长三角一体化发展国家战略走深走实。 ",XXJS202006008
“浙”里的大数据风光独好,,1, ,"<正>早在2016年,浙江就在全国率先启动了""数据强省""战略,为大数据产业迎来了更好的发展机遇。截止到2019年底,全省大数据产业规模达4271亿元,出口规模15亿美元,从业人员33.95万人。同时,为加快推进大数据产业发展,增强产业创新能力和核心竞争力,浙江于2016年择优遴选了14家企业承建大数据省级重点企 ",XXJS202006009
打造大数据产业高地，浙江在行动,,4, ,"<正>自2016年以来,浙江积极落实《大数据产业发展规划(2016-2020年)》,已取得良好成效十三五以来,浙江省认真贯彻落实国务院《促进大数据发展行动纲要》和工信部《大数据产业发展规划(2016—2020年)》,以实施数字经济""一号工程""、建设国家数字经济示范省为契机,积极推进大数据应用和产业发展,已经取得了良好成效。根据赛迪研究院发布《中国大数据 ",XXJS202006010
加快工业大数据建设应用 促进浙江制造业高质量发展,吴君青:45134774,3, ,"<正>近年来,浙江以工业大数据作为推动产业数字化转型的新引擎,促进制造业高质量发展,为浙江努力成为新时代全面展示中国特色社会主义制度优越性的重要窗口提供了重要支撑。今年4月,习近平总书记在浙江考察时强调,要抓住产业数字化、数字产业化赋予的机遇,抓紧布局数字经济。工业大数据作为制造业转型的重要基础,是浙江贯彻落实习近平总书记重要指示精神,深入实施数字经济""一号工程"" ",XXJS202006011
信雅达，金融科技创新先锋,,3, ,"<正>从最初的金融IT软硬件产品提供商,到如今的金融科技服务商,信雅达是杭州金融科技发展的见证者,更是投身其中的创造者、参与者浙江杭州,数字经济第一城。短短十数年里,这片江南沃土风起云涌,跃身成为走在新经济前列的""天堂硅谷"",新技术、新业态、新金融、新生活成为这片土地最亮眼的标签。或许是澎湃钱塘造就了杭州的热诚与拼搏,""天堂硅谷""一直相信奇迹,永远创造不凡。 ",XXJS202006012
迪安，打造健康产业新模式,,4, ,"<正>迪安医疗大数据重点企业研究院重点开展医疗大数据采集、分析和共享平台的建设,致力于诊断技术与方法、诊疗新模式与医疗健康大数据的研究分析随着新医改的深入以及精准医疗的兴起,迪安诊断技术集团股份有限公司借助大健康服务业蓬勃发展的势头,充分发挥商业模式、技术研发、管理体系等优势,打造大健康产业生态圈,实现医疗机构、政府、百姓多方共赢。 ",XXJS202006013
恒生，践行金融大数据产业化,李莉:45641319,2, ,"<正>恒生金融大数据研究院集中资源对金融大数据基础架构、金融大数据安全防范等方向进行了重点科研攻关,形成了国内领先的金融大数据服务平台作为全领域金融IT服务商,恒生电子股份有限公司一直以""成为全球领先的金融科技公司""为愿景,""让金融变简单""为使命,以技术服务为核心,凭借多年金融IT建设经验,以及对互联网的深刻洞察和理解,用优质的产品与服务,驱动金融机构创新发展。2016年,恒生开始创建金融大数据省级 ",XXJS202006014
“大数据+”模式牵手“制造业+”——乌镇大数据产业园片区建设“路线图”出炉,,2, ,"<正>近日,嘉兴桐乡市出台了《中国(浙江)自由贸易试验区嘉兴联动创新区乌镇大数据产业园片区建设实施方案》,希望通过探索乌镇大数据产业园片区乌镇区块""大数据+""模式和桐乡经济开发区区块""制造业+""模式的结合与创新,进一步推动高质量外资集聚地建设,全力把乌镇大数据产业园片区打造成浙江乃至全国最具发展活力的数字经济产业发展高地。 ",XXJS202006015
构建数字经济浙江样板——2020深化数字浙江建设工作要点,,4, ,"<正>近日,《深化数字浙江建设2020年工作要点》出台,明确了2020年深化数字浙江建设总体安排:聚焦政府、经济、社会三大数字化转型,推进数字科技突破、数字基础设施提升、数据协同应用,加快建设国家数字经济创新发展试验区,为省域治理现代化提效,为全省""两个高水平""建设增色,为数字中国建设贡献浙江力量、提供浙江样本。 ",XXJS202006016
升级中的新一代信息技术产业,,4, ,"<正>伴随着科技的进步与发展,新一代信息技术更主要的是指信息技术的整体平台和产业的代际变迁新一代信息技术是国务院确定的七个战略性新兴产业之一,通常包括下一代通信网络、物联网、三网融合、新型平板显示、高性能集成电路和以云计算为代表的高端软件等几个方面。伴随着科技的进步与发展,新一代信息技术已经不只是指信息领域的一些分支技术,如集成电路、计算机、无线通信等的纵向升级,更主要的是指信息技术的整体平台和产业的代际变迁。 ",XXJS202006017
新基建下5G建设的挑战和建议,,3, ,"<正>5G网络建设是新型基础设施建设的重要部分,5G与人工智能、物联网、云计算等结合起来有利于推动数字经济的发展新型基础设施建设对我国的经济发展具有重要意义。5G网络建设是新型基础设施建设的重要部分,5G与人工智能、物联网、云计算等结合起来有利于推动数字经济的发展。5G网络建设正在全面地展开,去年5G商用 ",XXJS202006018
院士专家解读新基建下的网络安全,,3, ,"其实网络安全无处不在,无论是普通的网络平台的账号、隐私和数据安全,还是基于人工智能技术下无人驾驶和机器人技术都离不开安全。近日,在一次网络安全线上研讨会上,多位院士专家表示,在新基建为中国经济发展铺路的同时,网络安全可为新基建保驾护航。 ",XXJS202006019
走向6G,,3, ,"<正>以数据为中心的智能化系统的快速增长对5G无线系统的能力带来了巨大挑战,需要开发具有新功能特性的6G无线系统随着通信需求的提升,移动通信从1G逐步发展至现在的5G,并且5G已经在全球范围内开始大规模部署。尽管如此,以数据为中心的智能化系统的快速增长对5G无线系统的能力带来了巨大挑战。例如要保证虚拟现实(VR)设备良好的用户体验,至少需要10Gbps的数据速率,这已经是超越5G(B5G)后才能实现的目标。 ",XXJS202006020
世界各国积极推进6G研究进展,,3, ,"<正>虽然目前6G网络还处于愿景设想阶段,但包括中美日韩国以及一些欧洲国家在内,都开始纷纷开展6G研究2018年7月16日,由中国(华为)、美国(Verizon)和韩国(ETRI)联合提案发起的2030网络技术焦点组在日内瓦成立。该焦点组旨在探索面向2030年及以后的新兴ICT部门网络需求以及IMT-2020(5G)系统的预期进展。业界认为,这从一定程度上标志着各国开始启动对6G网络技术的研究。 ",XXJS202006021
构建3D机房运维可视化系统,,2, ,"<正>构建智能化的机房运维管理系统,保障机房中的设备高可靠运行,使机房运维和管理在日常工作变被动为主动,将出现的问题做到早发现、早解决,提前预警机房是政府机关企事业单位的数据核心和网络安全重地,是数据中心的物理存放单元,一旦网络等重要设备出现故障,会导致数据传输和存储出现异常,严重的情况下,甚至会导致数据的丢失和一些关键设备报废,产生不可 ",XXJS202006022
基于互联网+的保安服务科技化探索,,1, ,"<正>保安行业作为一项传统行业,到如今通过互联网+已经成为一个多技术融合的高科技安保行业。互联网对保安行业的影响是革命性的,基于互联网+的保安服务科技化也将是一条革命性的道路。这种科技化将体现在服务理念、工作方式和手段、工作内容以及保安服务管理方式和手段上的科技化等,最终实现保安服务价值的最大化。 ",XXJS202006023
读数,,1, ,"<正>35亿元据外媒报道,华为技术有限公司将在英国的萨斯顿村建设一个耗资4亿英镑(约35亿元人民币)的研发中心。该研发中心将用于研发宽带的芯片,并为华为以后引进高层次人才做好准备。15.1%日前,腾讯通过全资子公司黄河投资有限公司买入蔚来汽车168万股美国存托股(ADS),相当于168万股A类普通股,耗资1000万美元。增持后,截至6月10日,腾讯持有蔚来约1.59亿股普通股,持股占比15.1%。 ",XXJS202006004
云阅读·观点,,1, ,"<正>徐子阳:5G产能满足供货要求,对国内5G的发展充满信心6月19日,中兴通讯执行董事、总裁徐子阳在中兴通讯2019年度股东大会上表示:""企业在5G的竞争力体现在两点,一是技术竞争力,二是市场竞争力。在技术竞争力方面,中兴通讯依靠专利、芯片、算法、架构构筑了其关键技术竞争力的核心点。从市场竞争力表现上看,2020年上半年,中兴通讯在运营商国际和国 ",XXJS202006005
政策速递,,1, ,"<正>建设国家电子政务标准体系6月11日,市场监管总局办公厅、中共中央办公厅机要局、国务院办公厅电子政务办公室、中央网信办秘书局、国家发展改革委办公厅和工业和信息化部办公厅等六部门联合印发了《国家电子政务标准体系建设指南》,到2022年,全面覆盖电子政务基础共性标准、关键应用标准、安全保障标准,建立较为先进的国家电子政务标准体系,有效指导电子政务建设,建设电子政务标准应用服务平台,提升标准 ",XXJS202006006
“扫除”人工智能创新阻碍,,1, ,"<正>人工智能是一项战略性技术,具有很强的""头雁效应"",在有力推动经济社会发展的同时,也带来一系列风险与挑战。清晰地认识问题,合力准确地""扫除""人工智能创新的阻碍是当务之急。势不可挡的人工智能""洪流""正引领新一轮的科技革命和产业变革,赋能百行百业。尽管我们看到了人工智能的众多好处,但不可否认,人工 ",XXJS202005001
