篇名	作者	页数	关键词	摘要	filename
我国情报学学科建设研究进展	"苏新宁1,2:08041788|杨国立1,2:37458662"	38	情报学; 学科建设; 学术发展; 队伍建设; 情报学未来发展;	"作为一门应用性学科,情报学的发展始终与其所处的环境密切关联。文章首先从信息资源环境、国家与社会发展需求和国际竞争与安全三个方面对情报学学科发展的背景进行了评述。基于此,分析了情报学发展所面临的机遇与挑战,这些不仅是当前情报学研究所取得成绩的动力和原因,也是未来情报学发展方向的引导。在此基础上,文章从情报学学术研究、队伍建设和社会贡献三个方面对近两三年来情报学的研究进展进行了分析,同时从研究对象聚焦、技术与方法创新、军民情报融合等6个方面对情报学的未来发展趋势进行了展望。 "	QBXJ202000002
内容提要		1	 	"<正>本书由中国国防科学技术信息学会主持出版,《情报理论与实践》编辑部承担选题策划与组织工作。本书是一本对情报学和信息技术应用领域研究进展的年度评论,反映近一时期该领域的热点问题、研究所取得的成果,以及未来发展趋势。本书选取在国内、国际上有一定研究成果,或有一定应用的选题,在一定程度上揭示了近年来情报学的研究现状、热点与趋势,利于回顾并引导相关研究。本书主要内容有: "	QBXJ202000001
国内外情报学理论研究进展综述	"王延飞1:06274840|唐超1,2:17339787|王郑冬如1:41959678|杜婉莹1:40600312|秦小平1:42030309|何卓浩2:41257490|赵凤3:45754394"	46	情报科学; 情报理论; 数据科学; 信息行为; 智库研究;	"信息技术和信息环境的变化,影响着情报学术认知与探索。文章以情报的感知、刻画和响应为核心关切,针对数据科学、信息行为、智库实践,以及安全发展兼顾理念等情报理论与实践的持续热点领域,梳理近10年来的研究成果,勾勒出情报学理论探索的基本脉络,为情报学术研究提供参考依据。 "	QBXJ202000003
统一情报论视角下情报学理论体系研究进展	卢胜军1:38916383|周静1:42861889|牛海波2:42543135	35	军民融合; 情报理论; 理论体系; 情报学科建设; 智慧情报; 国家安全发展观; 研究进展;	"军民融合是党中央从国家安全和发展战略全局出发作出的重大决策,将对情报学理论体系发展产生颠覆性影响与重塑,促进统一的情报理论。首先,简要介绍了军民融合与情报学理论体系的概念、内涵,以及军民融合对情报学理论的意义。其次,在军民融合视角下,梳理了传统情报学派及其理论体系特征,分析了当前情报学理论体系研究进展的文献特征,总结了近年来情报学理论体系在总体国家安全观、面向国家安全与面向发展、军民融合等方面的研究动向与典型观点,并探讨了国防科技情报军民融合的实践经验和理论创新,认为军民融合是当前情报学研究的关键点、聚焦点,而军民融合式统一情报理论即""统一情报论""是情报学发展的主要方向和重要选项。最后,研判了统一情报论视野下情报学理论体系发展若干重要趋势,即聚焦于""融合""、向智慧和数据双向发展、从分化向综合演进、理论与实践螺旋上升发展、推进国家情报一体化体系和能力建设。 "	QBXJ202000004
情报分析的基本问题及研究进展	李艳:10956782|沈卓:38456467|陈嘉钰:43297088	45	情报分析; 研究进展; 情报认知理论; 意义构建; 情报分析方法; 智能情报分析; 社会雷达;	"文章以广义情报分析概念为逻辑起点,以情报分析意义构建流程模型为理论依据,以人机结合为分析视角,将情报分析分为初级分析和多来源分析两个阶段,前者对应信息搜寻循环,后者对应意义构建循环。信息搜寻循环涉及信息抽取、信息鉴别、信息关联和归并、信息融合和挖掘四类基本问题,意义构建循环涉及模式设定、证据评估、连点成线、假设构建和验证四类基本问题。之后分别将这四类基本问题进一步细分,对每个细分问题的研究进展进行了梳理。重点对意义构建阶段认知过程和推理过程的研究进展进行了评述,对分析方法和智能分析方面的最新研究进行了介绍。最后以社会雷达系统为实例,展望了未来智能情报分析系统的发展趋势。 "	QBXJ202000005
从认知心理学视角看情报分析理论的前沿进展	王馨:27292809	37	情报分析; 认知心理学; 情报分析认知理论; 信息素养教育; Infotelligence; 情报理论和实践;	"文章从认知心理学视角综述情报分析理论的前沿进展,涵盖情报分析的认知基础、关键认知要素和未来研究方向。首先,在认知基础上,以认知心理学的双重加工理论(直觉和逻辑)为依托,所涉猎的内容有导致情报失误的认知偏差和有助于灵感和洞见产生的悟性创新思维。文献发现表明:双重加工理论是情报分析的认知前提和基础,偏于直觉或逻辑任何一方,都可能导致情报误判;常规的情报分析应建立在全面整合直觉和逻辑的基础之上,富有洞见的情报发现是将悟性创新思维运用于直觉和逻辑两者之间协同的结果。其次,在关键认知要素上,运用认知心理学的基本概念,构建了情报分析的六维认知结构作为顶层分析框架,依此对情报分析的诸多关键认知要素进行综述。这个认知分析框架包含感知、统觉、洞见、表征、交互和反思6个维度,与情报分析的认知链密切相关,并在每个维度细分出三个子维度:情报理念、情报实践和相关认知理论;所涉及的情报理念包括:情报感知、态势觉知、情报激活、情报刻画、情报介入和情报批判性思维;所涉及的情报实践包括:弱信号识别、地平线扫描、结构化类比法、情报分析专用方法、竞争情报用户需求分析和情报失察;所涉及的相关认知理论包括:直接知觉、正念觉察、... "	QBXJ202000006
科技文献新兴话题识别研究进展	"杨金庆1,2:43534618|吴乐艳1,2:44606771|魏雨晗1,2:44606770|陆伟1,2:09006361|罗威3:40160938"	33	新兴话题; 新兴技术; 研究前沿; 科技文献; 识别方法; 综述;	"科技创新驱动发展是当前谋求新一轮科技革命主动权的重要策略之一,识别新兴科技、占据重点科技领域是加快科技创新与发展的关键路径,新兴话题识别已引起了学界和政界的广泛关注。文章全面解析了科技文献元数据和全文数据的结构特征,深入剖析了科技文献新兴话题识别研究范式,总结分析了科技文献外部和内部特征在新兴话题识别过程中的作用,然后从新兴话题计量和深度语义挖掘角度梳理总结了新兴话题识别研究进展,为后期新兴话题识别研究提供基本参考和启发。分析结果表明:目前,研究者多从新颖度、成长度、关注度等多个特征维度选择适当的计量理论与方法识别新兴话题。未来,科技文献新兴话题识别需综合直观的外部特征和隐含的内部特征,完善新兴话题特征属性量化维度,构建科技文献新兴话题识别指标体系,进而提升新兴话题识别的准确度。 "	QBXJ202000007
专利情报方法、工具、应用研究进展及新技术应用趋势	"吕璐成1,2:35757006|罗文馨3:45754395|许景龙1,2:44321366|王莉莉1,2:45754396|马丽婧1,2:45754397|赵亚娟1,2:11650814"	44	专利情报; 研究方法; 分析工具; 研究进展; 新技术应用;	"文章基于2017年以来的国内外专利情报学术研究和行业实践成果,从专利情报研究方法、专利情报分析工具、专利情报研究应用和新技术应用趋势4个方面综述专利情报研究最新进展。其中,研究方法部分围绕专利文本挖掘方法、聚类分类方法和复杂网络方法三方面展开;分析工具部分从专利检索、数据处理、分析及可视化、报告生成导出和价值评估5个模块分别论述;研究应用部分从技术预见与预测、专利预警与机会发现和专利导航与决策支持三方面分别梳理,并归纳了新技术应用的4个趋势:基于智能语义的专利文本检索,基于多种数据融合的专利数据重构与处理,基于关联分析、语义分析和预测分析的专利大数据挖掘和专利分析报告的自动生成与智能解读。最后将整体研究进展概括为:分析挖掘细粒度化、深度化和复杂化,分析过程自动化、人性化和智能化,应用场景需求导向化。 "	QBXJ202000008
情报与智库关系透析	 	34	情报概念; 智库功能; 智库工作; 情报需求;	"情报与智库关系密切,表现在对决策都发挥着重要作用。情报机构和智库是支撑战略决策的""左膀右臂"",情报赋能智库,智库提升情报价值。情报机构与智库在功能上的差异与密切联系决定了两者在发展上既能够相互借鉴,也能够彼此增强,通过协同发展为科学决策发挥作用。文章在系统梳理国内外情报、智库概念基础上,对情报机构与智库的功能进行了深入分析,对情报机构与智库的功能互现、功能区分以及相互作用进行了对比研究。最后总结提出了智库工作的情报需求产生、基本特征、组织管理的典型工具及举措建议。 "	QBXJ202000009
数据溯源研究与实践进展	王芳:08107849|赵洪:08111101	41	数据溯源; 数据溯源模型; 数据溯源方法; 大数据平台; 区块链技术; 信息资源管理;	"真实性和可靠性是当前诸多领域对数据的根本要求,基于数据溯源实现数据的质量控制与可信管理具有重要的研究价值和实践意义。数据溯源不仅是一个技术问题,同时也是一个管理问题,应当受到信息资源管理研究的关注和重视。鉴于此,本文结合相关领域的最新研究进展,系统阐述了数据溯源的概念发展与内涵;梳理了面向数据溯源管理的信息描述模型、通用表达模型、领域应用模型、安全管理模型与区块链溯源管理模型;以及描述了关系数据库、科学工作流、大数据平台、云计算和区块链等典型应用环境下的数据溯源计算方法。文章还重点分析了数据溯源在数字图书馆、档案信息管理、网络信息资源管理、科学数据共享管理,以及电子商务信息系统等信息资源管理研究领域中的应用价值与相关实践,并对数据溯源技术方法、标准规范、信息安全、区块链融合,以及模型扩展验证等方面的发展进行了展望,以期为数据管理和数据科学领域的研究人员提供参考。 "	QBXJ202000010
