篇名	作者	页数	关键词	摘要	filename
营销视角下的社区图书馆运营分析	颜俪娟:45727751	8	社区图书馆; 市场营销; 营销策略;	"在全媒体时代的潮流下,图书馆面临着通过转型来迎合时代发展的问题,社区图书馆作为公共图书馆的服务延伸也必然面临着同样的问题。本文从市场营销的角度分析了社区图书馆的运营基础和运营条件,并提出了个性化阅读引导、学科服务向下延伸等产品策略和图书馆学人才培养等营销推广策略的建议,希望为社区图书馆的建设提供帮助和借鉴。 "	ZJTQ202001001
普通高校图书馆优秀本科毕业论文收藏论	姚杰:32562164	2	本科; 毕业论文; 图书馆;	"文章探讨了收藏优秀本科毕业论文的必要性,提出收藏的具体步骤。 "	ZJTQ202001002
基于典藏工作的馆藏资源结构优化与创新研究——以重庆图书馆为例	符润花:10672504|陆春红:24966792	5	全民阅读; 图书馆; 图书典藏; 馆藏结构;	"典藏工作是连接图书馆新书与读者的桥梁。文章分析近几年读者阅读情况,以重庆图书馆(以下简称重图)为例,以重图入藏情况及典藏工作现状为切入点,提出馆藏结构的优化与创新策略。 "	ZJTQ202001003
《中国图书馆分类法》(第五版)“B502(欧洲)古代哲学”类目存在问题及修订建议	周雨华:13905397	8	《中图法》(第五版); 哲学、宗教类; 欧洲古代哲学; 类目设置;	"《中国图书馆分类法》(以下简称《中图法》)(第五版)""B502(欧洲)古代哲学""下位类目设置不符合学科规范,建议改为""B502.1早期古希腊哲学(古希腊自然哲学)(公元前6世纪～前5世纪中期)""、""B502. 2中期古希腊哲学(古典时期的希腊哲学)(公元前5世纪中期～前4世纪中期)""、""B502.3晚期希腊哲学(希腊化时期和罗马时期哲学)(公元前4世纪中期～公元6世纪)""。在这三个四级类目下面,又按照主要学派和代表人物的思路设置下位类目。 "	ZJTQ202001004
家庭阅读参与构建全人生阅读路径探索	申佳慧:44137967	5	全人生阅读; 螺旋式阅读力; 家庭阅读参与;	"本文首次提出""全人生阅读""理念,通过对""全人生""的理解阐释了对全人生阅读的界定,参考生命学的概念及分析螺旋式阅读力的形成过程,研究了全人生阅读的概念及其特点,指出了它与终身阅读的联系和不同。在众多参与全人生阅读的主体中,家庭阅读是构建全人生阅读的基本因素,实现它需要通过转变思维、创造相遇、营造氛围、丰富体验、回归对话这5个路径,从认知、行为和情感三个维度把握路径的实施,探索如何将传统的全民阅读推广的介入点提前至人类生命的形成期,利用家庭阅读参与塑造全社会的全人生阅读,建立和维系一个良好的全人生阅读生态系统。 "	ZJTQ202001005
书香羊城 悦读番禺——番禺区图书馆阅读推广“六进”案例	黎洁华:42787806	3	基层公共图书馆; 公共文化服务; 全民阅读推广;	"介绍了广州市番禺区图书馆阅读推广""六进""即进机关、进校园、进社区、进企业、进军营、进乡村活动的具体做法,指出在基层公共图书馆的全民阅读推广工作中,应采取品牌建设、打造多方合作的体验式阅读等创新阅读推广活动形式,来营造全民阅读的浓厚氛围。 "	ZJTQ202001006
浙江大学图书馆古籍碑帖研究与保护中心成立五周年		4	 	"<正>2015年4月15日,浙江大学图书馆古籍碑帖研究与保护中心在西溪图书馆南一楼举办揭幕展,是日作为碑帖中心正式运行的起点,至今相去五年。五年间,碑帖中心围绕着助研学术和弘扬文化的愿景,开展了一系列的活动,包括展览、讲座、笔会、沙龙等多种形式,在宣传区域文化与专题文化方面影响甚广,并通过整理旧藏、购入新藏、技术合作、搭建平台、出版书目、聘用专家等工作,夯实了中心的学术基础,提高了学科服务的专业性。 "	ZJTQ202001007
春播秋种 浇灌阅读的种子——基于浙江工业大学图书馆“漫读电台”项目的阅读推广人发现和培育		7	 	"<正>阅读推广工作是高校图书馆承担的一项重要内容,如何提升阅读推广的专业化水平和受欢迎程度,是图书馆员一直在不断思索和挖掘的问题。阅读推广活动的开展离不开主体、客体、载体,这其中由谁来开展阅读推广,又是极为关键的第一步。选对人、培养人,阅读推广工作就有了事半功倍的效果。浙江工业大学图书馆一直以来都十分重视阅读推广的队伍建设,多年前就组建了图书馆文化与推广中心(后文简称""文广中心"")。每年的读书节系列活动和优质服务 "	ZJTQ202001008
全民阅读视阈下探究高职院校阅读推广服务创新模式——以浙江商业职业技术学院图书馆为例		4	 	"<正>随着信息技术高速发展,读者阅读习惯与学习方式发生了巨大的改变,原有以藏书为中心和以开放为特征的图书馆馆室空间、服务功能与管理模式等都已经满足不了读者的需求,从而导致了图书馆入馆人数与图书借阅量的日益下降。高职院校学生普遍存在学习动力不足、学习能力较弱、学习的主动性和积极性不高、缺乏阅读兴趣等现象,整体而言,高职学生的阅读水平和能力普遍不高。党的十八大以来,以习近平同志为核心的党中央高度重视全民阅读,连续几年的 "	ZJTQ202001009
共克时艰，浙里图书馆与您在一起——浙江省高校图书馆抗击新冠肺炎疫情服务情况调研报告		10	 	"<正>一、总体情况2020年伊始,一场突如其来的新型冠状病毒肺炎疫情席卷武汉,蔓延全国。遵照党中央、地方政府和学校的战略决策和战""疫""部署,浙江省各高校图书馆高度重视,认真部署,以战疫必胜的坚定信念,积极贯彻落实习近平总书记的""科学防治、精准施策""、""各项工作都要为打赢疫情防控阻击战提供支持""的重要指示精神,在第一时间制定详实、有效的疫情防控工作方案,成立了疫情处置工作小组,建立起有效的工作推进机制,各部门分 "	ZJTQ202001010
疫情期间宁波职业技术学院图书馆开展线上线下服务及活动		4	 	"<正>宁波职业技术学院图书馆的前身是宁波中等专业学校图书馆,始建于1985年。2011年1月北仑区人民政府和宁波职业技术学院策划共建""北仑图书馆"",新馆总建筑面积为3.45万平方米,于2014年2月投入使用。区政府和学院在""统分结合、资源共享、合作共赢""的合作原则下,突破了传统管理体制的束缚,整合双方资源联合建立图书馆,开创了高校图书馆、公共图书馆""联姻""的管理新模式。北仑图书馆已成为浙江省最大的区校""联姻""合作建设的图书馆,它配备了现代化 "	ZJTQ202001011
相聚云端 居家赏读——新冠疫情下的浙江高校图书馆读书节		8	 	"2020年4月23日是第25个世界读书日,通常这一天,是读者的节日,大家会以各种形式聚在一起,分享阅读的感悟。但是因为新冠疫情的影响,人们只能呆在家中。联合国教科文组织从4月1日起就开启了世界读书日活动:""这是从未有过的时刻,大部分的学校处于关闭中,人们不得不限制在外度过的时间。书籍的力量在此刻尤为重要,它将帮助我们战胜隔离,重塑人与人之间的联系,扩展我们的视野,同时激活我们的头脑和创造力。""浙江省各高校图书馆从3月中旬即开始采用线上模式,开展别开生面的""读书节""活动,读者虽居家赏读,但相聚云端,云上互动,阅读成为一种不用移动脚步的旅行。 "	ZJTQ202001012
