产业链视角下结合K-means和LDA的专利技术主题挖掘与趋势分析——以虚拟现实技术为例,"陈玲1:07644798|林平1:35099582|段尧清1,2:07640118",12,K-means聚类算法; LDA主题模型; 技术主题演化; 文本挖掘; VR(虚拟现实);,"[目的/意义]在产业链视角下,以虚拟现实技术为例,构建VR专利产业链语料库,挖掘中国VR专利的技术主题、研发热点和未来发展趋势。[方法/过程]首先,利用Python爬取VR领域的专利文本,通过数据清洗得到有效语料库;然后,结合IPC分类号和K-means聚类算法,构建并验证VR专利产业链;最后,基于TF-IDF算法和LDA主题模型,识别出产业链视角下中国VR专利的核心技术主题及其综合强度、技术研发热点和未来趋势。[结果/结论]当前中国VR产业链各环节的专利比例不均衡,上游研发最热门,其次是下游应用,最薄弱的是中游制作。主题挖掘方面,上游热点为软件研发,中游热点为影视制作,下游热点为医疗、教育、娱乐应用。未来趋势方面,产业链上游将以电数字数据处理、光学元件、图像通信等技术为主流,中游将以车辆部件、动力装置、减振装置等技术为主流,下游将以室内游戏、医学诊断、鉴定等技术为主流。 ",TSWK202003001
数字化转型背景下企业档案创新管理探究,陈慧1:07639986|罗慧玉1:44542800|王晓晓1:41354655,12,数字化转型; 企业档案; 知识型档案管理创新体系; 创新管理; 实现路径;,"[目的/意义]数字化转型对档案管理各方面产生日益深刻而强烈的影响,探究该背景下的企业档案创新管理能够为企业开拓与数字时代发展相适应的档案管理新路径提供有益借鉴。[方法/过程]结合数字化转型下企业档案管理创新的特征,选取知识型档案管理创新体系为基础,解读这一理论构念的四大创新维度,并进一步梳理各创新维度的相关研究以明确其核心要义。鉴于制度创新的约束性与流程创新的必要性,本研究在保留""观念创新""""管理创新""及""技术创新""等3个原有维度的基础上,增加""流程创新""的维度,并依托该框架挖掘数字化转型背景下企业档案创新管理活动的具体实现路径。[结果/结论]数字化转型背景下,企业档案创新管理可通过从传统管理走向绿色管理、从绝对管控走向员工赋能、从传统技术走向新兴技术、从串行式流程走向一体化流程等路径予以实现。 ",TSWK202003002
网络舆情受众失范行为靶向引导的技术框架构建,"黄微1:07665728|刘熠1:15581670|郭苏琳1,2:40072408",16,网络舆情; 失范行为; 靶向引导;,"[目的/意义]网络舆情受众的失范行为是舆情出现剧烈变化的重要因素。本文重点研究失范行为靶向引导技术框架的构建,为失范行为实施引导提供技术手段。[方法/过程]在网络舆情受众失范行为靶向引导分析的基础上,建立框架模型,并对框架模型的各个模块进行具体描述;梳理各模块功能实现所需要的核心技术和进一步研究的思路,并以微博舆情为例对框架进行了验证。[结果/结论]靶向引导是理论与应用相结合的方法,网络舆情受众失范行为的靶向引导技术框架模型,能够从技术层面解决目前引导策略过于宏观失之具体的缺陷,增强了靶向引导的可操作性。 ",TSWK202003003
基于知识实体的突发公共卫生事件数据平台构建研究,"冯鑫1:39118084|李雪2:45444564|闫月2:45444565|李佳培1:38707826|刘梦瑶1:45444567|吴晔3,4:40957724",16,突发公共卫生事件; 应急服务; 知识实体; 2019新型冠状病毒;,"[目的/意义]突发公共卫生事件严重危及全球社会公众的生命健康。实现信息资源对突发事件的智能存储、查询和知识组织与输出等,对应急领域科研数据集成共享与领域知识管理具有重要的参考意义。[方法/过程]选取CNKI和WOS为检索平台,对突发公共卫生事件进行检索,爬取有效数据,利用文献计量软件对抽取的知识数据进行加工、融合,并对高频词汇、文献作者和机构进行聚类可视化分析,将知识实体、属性及关系存储于Neo4j图数据库中,建立知识实体之间的复杂联系,进而搭建突发公共卫生事件数据平台模型。[结果/结论]应急事件智慧平台是一个以信息资源为基础,对来自不同领域的信息进行处理,通过内部实体的筛选与融合构建的面向大众的知识数据共享资源平台,该平台可以上下交互实现信息资源流动,切实发挥信息资源对应急管理工作的作用。 ",TSWK202003004
京津冀协同创新发展地图系统设计及应用,李梅:22003598|张红:23976709|孙艳艳:23838800|苗润莲:10808273,9,京津冀; 创新资源; 协同创新; 地图系统; 应用案例;,"[目的/意义]推动协同创新是有序疏解北京非首都功能、推动京津冀协同发展的战略选择和根本动力。[方法/过程]基于京津冀协同发展战略需求,提出基于GIS的协同创新发展地图系统的设计依据、思路和总体框架,并围绕创新资源存量与空间分布分析、创新主体间关联分析、创新空间格局的信息集成展示等方面进行案例分析。[结果/结论]结果表明,系统能够有效地处理创新资源空间与属性数据,能够直观展示京津冀创新资源空间分布情况、协同创新发展态势,对揭示资源的空间分布特征、剖析存在的问题起到辅助作用,为京津冀协同创新发展水平和效率评价提供支撑。 ",TSWK202003005
基于用户特征的电费回收分析及策略——电力知识化转型工程实践,江元1:27961520|杨波2:25992383|王麒3:45444434|赵东来3:33929429|武悦3:33722222,9,电力系统知识化; 数据智能; 电力营销; 用户特征;,"[目的/意义]随着知识管理相关理论的发展,各相关工业部门特别是完成了信息化的工业部门也面临着越来越紧迫的知识化转型。在知识化转型过程中除知识管理的相关理论外,也需要提炼出知识管理相关工具体系。[方法/过程]主要研究知识管理相关工具在电力行业市场营销领域中的应用,从电力业务人员日常接触的数据中萃取影响缴费用户的特征因素,并形成与用户缴费欠费习惯相关的关键知识,为业务人员未来工作进行指导。首先,从电力系统中采集甘肃省内近10万户的用电及缴费数据,并整理出由问卷调查获得的数据;其次,采用主成分分析及回归方法构造用户按时缴费模型;最后,根据模型分析获得促使用户按时缴费的因素,提出针对性的营销策略,以降低电费拖欠率并降低电费回收成本。[结果/结论]通过分析,找到用户履约能力、客户满意度及征缴频率等关键因素,较好地实现电力知识化转型。 ",TSWK202003006
《知识管理论坛》征稿启事,,1, ,"<正>《知识管理论坛》(以下简称《论坛》)是由中国科学院主管、中国科学院文献情报中心主办、《图书情报工作》杂志社出版的纯网络、开放获取的学术期刊(ISSN 2095-5472,CN11-6036/C),也是知识管理领域唯一的专业学术期刊。《论坛》关注于一切与知识相关的研究成果与实践案例,其中包括:互联网与知识创新大数据与知识计算数据监护与知识组织实践社区与知识运营 ",TSWK202003007
科技资源描述模型和建立方法研究,顾复:10617405|刘杨圣彦:45237029|顾新建:00000616,13,科技资源; 科技资源描述模型; 模型建立方法; 科技资源共享; 知识图谱;,"[目的/意义]科技创新是我国发展的关键途径,需要科技资源的共享和协同创新。科技资源共享是一个系统工程,需要建立科技资源的描述模型,在此基础上进行科技资源集成、评价和分享。[方法/过程]提出科技资源描述模型的结构框架,包括:科技资源分类模型、科技资源元数据模型、科技资源本体模型、科技资源知识元模型、科技资源图谱模型等。其中,科技资源包括知识、数据、产品、人才、软件、硬件等资源。本文阐述了科技资源描述模型的特点和作用,并给出科技资源描述模型的建立方法。[结果/结论]本文的主要贡献是:①通过科技资源描述模型的规范化,有助于不同类型的科技资源的集成分享;②通过科技资源的不同类型的描述模型的集成研究,形成科技资源描述模型的体系架构,为进行科技资源的全面系统描述提供整体解决方案,有助于解决科技资源共享难的问题;③提出科技资源描述模型的建立方法,其特点是利用新一代信息技术依靠大众共建模型,依靠科技资源描述过程的大数据智能分析技术,建立和优化科技资源描述模型。 ",TSWK202002001
国外高校数据馆员招聘信息中的人格特征分析,张利青:44567084|王莹:45236536|苑普:45236537|韦晶晶:45236538,9,数据馆员; 人格特征; “大五”人格; 高校图书馆; 岗位能力;,"[目的/意义]人格特征与工作能力、绩效存在一定的联系,国外数据馆员的招聘信息中经常用人格特征形容词来描述岗位需求,识别数据馆员岗位需要的人格特征,确定各类人格在数据馆员工作中的重要程度,这对我国高校数据馆员的招聘具有参考和借鉴意义。[方法/过程]调研IASSIST中高校数据馆员的招聘信息,采取网络调查法和内容分析法,从""大五""人格的5个因素对应聘者人格特征进行分析。[结果/结论]国外高校数据馆员招聘中注重创新、积极能动、善于合作等人格特征,""大五""人格中的外向性人格和开放性人格最受欢迎,我国高校图书馆在数据馆员招聘中应重视人格特征的应用、注重甄别外向性和开放性人格特征。 ",TSWK202002002
我国政府部门人事任用信息公开现状及其网络舆情反馈实证研究,弓越:45236535|翟姗姗:14339470,12,领导干部任用; 政务信息公开; 网络舆情;,"[目的/意义]领导干部任用信息是我国政府信息公开的重要组成部分,公众对于干部任用的质疑与猜测容易引起网络舆情,研究我国政府部门人事任用信息公开现状以及网络舆情反馈,有助于提高政府人事任用信息公开水平。[方法/过程]通过构建评估指标体系,调研我国部分省级政务网站的人事任用信息公开现状,发现并梳理其中普遍存在的问题,并考察""陕西副县长完整履历成谜""事件的网络舆情反馈情况,分析公众对该事件的情绪变化和信息需求。[结果/结论]政府的人事任用信息公开不能充分满足公众的信息需求。政府可以通过加强对网络舆情反馈的研究、完善信息公开制度、畅通信息公开与举报渠道这3个途径来提高人事任用信息公开水平。 ",TSWK202002003
基于知识管理的案例教学体系研究,王艺:08241415|原光:08234939,9,知识管理; 案例教学; 知识螺旋; 知识社群;,"[目的/意义]旨在运用知识管理理论来解决当前案例教学关联性、主动性不足的问题,为更好地培养能够理论联系实际,具有主动性、创造性的新时代人才开辟新的思考路径。[方法/过程]运用文献研究、多学科理论交互融合的分析方法,首先提出当前案例教学中存在的问题,然后结合现有文献分析知识管理理论应用的可行性,得出知识管理与教育领域具有共通性的结论,最后提出建构案例教学的知识管理体系的策略。[结果/结论]案例教学的知识管理体系由两原则和两要素构成,两原则即关联性与主动性原则,两要素即知识管理要素与教学要素。知识管理要素包括人、知识与技术。人的要素以知识社群形态存在,知识要素由案例库存储,围绕关联性、主动性原则,教学要素协同技术要素作为贯通知识社群与案例库的桥梁与媒介,共同构成知识内外化互动的知识管理循环系统。 ",TSWK202002004
面向全社会的开放知识供给体系:背景、内涵与培育,王铮:21863090,10,开放知识; 知识供给; 开放运动;,"[目的/意义]从供给侧的角度理解开放知识的产生与作用,有助于更好地发挥开放知识作为创新资源的作用。[方法/过程]通过理论分析提出开放知识的综合定义和开放知识供给体系的整合框架,通过典型案例对框架构成要素进行解释。[结果/结论]在开放创新环境下,开放知识已经成为驱动创新的重要资源,开放知识供给体系可以从内容供给、政策供给、服务和平台供给等方面进行理论和培育。 ",TSWK202002005
国内科研机构和高校机构知识库建设现状调研与对比分析,"张伶1,2,3:44418219|祝忠明1:40606526|寇蕾蕾1,2:41126531|姚晓娜1:45236539",13,机构知识库; 科研机构; 高校; 建设现状;,"[目的/意义]在IR发展进入平稳期及向下一代IR转型的重要节点,梳理我国IR的建设历程、现状和面临的挑战,以达到推动我国IR加速和深入发展的目的。[方法/过程]首先采用网络调查法及电话、邮件调查法相结合的实证调研法,以国内高校和中国科学院、中国农业科学院等科研院所IR为调查对象,对全国IR发展现状进行调查梳理;其次对调研结果按照高校系统、科研系统和总体情况进行对比分析,总结IR发展成绩与问题。[结果/结论] IR建设取得了一定成就,在建及拟建IR数量不断增加,资源规模大幅增长。然而IR发展存在管理政策不完善、访问限制过多、知识产权不明确、开放性不足、自存储率低等问题。 ",TSWK202002006
《知识管理论坛》征稿启事,,1, ,"<正>《知识管理论坛》(以下简称《论坛》)是由中国科学院主管、中国科学院文献情报中心主办、《图书情报工作》杂志社出版的纯网络、开放获取的学术期刊(ISSN 2095-5472,CN11-6036/C),也是知识管理领域唯一的专业学术期刊。《论坛》关注于一切与知识相关的研究成果与实践案例,其中包括: ",TSWK202002007
