篇名	作者	页数	关键词	摘要	filename
瞄准“三个面向”打造军校图书馆服务品牌的实践探讨	果青:20542402|张莉:21149157|宁婉:22473511	4	“三个面向”; 军校图书馆; 服务品牌;	"品牌化的服务才能吸引用户,引导用户认识图书馆、走进图书馆、利用图书馆,才能使图书馆成为真正意义上的信息知识中心。在分析军校图书馆服务品牌建设重要意义的基础上,解构了服务品牌建设的六大要素,瞄准教学科研、部队作战训练、机关决策的三大服务目标,分别探讨了如何通过""三大阵地+两层推进""的全覆盖服务模式、""注重内涵+灵活拓展""的多元化服务模式、""聚焦需求+精心凝炼""的渗透性服务模式打造军校图书馆服务品牌。 "	GXTS201502002
高校图书馆战略合作与协同创新模式思考	杜莹琦:10151782|郭玉强:09058212	4	高校图书馆; 战略合作; 资源共享; 协同创新;	"武汉理工大学和华中师范大学均为教育部直属全国重点大学,这两所高校结成战略合作关系将为两校的信息资源共建共享提供一个良好的平台,为信息资源共享机制创造了管理机制上的前提条件。两校可以以资源协同建设——知识协同服务——人才协同创新的合作模式,构建一个服务于两校全体读者的、使他们可以基本自主完成知识的获取、交流、创新、分享的知识环境,最终达到互为补充、强强联合、协同创新的积极效果。 "	GXTS201502003
民族地区高职院校图书馆服务功能探索与研究——以湖北恩施地区为例	向庆彬:24470094	4	民族地区; 高职院校; 图书馆; 服务功能;	"在少数民族地区,高职院校图书馆承载着文化传播的桥梁作用。以湖北恩施地区为例,首先对民族地区高职院校图书馆的基本功能进行概述,然后,重点探索民族地区高职院校图书馆管理存在的问题,最后提出了相应的解决对策。旨在通过研究,进一步挖掘高职院校图书馆的潜力,以便更好地发挥其服务功能。 "	GXTS201502004
2015年读者专业委员会年会暨“学科服务经验交流”研讨会		2	 	 	GXTS201502001
2015年读者专业委员会年会暨“学科服务经验交流”研讨会在华中科技大学图书馆举行	刘璇:14208677|施亮:11693986	1	 	"<正>为了推动全省高校图书馆读者服务工作的进一步发展,提升学科服务水平,由湖北省高校图书馆工作委员会读者专业委员主办,华中科技大学图书馆承办的2015年读者专业委员会年会暨""学科服务经验交流""研讨会,2015年5月22日在华中科技大学主校区图书馆5楼学术报告厅举行。来自华中科技大学、武汉大学、中南财经政法大学、武汉理工大学、华中师范大学、华中农业大学、中国地质大学等24 "	GXTS201502015
2014年《高校图书情报论坛》刊载文章获优篇目		1	 	 	GXTS201502018
微课环境下高校图书馆服务创新的思考	叶盛:10855556	3	微课; 高校图书馆; 服务创新; 泛在化服务;	"介绍了微课的概念及其特点,从开发图书馆微课程,提供微课程,配套微课学习材料及提供泛在化服务等方面探讨了微课环境下高校图书馆读者服务创新措施。以期促进高校图书馆发展。 "	GXTS201502005
基于云计算的图书馆信息基础平台建设	张颖:07632212	3	信息基础平台; 云计算; 资源池; 数据中心;	"通过分析传统图书馆信息基础平台现状,介绍云计算技术原理,阐述了基于云计算的图书馆信息基础平台的建设目标,提出应遵循的建设原则,并指出云计算平台是图书馆信息平台的未来。 "	GXTS201502006
应用型本科院校信息检索课教学效果思考——基于武昌工学院公选课学生的问卷分析	周晓蓉:33019746|吴岚:33019044	2	应用型院校; 信息检索课; 问卷调查; 教学效果;	"通过武昌工学院信息检索课问卷调查分析,对于应用型本科院校如何提升教学效果进行思考,提出改进教学内容、建立以学生为主的教学形式、加强教师素质培养三个方面的建议。 "	GXTS201502007
高校数字资源配置与使用分析统计研究——以华中师范大学为例	邓鹃:26674348	5	数字资源配置; 使用统计分析;	"运用有限的经费配置尽可能合理的电子资源,更好地为教学科研提供文献信息服务是图书馆的核心工作。从数据分析的目的意义、数据分析说明及解读、文献资源利用与科研成果产出关系等三个方面探讨了高校数字资源的优化配置,并提出电子资源优化配置建议。 "	GXTS201502008
关于高校图书馆书库管理的思考	韦春连:33167215|吉洁贝:25677020	3	高校图书馆; 书库管理;	"书库是图书馆的中心,高质量的书库管理工作直接决定了整个图书馆的服务质量。重点探讨了改进书库管理工作质量,高效率地为读者服务的方法和建议。 "	GXTS201502009
独立学院学士学位授予权评估与图书馆文献资源建设	让华:43121407	4	独立学院; 评估; 文献资源建设; 现状分析; 对策;	"根据湖北省学位办关于独立学院学士学位授予权评估的指标要求,结合独立学院图书馆的特点,针对独立学院图书馆文献资源建设中存在的问题进行了客观分析,提出了在新形势下图书馆文献资源建设的策略和发展目标。 "	GXTS201502010
学科馆员国际合作的创新服务与实践探索	王善林:07592552	8	学科馆员; 国际合作; 创新服务; 实践探索; 大学图书馆;	"从学科馆员的由来介绍华中科技大学图书馆开展学科服务的概况,结合校情畅谈了开展国际合作的重要意义,全面总结了学科馆员国际合作的创新服务与实践探索的途径、方法以及所取得的成效和存在的问题。 "	GXTS201502011
组织边界变化:探讨图书馆知识自组织与知识共享	刘小锋:09289302	5	图书馆; 知识管理; 工作实践; 组织边界; 隐性知识; 知识转移;	"从自组织的角度,探讨大数据环境下图书馆组织边界的变化,从组织边界和组织能力边界的变化构建图书馆跨组织边界获取知识框架,确定隐性知识管理和应用方法。在工作实践的基础上,提出图书馆跨边界知识转移模式和措施,促进图书馆跨组织边界合作,以最大程度地促进内部隐性知识转移和吸收外部知识,更好地实现隐性知识交流与共享,提高图书馆服务质量。 "	GXTS201502012
